subject,list,item,input,output,study,recall,repeat,intrusion,condition,first_input
118,1,0,1,3.0,True,True,0,False,0,1
118,1,0,2,3.0,True,True,0,False,0,1
118,1,0,3,3.0,True,True,0,False,0,1
118,1,1,4,9.0,True,True,0,False,0,4
118,1,1,5,9.0,True,True,0,False,0,4
118,1,1,6,9.0,True,True,0,False,0,4
118,1,2,7,,True,False,0,False,0,7
118,1,2,8,,True,False,0,False,0,7
118,1,2,9,,True,False,0,False,0,7
118,1,3,10,10.0,True,True,0,False,0,10
118,1,3,11,10.0,True,True,0,False,0,10
118,1,3,12,10.0,True,True,0,False,0,10
118,1,4,13,5.0,True,True,0,False,0,13
118,1,4,14,5.0,True,True,0,False,0,13
118,1,4,15,5.0,True,True,0,False,0,13
118,1,5,16,7.0,True,True,0,False,0,16
118,1,5,17,7.0,True,True,0,False,0,16
118,1,5,18,7.0,True,True,0,False,0,16
118,1,6,19,,True,False,0,False,0,19
118,1,6,20,,True,False,0,False,0,19
118,1,6,21,,True,False,0,False,0,19
118,1,7,22,1.0,True,True,0,False,0,22
118,1,7,23,1.0,True,True,0,False,0,22
118,1,7,24,1.0,True,True,0,False,0,22
118,1,8,25,,True,False,0,False,0,25
118,1,8,26,,True,False,0,False,0,25
118,1,8,27,,True,False,0,False,0,25
118,1,9,28,,True,False,0,False,0,28
118,1,9,29,,True,False,0,False,0,28
118,1,9,30,,True,False,0,False,0,28
118,1,10,31,,True,False,0,False,0,31
118,1,10,32,,True,False,0,False,0,31
118,1,10,33,,True,False,0,False,0,31
118,1,11,34,,True,False,0,False,0,34
118,1,11,35,,True,False,0,False,0,34
118,1,11,36,,True,False,0,False,0,34
118,1,12,37,,True,False,0,False,0,37
118,1,12,38,,True,False,0,False,0,37
118,1,12,39,,True,False,0,False,0,37
118,1,13,40,,True,False,0,False,0,40
118,1,13,41,,True,False,0,False,0,40
118,1,13,42,,True,False,0,False,0,40
118,1,14,43,,True,False,0,False,0,43
118,1,14,44,,True,False,0,False,0,43
118,1,14,45,,True,False,0,False,0,43
118,1,15,46,,True,False,0,False,0,46
118,1,15,47,,True,False,0,False,0,46
118,1,15,48,,True,False,0,False,0,46
118,1,16,49,,True,False,0,False,0,49
118,1,16,50,,True,False,0,False,0,49
118,1,16,51,,True,False,0,False,0,49
118,1,17,52,,True,False,0,False,0,52
