,subject,list,item,input,output,study,recall,repeat,intrusion,condition,first_input
0,1,1,0,1,1.0,True,True,0,False,4,1
1,1,1,1,2,2.0,True,True,0,False,4,2
2,1,1,2,3,3.0,True,True,0,False,4,3
3,1,1,3,4,4.0,True,True,0,False,4,4
4,1,1,4,5,5.0,True,True,0,False,4,5
5,1,1,5,6,6.0,True,True,0,False,4,6
6,1,1,6,7,7.0,True,True,0,False,4,7
7,1,1,7,8,,True,False,0,False,4,8
8,1,1,8,9,8.0,True,True,0,False,4,9
9,1,1,9,10,9.0,True,True,0,False,4,10
10,1,1,10,11,10.0,True,True,0,False,4,11
11,1,1,11,12,13.0,True,True,0,False,4,12
12,1,1,11,13,,True,False,0,False,4,13
13,1,1,12,14,12.0,True,True,0,False,4,14
14,1,1,13,15,14.0,True,True,0,False,4,15
15,1,1,14,16,,True,False,0,False,4,16
16,1,1,15,17,11.0,True,True,0,False,4,17
17,1,1,16,18,22.0,True,True,0,False,4,18
18,1,1,9,19,,True,False,0,False,4,19
19,1,1,17,20,16.0,True,True,0,False,4,20
20,1,1,18,21,,True,False,0,False,4,21
21,1,1,19,22,,True,False,0,False,4,22
22,1,1,18,23,,True,False,0,False,4,23
23,1,1,20,24,,True,False,0,False,4,24
24,1,1,21,25,15.0,True,True,0,False,4,25
25,1,1,22,26,,True,False,0,False,4,26
26,1,1,19,27,,True,False,0,False,4,27
27,1,1,23,28,17.0,True,True,0,False,4,28
28,1,1,24,29,,True,False,0,False,4,29
29,1,1,25,30,18.0,True,True,0,False,4,30
30,1,1,21,31,,True,False,0,False,4,31
31,1,1,26,32,,True,False,0,False,4,32
32,1,1,27,33,,True,False,0,False,4,33
33,1,1,23,34,,True,False,0,False,4,34
34,1,1,28,35,,True,False,0,False,4,35
35,1,1,29,36,,True,False,0,False,4,36
36,1,1,30,37,21.0,True,True,0,False,4,37
37,1,1,31,38,20.0,True,True,0,False,4,38
38,1,1,32,39,19.0,True,True,0,False,4,39
39,1,1,33,40,,True,False,0,False,4,40
40,1,2,0,1,7.0,True,True,0,False,1,1
41,1,2,1,2,11.0,True,True,0,False,1,2
42,1,2,2,3,,True,False,0,False,1,3
43,1,2,3,4,,True,False,0,False,1,4
44,1,2,4,5,3.0,True,True,0,False,1,5
45,1,2,5,6,4.0,True,True,0,False,1,6
46,1,2,6,7,,True,False,0,False,1,7
47,1,2,7,8,,True,False,0,False,1,8
48,1,2,8,9,12.0,True,True,0,False,1,9
49,1,2,9,10,,True,False,0,False,1,10
50,1,2,10,11,6.0,True,True,0,False,1,11
51,1,2,11,12,13.0,True,True,0,False,1,12
52,1,2,12,13,15.0,True,True,0,False,1,13
53,1,2,13,14,5.0,True,True,0,False,1,14
54,1,2,14,15,14.0,True,True,0,False,1,15
55,1,2,15,16,9.0,True,True,0,False,1,16
56,1,2,16,17,16.0,True,True,0,False,1,17
57,1,2,17,18,,True,False,0,False,1,18
58,1,2,18,19,,True,False,0,False,1,19
59,1,2,19,20,,True,False,0,False,1,20
60,1,2,20,21,,True,False,0,False,1,21
61,1,2,21,22,,True,False,0,False,1,22
62,1,2,22,23,,True,False,0,False,1,23
63,1,2,23,24,,True,False,0,False,1,24
64,1,2,24,25,,True,False,0,False,1,25
65,1,2,25,26,17.0,True,True,0,False,1,26
66,1,2,26,27,18.0,True,True,0,False,1,27
67,1,2,27,28,,True,False,0,False,1,28
68,1,2,28,29,19.0,True,True,0,False,1,29
69,1,2,29,30,20.0,True,True,0,False,1,30
70,1,2,30,31,,True,False,0,False,1,31
71,1,2,31,32,,True,False,0,False,1,32
72,1,2,32,33,8.0,True,True,0,False,1,33
73,1,2,33,34,10.0,True,True,0,False,1,34
74,1,2,34,35,,True,False,0,False,1,35
75,1,2,35,36,,True,False,0,False,1,36
76,1,2,36,37,,True,False,0,False,1,37
77,1,2,37,38,1.0,True,True,0,False,1,38
78,1,2,38,39,2.0,True,True,0,False,1,39
79,1,2,39,40,21.0,True,True,0,False,1,40
80,1,3,0,1,1.0,True,True,0,False,3,1
81,1,3,1,2,2.0,True,True,0,False,3,2
82,1,3,2,3,3.0,True,True,0,False,3,3
83,1,3,3,4,4.0,True,True,0,False,3,4
84,1,3,4,5,5.0,True,True,0,False,3,5
85,1,3,5,6,6.0,True,True,0,False,3,6
86,1,3,4,7,,True,False,0,False,3,7
87,1,3,6,8,8.0,True,True,0,False,3,8
88,1,3,1,9,,True,False,0,False,3,9
89,1,3,0,10,,True,False,0,False,3,10
90,1,3,7,11,7.0,True,True,0,False,3,11
91,1,3,2,12,,True,False,0,False,3,12
92,1,3,3,13,,True,False,0,False,3,13
93,1,3,7,14,,True,False,0,False,3,14
94,1,3,5,15,,True,False,0,False,3,15
95,1,3,6,16,,True,False,0,False,3,16
96,1,3,8,17,9.0,True,True,0,False,3,17
97,1,3,9,18,10.0,True,True,0,False,3,18
98,1,3,10,19,,True,False,0,False,3,19
99,1,3,11,20,12.0,True,True,0,False,3,20
100,1,3,10,21,,True,False,0,False,3,21
101,1,3,12,22,11.0,True,True,0,False,3,22
102,1,3,13,23,13.0,True,True,0,False,3,23
103,1,3,14,24,16.0,True,True,0,False,3,24
104,1,3,9,25,,True,False,0,False,3,25
105,1,3,8,26,,True,False,0,False,3,26
106,1,3,15,27,,True,False,0,False,3,27
107,1,3,12,28,,True,False,0,False,3,28
108,1,3,11,29,,True,False,0,False,3,29
109,1,3,13,30,,True,False,0,False,3,30
110,1,3,15,31,,True,False,0,False,3,31
111,1,3,16,32,14.0,True,True,0,False,3,32
112,1,3,14,33,,True,False,0,False,3,33
