subject,list,item,list_type,category,intrusion,position,trial_type
1,1,Halle Berry,light,cel,[],1.0,study
1,1,Simon Cowell,light,cel,[],2.0,study
1,1,Kristen Stewart,light,cel,[],3.0,study
1,1,highlighter,light,obj,[],4.0,study
1,1,acorn,light,obj,[],5.0,study
1,1,pie,light,obj,[],6.0,study
1,1,Pompeii,light,loc,[],7.0,study
1,1,Atomium,light,loc,[],8.0,study
1,1,Cinderella Castle,light,loc,[],9.0,study
1,1,printer,light,obj,[],10.0,study
1,1,stamp,light,obj,[],11.0,study
1,1,lantern,light,obj,[],12.0,study
1,1,Emma Watson,light,cel,[],13.0,study
1,1,Lil Wayne,light,cel,[],14.0,study
1,1,Meryl Streep,light,cel,[],15.0,study
1,1,Shanghai,light,loc,[],16.0,study
1,1,Chicago,light,loc,[],17.0,study
1,1,Mecca,light,loc,[],18.0,study
1,1,Bill Gates,light,cel,[],19.0,study
1,1,Drake,light,cel,[],20.0,study
1,1,Mariah Carey,light,cel,[],21.0,study
1,1,Colosseum,light,loc,[],22.0,study
1,1,Kyoto,light,loc,[],23.0,study
1,1,Delphi,light,loc,[],24.0,study
1,1,sink,light,obj,[],25.0,study
1,1,glass,light,obj,[],26.0,study
1,1,briefcase,light,obj,[],27.0,study
1,1,Halle Berry,light,cel,0,1.0,recall
1,1,Bill Gates,light,cel,0,2.0,recall
1,1,Simon Cowell,light,cel,0,3.0,recall
1,1,Kristen Stewart,light,cel,0,4.0,recall
1,1,Acropolis,light,loc,1,5.0,recall
1,1,Atomium,light,loc,0,6.0,recall
1,1,Kyoto,light,loc,0,7.0,recall
1,1,highlighter,light,obj,0,8.0,recall
1,1,printer,light,obj,0,9.0,recall
1,1,Chicago,light,loc,0,10.0,recall
1,1,Cinderella Castle,light,loc,0,11.0,recall
1,1,stamp,light,obj,0,12.0,recall
1,1,Drake,light,cel,0,13.0,recall
1,1,Meryl Streep,light,cel,0,14.0,recall
1,1,Emma Watson,light,cel,0,15.0,recall
1,1,Delphi,light,loc,0,16.0,recall
1,1,Lil Wayne,light,cel,0,17.0,recall
1,1,Colosseum,light,loc,0,18.0,recall
1,2,Quincy Market,heavy,loc,[],1.0,study
1,2,Vatican City,heavy,loc,[],2.0,study
1,2,Lincoln Memorial,heavy,loc,[],3.0,study
1,2,teapot,heavy,obj,[],4.0,study
1,2,birdhouse,heavy,obj,[],5.0,study
1,2,keychain,heavy,obj,[],6.0,study
1,2,Alec Baldwin,heavy,cel,[],7.0,study
1,2,Ashton Kutcher,heavy,cel,[],8.0,study
1,2,Scarlett Johansson,heavy,cel,[],9.0,study
1,2,kleenex,heavy,obj,[],10.0,study
1,2,basket,heavy,obj,[],11.0,study
1,2,bowling ball,heavy,obj,[],12.0,study
1,2,Denzel Washington,heavy,cel,[],13.0,study
1,2,Adam Sandler,heavy,cel,[],14.0,study
1,2,Alicia Keys,heavy,cel,[],15.0,study
1,2,Gettysburg,heavy,loc,[],16.0,study
1,2,Quebec,heavy,loc,[],17.0,study
1,2,Barcelona Cathedral,heavy,loc,[],18.0,study
1,2,Johnny Depp,heavy,cel,[],19.0,study
1,2,Jamie Foxx,heavy,cel,[],20.0,study
1,2,Brad Pitt,heavy,cel,[],21.0,study
1,2,Versailles,heavy,loc,[],22.0,study
1,2,Louvre,heavy,loc,[],23.0,study
1,2,Universal Studios,heavy,loc,[],24.0,study
1,2,cactus,heavy,obj,[],25.0,study
1,2,cigar,heavy,obj,[],26.0,study
1,2,hanger,heavy,obj,[],27.0,study
1,2,Johnny Depp,heavy,cel,0,1.0,recall
1,2,cigar,heavy,obj,0,2.0,recall
1,2,Universal Studios,heavy,loc,0,3.0,recall
1,2,Denzel Washington,heavy,cel,0,4.0,recall
1,2,Jamie Foxx,heavy,cel,0,5.0,recall
1,2,Scarlett Johansson,heavy,cel,0,6.0,recall
1,2,Alec Baldwin,heavy,cel,0,7.0,recall
1,2,Quincy Market,heavy,loc,0,8.0,recall
1,2,hanger,heavy,obj,0,9.0,recall
1,2,Brad Pitt,heavy,cel,0,10.0,recall
1,3,Alcatraz,light,loc,[],1.0,study
1,3,Rio de Janeiro,light,loc,[],2.0,study
1,3,Amazon River,light,loc,[],3.0,study
1,3,Lindsay Lohan,light,cel,[],4.0,study
1,3,Cameron Diaz,light,cel,[],5.0,study
1,3,George Clooney,light,cel,[],6.0,study
1,3,dollar,light,obj,[],7.0,study
1,3,staple remover,light,obj,[],8.0,study
1,3,tent,light,obj,[],9.0,study
1,3,Soho,light,loc,[],10.0,study
1,3,Petra,light,loc,[],11.0,study
1,3,Taj Mahal,light,loc,[],12.0,study
1,3,Drew Barrymore,light,cel,[],13.0,study
1,3,Andy Samberg,light,cel,[],14.0,study
1,3,Ellen Page,light,cel,[],15.0,study
1,3,cradle,light,obj,[],16.0,study
1,3,ketchup,light,obj,[],17.0,study
1,3,projector,light,obj,[],18.0,study
1,3,Salt Flats,light,loc,[],19.0,study
1,3,Redwood Forest,light,loc,[],20.0,study
1,3,Machu Picchu,light,loc,[],21.0,study
1,3,shovel,light,obj,[],22.0,study
1,3,flower,light,obj,[],23.0,study
1,3,bed,light,obj,[],24.0,study
1,3,Ricky Martin,light,cel,[],25.0,study
1,3,Lisa Kudrow,light,cel,[],26.0,study
1,3,Keira Knightley,light,cel,[],27.0,study
1,3,Lisa Kudrow,light,cel,0,1.0,recall
1,3,Keira Knightley,light,cel,0,2.0,recall
1,3,Lindsay Lohan,light,cel,0,3.0,recall
1,3,Cameron Diaz,light,cel,0,4.0,recall
1,3,George Clooney,light,cel,0,5.0,recall
1,3,staple remover,light,obj,0,6.0,recall
1,3,ketchup,light,obj,0,7.0,recall
1,3,Salt Flats,light,loc,0,8.0,recall
1,3,Redwood Forest,light,loc,0,9.0,recall
1,3,Soho,light,loc,0,10.0,recall
1,3,Petra,light,loc,0,11.0,recall
1,3,Taj Mahal,light,loc,0,12.0,recall
1,3,Amazon River,light,loc,0,13.0,recall
1,3,Rio de Janeiro,light,loc,0,14.0,recall
1,3,Alcatraz,light,loc,0,15.0,recall
1,3,cradle,light,obj,0,16.0,recall
1,3,Ellen Page,light,cel,0,17.0,recall
1,3,Ricky Martin,light,cel,0,18.0,recall
1,3,bed,light,obj,0,19.0,recall
1,3,shovel,light,obj,0,20.0,recall
1,3,flower,light,obj,0,21.0,recall
