"","subject","list","position","trial_type","item","item_index","session","list_type","category","response","response_time","list_category"
"1",1,1,1,"study","Halle Berry",32,1,0,1,0,0,0
"2",1,1,2,"study","Simon Cowell",74,1,0,1,0,0,0
"3",1,1,3,"study","Kristen Stewart",49,1,0,1,0,0,0
"4",1,2,4,"study","highlighter",212,1,0,3,0,0,0
"5",1,2,5,"study","acorn",175,1,0,3,0,0,0
"6",1,2,6,"study","pie",228,1,0,3,0,0,0
"7",1,3,7,"study","Pompeii",137,1,0,2,0,0,0
"8",1,3,8,"study","Atomium",93,1,0,2,0,0,0
"9",1,3,9,"study","Cinderella Castle",104,1,0,2,0,0,0
"10",1,4,10,"study","printer",230,1,0,3,0,0,0
"11",1,4,11,"study","stamp",245,1,0,3,0,0,0
"12",1,4,12,"study","lantern",219,1,0,3,0,0,0
"13",1,5,13,"study","Emma Watson",29,1,0,1,0,0,0
"14",1,5,14,"study","Lil Wayne",53,1,0,1,0,0,0
"15",1,5,15,"study","Meryl Streep",59,1,0,1,0,0,0
"16",1,6,16,"study","Shanghai",149,1,0,2,0,0,0
"17",1,6,17,"study","Chicago",102,1,0,2,0,0,0
"18",1,6,18,"study","Mecca",128,1,0,2,0,0,0
"19",1,7,19,"study","Bill Gates",12,1,0,1,0,0,0
"20",1,7,20,"study","Drake",24,1,0,1,0,0,0
"21",1,7,21,"study","Mariah Carey",57,1,0,1,0,0,0
"22",1,8,22,"study","Colosseum",105,1,0,2,0,0,0
"23",1,8,23,"study","Kyoto",122,1,0,2,0,0,0
"24",1,8,24,"study","Delphi",108,1,0,2,0,0,0
"25",1,9,25,"study","sink",241,1,0,3,0,0,0
"26",1,9,26,"study","glass",206,1,0,3,0,0,0
"27",1,9,27,"study","briefcase",191,1,0,3,0,0,0
"28",1,1,1,"study","Quincy Market",141,1,1,2,0,0,0
"29",1,1,2,"study","Vatican City",165,1,1,2,0,0,0
"30",1,1,3,"study","Lincoln Memorial",123,1,1,2,0,0,0
"31",1,2,4,"study","teapot",247,1,1,3,0,0,0
"32",1,2,5,"study","birdhouse",184,1,1,3,0,0,0
"33",1,2,6,"study","keychain",216,1,1,3,0,0,0
"34",1,3,7,"study","Alec Baldwin",2,1,1,1,0,0,0
"35",1,3,8,"study","Ashton Kutcher",8,1,1,1,0,0,0
"36",1,3,9,"study","Scarlett Johansson",73,1,1,1,0,0,0
"37",1,4,10,"study","kleenex",217,1,1,3,0,0,0
"38",1,4,11,"study","basket",180,1,1,3,0,0,0
"39",1,4,12,"study","bowling ball",188,1,1,3,0,0,0
"40",1,5,13,"study","Denzel Washington",23,1,1,1,0,0,0
"41",1,5,14,"study","Adam Sandler",1,1,1,1,0,0,0
"42",1,5,15,"study","Alicia Keys",3,1,1,1,0,0,0
"43",1,6,16,"study","Gettysburg",113,1,1,2,0,0,0
"44",1,6,17,"study","Quebec",140,1,1,2,0,0,0
"45",1,6,18,"study","Barcelona Cathedral",95,1,1,2,0,0,0
"46",1,7,19,"study","Johnny Depp",42,1,1,1,0,0,0
"47",1,7,20,"study","Jamie Foxx",37,1,1,1,0,0,0
"48",1,7,21,"study","Brad Pitt",13,1,1,1,0,0,0
"49",1,8,22,"study","Versailles",167,1,1,2,0,0,0
"50",1,8,23,"study","Louvre",124,1,1,2,0,0,0
"51",1,8,24,"study","Universal Studios",164,1,1,2,0,0,0
"52",1,9,25,"study","cactus",193,1,1,3,0,0,0
"53",1,9,26,"study","cigar",196,1,1,3,0,0,0
"54",1,9,27,"study","hanger",210,1,1,3,0,0,0
"55",1,1,1,"study","Alcatraz",90,1,0,2,0,0,0
"56",1,1,2,"study","Rio de Janeiro",143,1,0,2,0,0,0
"57",1,1,3,"study","Amazon River",91,1,0,2,0,0,0
"58",1,2,4,"study","Lindsay Lohan",54,1,0,1,0,0,0
"59",1,2,5,"study","Cameron Diaz",16,1,0,1,0,0,0
"60",1,2,6,"study","George Clooney",30,1,0,1,0,0,0
"61",1,3,7,"study","dollar",199,1,0,3,0,0,0
"62",1,3,8,"study","staple remover",246,1,0,3,0,0,0
"63",1,3,9,"study","tent",248,1,0,3,0,0,0
"64",1,4,10,"study","Soho",152,1,0,2,0,0,0
"65",1,4,11,"study","Petra",135,1,0,2,0,0,0
"66",1,4,12,"study","Taj Mahal",158,1,0,2,0,0,0
"67",1,5,13,"study","Drew Barrymore",25,1,0,1,0,0,0
