,condition,subject,model,control,massed,spaced,mixed
0,control,0,CMR,691.3623304845086,320.76561033622045,375.0077327064455,607.6891596404123
1,control,0,CMR-DE,691.5123707225769,318.7262293453995,372.69253276773884,591.2103235193068
2,control,1,CMR,409.72455956681034,288.9050124997875,366.2341542504562,447.50833176616914
3,control,1,CMR-DE,409.7248559315939,288.86371418192016,368.73138117036655,452.7114555970244
4,control,2,CMR,689.7029729102751,427.0209545019686,452.4571734903967,629.4220131180928
5,control,2,CMR-DE,682.8007555083032,420.49356687135037,470.31892547155303,615.8316562493765
6,control,3,CMR,280.78421251927364,218.44758115393103,324.40782595241575,269.4540959178146
7,control,3,CMR-DE,280.27609620300075,213.25275654023483,323.0906387169682,268.56142265712674
8,control,4,CMR,666.3785601943316,374.13471878816006,413.369198653986,650.8472972831571
9,control,4,CMR-DE,665.2024333816819,511.3797922616229,532.1645553684652,1258.2933717664177
10,control,5,CMR,636.5676462627507,419.2641872015509,405.0990076170692,655.465303435437
11,control,5,CMR-DE,636.3174610659976,415.46557423562234,416.9746634335738,645.4484465744836
12,control,6,CMR,322.21884182108124,162.22543409492872,217.96727649832738,314.10746513834783
13,control,6,CMR-DE,321.70288442653043,161.15772401473185,218.34130117312802,314.2467705805309
14,control,7,CMR,599.0876232179048,402.348644877761,410.2178004210899,658.2741629665617
15,control,7,CMR-DE,599.0935357228371,427.571615088267,401.61146448234945,977.3670055736253
16,control,8,CMR,-0.0,-0.0,-0.0,-0.0
17,control,8,CMR-DE,-0.0,-0.0,-0.0,-0.0
18,control,9,CMR,826.768323607691,376.40569442739945,414.0775953330577,554.4334968523519
19,control,9,CMR-DE,808.9747670816641,344.0352549678737,371.8001615655649,540.4803456524535
20,control,10,CMR,994.0847567878579,681.3338504793014,549.1880826838942,831.5419786138236
21,control,10,CMR-DE,983.0512020675958,602.0551469059434,519.7134066636311,743.2802453590042
22,control,11,CMR,1091.3793733401776,311.60175642325345,414.99173885155454,788.1222105429545
23,control,11,CMR-DE,1091.388633726317,310.16497472197295,420.3025054486958,790.6539470126296
24,control,12,CMR,771.1997480231165,457.38349145137425,436.8768316814189,609.6408858086022
25,control,12,CMR-DE,770.7144251079068,452.29733215712076,436.1601515527672,614.6552228489737
26,control,13,CMR,1206.0176927393563,678.5074911098811,541.1413492573397,1281.6888037666913
27,control,13,CMR-DE,1207.334602931072,579.2316241251538,534.5293010264596,1199.7707909570868
28,control,14,CMR,540.2621282670118,376.7995408770272,457.8227136214847,501.3731664608383
29,control,14,CMR-DE,540.9222185766544,377.69368426447886,444.31501142283264,500.12267964309166
30,control,15,CMR,611.977413478119,442.6340979879153,436.09086900031207,637.4030703459334
31,control,15,CMR-DE,612.6087348813165,442.07801039852245,435.71648934153825,655.8180957318935
32,control,16,CMR,552.0544846358227,371.15142002233694,383.9279827947732,522.3666020718473
33,control,16,CMR-DE,552.1090862804215,368.3601972529858,382.3665096454622,502.8134900908282
34,control,17,CMR,571.1586222088238,335.0100009513964,331.85608249963997,519.0018000122924
35,control,17,CMR-DE,567.2911195677138,337.5665237822212,372.3809915163894,519.702423177266
36,control,18,CMR,805.1937961313379,478.1104348740582,486.75987368211986,581.840254353645
37,control,18,CMR-DE,815.1995458866841,492.2638140135578,511.72889699614115,591.2798030396086
38,control,19,CMR,384.06170928303357,298.19533619156863,362.94243449400096,329.5436722351542
39,control,19,CMR-DE,387.27558840195843,343.4714763965163,401.9684292076389,332.6855158435194
40,control,20,CMR,576.6428610699826,444.5417322099753,476.6218008872376,637.8162480478134
41,control,20,CMR-DE,575.7695853757168,430.64884435471976,472.6147404450623,635.829318583343
42,control,21,CMR,442.13864150697657,380.6214126237222,246.51969282055023,236.1859419688034
43,control,21,CMR-DE,444.4714599227244,380.7457996592389,249.68607577002388,238.89150917955115
44,control,22,CMR,377.20745119646455,412.7080234624866,397.6254755592322,384.5918016510467
45,control,22,CMR-DE,375.521382904957,362.00004015402146,346.8347206610849,386.44969556113426
46,control,23,CMR,448.4954985145929,312.439499133431,322.0365312361867,493.7619118964593
47,control,23,CMR-DE,449.83963413491205,316.562551806887,320.19874829197084,499.8450188836649
48,control,24,CMR,1162.0616078336159,631.8787848757061,618.1806946776101,722.0173201721491
49,control,24,CMR-DE,1162.2323973079428,622.6853359700549,610.7789063706291,723.2735066718785
50,control,25,CMR,-0.0,-0.0,-0.0,-0.0
51,control,25,CMR-DE,-0.0,-0.0,-0.0,-0.0
52,control,26,CMR,388.50862157096964,251.55125479767048,276.0278487399471,302.53822413146577
53,control,26,CMR-DE,388.5387589516334,251.58037834906077,276.0506494711491,302.7789960728966
54,control,27,CMR,318.68801108184783,256.4978502504683,297.65977909540084,407.79445827280136
55,control,27,CMR-DE,319.1494049599591,255.75446436817018,300.31275268316597,408.57885289014087
56,control,28,CMR,506.936026901078,357.4874340991993,395.74765842695194,496.83667759722766
57,control,28,CMR-DE,507.2282012581383,355.93968797505835,394.17154344500653,496.2758656694909
58,control,29,CMR,407.68046218705757,318.4464504876345,305.7911641640175,387.3562059178286
59,control,29,CMR-DE,406.66754055726824,300.023317232975,292.6757027184199,376.7784068067491
60,control,30,CMR,457.43166517175234,232.3648888617043,360.8348970104978,384.8521306638141
61,control,30,CMR-DE,454.1645675709524,228.3246102643498,354.3789906900043,390.8245641913739
62,control,31,CMR,660.3797276832589,422.5159665253734,433.5747082069019,725.5086359069282
63,control,31,CMR-DE,668.2357784453172,384.4488259582979,414.3334408271654,626.4272968495156
64,control,32,CMR,485.0119998486015,414.2080923642437,377.9983663479076,513.5669574148673
65,control,32,CMR-DE,484.5014439799608,385.84189186718595,367.3510041520128,496.29832136181574
66,control,33,CMR,610.8402222006392,350.0211199842995,411.84635205213164,641.393119503766
67,control,33,CMR-DE,614.1849658479539,385.83350641186763,466.14432150532593,666.9576277708318
68,control,34,CMR,1691.2357112355394,897.8423346173881,1130.9935444289786,1317.420884633052
69,control,34,CMR-DE,1690.470302404192,878.1746788159785,1115.4908108923564,1301.0887373088663
70,massed,0,CMR,1052.3489508898433,278.11609987723386,325.9886521195167,766.0866617644356
71,massed,0,CMR-DE,1173.808244642937,277.62444246929385,354.8176152877376,890.4035616865452
72,massed,1,CMR,431.8132306146106,277.35397453152245,370.67291458204306,405.78936712667434
73,massed,1,CMR-DE,448.29012660427446,277.23758994462634,369.1586329295705,419.5362107750443
74,massed,2,CMR,1073.849009366102,400.6479760855502,439.7241381559018,821.438875393123
75,massed,2,CMR-DE,1140.465905409781,400.55781203382736,438.5450739393991,860.4942755133073
76,massed,3,CMR,303.1070030493023,206.5585547258327,330.85618966398783,293.6070651685874
77,massed,3,CMR-DE,288.4840014343757,208.35333098074858,329.64834990682914,280.2602183634104
78,massed,4,CMR,1030.7851054029397,348.38081917895477,397.23529735080945,787.4405392989836
79,massed,4,CMR-DE,1058.6418155858914,351.37810261958623,392.6266817414937,857.4955182730871
80,massed,5,CMR,781.7318808576726,393.8016207928196,388.8486518464198,768.3198166703127
81,massed,5,CMR-DE,836.805907687504,393.2565121996518,392.5286833714713,796.55772810791
82,massed,6,CMR,518.8121038720368,146.01200233250307,279.21832692372243,407.8841211811283
83,massed,6,CMR-DE,515.1780741541224,145.67569503769954,281.95495720446223,408.2689916569317
84,massed,7,CMR,920.9668775335776,344.58833875922596,541.4675294847839,1032.8701237038813
85,massed,7,CMR-DE,923.3017695304436,346.9074279966355,554.1671592005127,1032.831202230257
86,massed,8,CMR,-0.0,-0.0,-0.0,-0.0
87,massed,8,CMR-DE,-0.0,-0.0,-0.0,-0.0
88,massed,9,CMR,1039.6989315886876,369.5152074326763,405.65984334084874,641.8685843254843
89,massed,9,CMR-DE,1015.2532692792997,359.8872446515262,389.9029156083236,627.1076450419691
90,massed,10,CMR,984.9129217994144,616.5960356433582,500.485682758273,722.9627677716903
91,massed,10,CMR-DE,1041.2891465304988,627.4827419476408,503.1132668442283,748.9059882866335
92,massed,11,CMR,2216.3982693997573,399.0549840707803,519.5661313480869,1849.0649195615415
93,massed,11,CMR-DE,2539.9483604964516,459.65302739736245,619.6899211660104,2115.037374636232
94,massed,12,CMR,921.0046034960761,420.7652120499003,412.7268709808216,670.2156820269438
95,massed,12,CMR-DE,1027.910642527817,436.1378954185651,434.8389244574337,729.5934290383165
96,massed,13,CMR,1672.620908199095,639.5122215620727,619.824182556281,1694.4609664746101
97,massed,13,CMR-DE,1678.4802092694022,628.8965502522651,614.829990686362,1702.0648384918227
98,massed,14,CMR,615.8598157626452,330.3805331172267,428.9880661826831,521.9958090757591
99,massed,14,CMR-DE,644.6928642310709,326.38972982413657,445.03206378847915,541.9162794132337
100,massed,15,CMR,600.8703896635261,400.8505686111578,402.5089830729353,616.9973270504804
101,massed,15,CMR-DE,615.8344227608386,399.1889291655246,411.4081234163773,635.7307759698945
102,massed,16,CMR,734.3577470126979,392.48309012930946,374.73451677948253,714.4427822023168
103,massed,16,CMR-DE,718.5264179754644,391.81019187701645,377.61424790896285,700.2185187810142
104,massed,17,CMR,619.2651683736456,325.3199205436511,334.8063485338855,554.5573244094365
105,massed,17,CMR-DE,723.3774634131605,332.3349787362499,346.76221870124107,699.2614712375315
106,massed,18,CMR,887.3714804467058,547.6875221458617,557.0614733066725,652.5057418520071
107,massed,18,CMR-DE,956.33392416635,554.7158735905047,566.3001376464288,702.4726738072145
108,massed,19,CMR,397.48139662891253,308.2350391204783,362.7641015977327,350.88645220807064
109,massed,19,CMR-DE,397.83020312297504,307.4108283749502,361.69072580779755,352.00275163429603
110,massed,20,CMR,599.0805296238836,428.35943602694454,467.4282446102486,667.2929753115886
111,massed,20,CMR-DE,602.1981570707608,427.8630927861949,466.7158172219905,675.1116211675843
112,massed,21,CMR,480.624864462588,379.7957580531686,256.02662751032835,242.31528096068178
113,massed,21,CMR-DE,490.02111475836136,386.446350276597,258.6379260365275,246.07701448468515
114,massed,22,CMR,375.135590856391,337.5686187570859,382.2401344769372,411.1858145299871
115,massed,22,CMR-DE,380.6675354789687,336.7523643573683,375.1862557733121,402.7899692743168
116,massed,23,CMR,431.21337234795027,296.8992965141712,308.12064963393186,453.84384065925576
117,massed,23,CMR-DE,443.3314646097756,297.07742342167404,311.4686165716205,452.7957240630003
118,massed,24,CMR,1533.5502714875784,1004.7135669420489,903.0958170856043,1046.4873698797182
119,massed,24,CMR-DE,1570.6758137513834,1004.3105406776772,902.0544911390193,1066.9491180463856
120,massed,25,CMR,-0.0,-0.0,-0.0,-0.0
121,massed,25,CMR-DE,-0.0,-0.0,-0.0,-0.0
122,massed,26,CMR,439.71802252208107,277.8533967260073,286.3926052915534,360.56659997762813
123,massed,26,CMR-DE,447.6271630559917,274.8184363490708,282.7162715520759,381.14956945354584
124,massed,27,CMR,359.7816052464269,342.47161608199275,389.52059654009685,462.07987097499694
125,massed,27,CMR-DE,370.98711265381155,340.650454525998,387.6190110259963,471.7530005580449
126,massed,28,CMR,1032.6317016980934,1151.3219103890133,1215.6420535035686,1212.7474494498113
127,massed,28,CMR-DE,1068.8088809027504,1159.3245351431574,1211.2552008370624,1292.8526827110932
128,massed,29,CMR,398.811423788697,308.13924310414734,290.1576509529252,369.56233529471865
129,massed,29,CMR-DE,403.0098466501387,313.3061552029481,294.20174232444185,372.83406916696015
130,massed,30,CMR,491.65681340525157,237.59539178460682,354.8845963780721,396.1796740674712
131,massed,30,CMR-DE,549.7718844135479,236.34038279798182,345.0418594409457,446.4385261966395
132,massed,31,CMR,913.6919524051089,460.43159116034997,535.3898646757764,1253.8661655435803
133,massed,31,CMR-DE,957.8764782985456,467.5788190531542,539.4057450336904,1308.9829964713322
134,massed,32,CMR,487.82424745301944,357.20700728933167,344.48739084034685,543.3103265448342
135,massed,32,CMR-DE,481.22641371443405,354.98874815059673,343.93691519451323,527.4122392054269
136,massed,33,CMR,895.9714585151467,369.8459194899997,452.85994075731355,882.3159499957483
137,massed,33,CMR-DE,971.5195234233748,374.4593325144705,451.79378446557286,923.6043128906203
138,massed,34,CMR,1846.5608991465392,996.340164378415,1283.4375398241264,1434.0210300550762
139,massed,34,CMR-DE,1955.9753569353625,979.5273695315253,1257.3325930802973,1503.4165826986768
140,spaced,0,CMR,1021.5677392835039,303.7576406936226,276.78129558571777,720.4438843876077
141,spaced,0,CMR-DE,1018.5013475379069,311.27457725146326,270.76451163885065,712.8539076287146
142,spaced,1,CMR,424.03990576154985,288.4020890763713,347.52281976089944,437.5220028628239
143,spaced,1,CMR-DE,430.6206586289171,286.3102832725091,354.97146105791,440.97481986464004
144,spaced,2,CMR,1003.1783240640877,440.28490815248676,406.33412828215296,765.0987793750057
145,spaced,2,CMR-DE,1010.6977570550031,431.3070129544253,409.2748335550219,763.4989785075956
146,spaced,3,CMR,293.678918007923,217.089675036034,317.13263773706035,283.00802602277633
147,spaced,3,CMR-DE,293.5845399523232,221.518389147001,318.3167679585146,282.94495388799
148,spaced,4,CMR,1108.260577865819,371.3086036559615,386.37136038286945,828.1782924191098
149,spaced,4,CMR-DE,1197.7058631042232,370.08303665368896,387.5385672847601,862.3431283705326
150,spaced,5,CMR,763.0626056087528,421.18220980918096,372.1782936762047,760.7102126529505
151,spaced,5,CMR-DE,778.0311086750044,424.06961971267447,372.6329597199826,767.5599471212179
152,spaced,6,CMR,380.3257987106131,163.43146267087633,207.5846419994797,318.91704967542864
153,spaced,6,CMR-DE,399.1673559073316,162.33193228519076,205.57318538084073,326.17242350918593
154,spaced,7,CMR,655.6400953262531,361.564861815278,375.4575575311833,662.0600514600732
