index,subject,input,recall,source
0,63,1,0.8928571428571429,data
1,63,2,0.8571428571428571,data
2,63,3,0.7142857142857143,data
3,63,4,0.5714285714285714,data
4,63,5,0.6785714285714286,data
5,63,6,0.6071428571428571,data
6,63,7,0.5357142857142857,data
7,63,8,0.6428571428571429,data
8,63,9,0.6428571428571429,data
9,63,10,0.6071428571428571,data
10,63,11,0.6785714285714286,data
11,63,12,0.5357142857142857,data
12,63,13,0.4642857142857143,data
13,63,14,0.75,data
14,63,15,0.75,data
15,63,16,0.7857142857142857,data
0,64,1,0.8214285714285714,data
1,64,2,0.8571428571428571,data
2,64,3,0.8214285714285714,data
3,64,4,0.7857142857142857,data
4,64,5,0.8214285714285714,data
5,64,6,0.75,data
6,64,7,0.8214285714285714,data
7,64,8,0.8214285714285714,data
8,64,9,0.7857142857142857,data
9,64,10,0.75,data
10,64,11,0.7857142857142857,data
11,64,12,0.75,data
12,64,13,1.0,data
13,64,14,1.0,data
14,64,15,1.0,data
15,64,16,1.0,data
0,65,1,0.8214285714285714,data
1,65,2,0.5,data
2,65,3,0.5,data
3,65,4,0.4642857142857143,data
4,65,5,0.5357142857142857,data
5,65,6,0.42857142857142855,data
6,65,7,0.39285714285714285,data
7,65,8,0.25,data
8,65,9,0.32142857142857145,data
9,65,10,0.4642857142857143,data
10,65,11,0.42857142857142855,data
11,65,12,0.6785714285714286,data
12,65,13,0.6785714285714286,data
13,65,14,0.8214285714285714,data
14,65,15,0.9642857142857143,data
15,65,16,1.0,data
0,66,1,0.9642857142857143,data
1,66,2,0.9285714285714286,data
2,66,3,0.8928571428571429,data
3,66,4,0.7857142857142857,data
4,66,5,0.75,data
5,66,6,0.8571428571428571,data
6,66,7,0.75,data
7,66,8,0.7857142857142857,data
8,66,9,0.7142857142857143,data
9,66,10,0.6428571428571429,data
10,66,11,0.7142857142857143,data
11,66,12,0.5,data
12,66,13,0.8214285714285714,data
13,66,14,0.75,data
14,66,15,0.75,data
15,66,16,0.7857142857142857,data
0,67,1,0.8571428571428571,data
1,67,2,0.7857142857142857,data
2,67,3,0.8571428571428571,data
3,67,4,0.7857142857142857,data
4,67,5,0.7142857142857143,data
5,67,6,0.7142857142857143,data
6,67,7,0.7142857142857143,data
7,67,8,0.6785714285714286,data
8,67,9,0.75,data
9,67,10,0.6428571428571429,data
10,67,11,0.5357142857142857,data
11,67,12,0.75,data
12,67,13,0.8571428571428571,data
13,67,14,0.9285714285714286,data
14,67,15,0.9285714285714286,data
15,67,16,0.9642857142857143,data
0,69,1,0.9285714285714286,data
1,69,2,0.75,data
2,69,3,0.5714285714285714,data
3,69,4,0.5714285714285714,data
4,69,5,0.75,data
5,69,6,0.7142857142857143,data
6,69,7,0.5714285714285714,data
7,69,8,0.39285714285714285,data
8,69,9,0.6428571428571429,data
9,69,10,0.5714285714285714,data
10,69,11,0.7142857142857143,data
11,69,12,0.5357142857142857,data
12,69,13,0.6785714285714286,data
13,69,14,0.6785714285714286,data
14,69,15,0.9285714285714286,data
15,69,16,0.8571428571428571,data
0,70,1,0.6428571428571429,data
1,70,2,0.42857142857142855,data
2,70,3,0.5,data
3,70,4,0.5,data
4,70,5,0.42857142857142855,data
5,70,6,0.4642857142857143,data
6,70,7,0.5,data
7,70,8,0.35714285714285715,data
8,70,9,0.42857142857142855,data
9,70,10,0.42857142857142855,data
10,70,11,0.5,data
11,70,12,0.39285714285714285,data
12,70,13,0.5,data
13,70,14,0.5714285714285714,data
14,70,15,0.75,data
15,70,16,0.9285714285714286,data
0,73,1,0.9285714285714286,data
1,73,2,0.8214285714285714,data
2,73,3,0.75,data
3,73,4,0.6785714285714286,data
4,73,5,0.5,data
5,73,6,0.5714285714285714,data
6,73,7,0.6428571428571429,data
7,73,8,0.5357142857142857,data
8,73,9,0.5,data
9,73,10,0.5,data
10,73,11,0.5,data
11,73,12,0.5357142857142857,data
12,73,13,0.8928571428571429,data
13,73,14,0.7142857142857143,data
14,73,15,0.8214285714285714,data
15,73,16,0.8928571428571429,data
0,74,1,0.9285714285714286,data
1,74,2,0.8928571428571429,data
2,74,3,0.7142857142857143,data
3,74,4,0.9285714285714286,data
4,74,5,0.8928571428571429,data
5,74,6,0.8571428571428571,data
6,74,7,0.8214285714285714,data
7,74,8,0.75,data
8,74,9,0.6428571428571429,data
9,74,10,0.75,data
10,74,11,0.6785714285714286,data
11,74,12,0.75,data
12,74,13,0.8571428571428571,data
13,74,14,0.9642857142857143,data
14,74,15,0.9642857142857143,data
15,74,16,0.9642857142857143,data
0,75,1,0.42857142857142855,data
1,75,2,0.42857142857142855,data
2,75,3,0.35714285714285715,data
3,75,4,0.2857142857142857,data
4,75,5,0.2857142857142857,data
5,75,6,0.21428571428571427,data
6,75,7,0.32142857142857145,data
7,75,8,0.25,data
8,75,9,0.35714285714285715,data
9,75,10,0.35714285714285715,data
10,75,11,0.35714285714285715,data
11,75,12,0.39285714285714285,data
12,75,13,0.4642857142857143,data
13,75,14,0.8214285714285714,data
14,75,15,0.9285714285714286,data
15,75,16,1.0,data
0,76,1,1.0,data
1,76,2,0.7857142857142857,data
2,76,3,0.8571428571428571,data
3,76,4,0.7142857142857143,data
4,76,5,0.8214285714285714,data
5,76,6,0.9285714285714286,data
6,76,7,0.9285714285714286,data
7,76,8,0.8571428571428571,data
8,76,9,0.9642857142857143,data
9,76,10,0.8571428571428571,data
10,76,11,0.8214285714285714,data
11,76,12,0.8571428571428571,data
12,76,13,0.8928571428571429,data
13,76,14,1.0,data
14,76,15,0.9642857142857143,data
15,76,16,1.0,data
0,77,1,0.8928571428571429,data
1,77,2,0.75,data
2,77,3,0.7142857142857143,data
3,77,4,0.7857142857142857,data
4,77,5,0.7142857142857143,data
5,77,6,0.7857142857142857,data
6,77,7,0.75,data
7,77,8,0.7142857142857143,data
8,77,9,0.6428571428571429,data
9,77,10,0.5357142857142857,data
10,77,11,0.6071428571428571,data
11,77,12,0.7142857142857143,data
12,77,13,0.7857142857142857,data
13,77,14,0.6785714285714286,data
14,77,15,0.8571428571428571,data
15,77,16,1.0,data
0,79,1,0.9285714285714286,data
1,79,2,0.8928571428571429,data
2,79,3,0.8928571428571429,data
3,79,4,0.7142857142857143,data
4,79,5,0.7142857142857143,data
5,79,6,0.6785714285714286,data
6,79,7,0.6785714285714286,data
7,79,8,0.7142857142857143,data
8,79,9,0.6428571428571429,data
9,79,10,0.5714285714285714,data
10,79,11,0.5714285714285714,data
11,79,12,0.6785714285714286,data
12,79,13,0.9285714285714286,data
13,79,14,0.8928571428571429,data
14,79,15,1.0,data
15,79,16,0.9642857142857143,data
0,81,1,0.9642857142857143,data
1,81,2,0.75,data
2,81,3,0.75,data
3,81,4,0.6785714285714286,data
4,81,5,0.75,data
5,81,6,0.7857142857142857,data
6,81,7,0.7142857142857143,data
7,81,8,0.75,data
8,81,9,0.6071428571428571,data
9,81,10,0.7142857142857143,data
10,81,11,0.75,data
11,81,12,0.7142857142857143,data
12,81,13,0.6071428571428571,data
13,81,14,0.42857142857142855,data
14,81,15,0.9285714285714286,data
15,81,16,1.0,data
0,82,1,0.8571428571428571,data
1,82,2,0.6428571428571429,data
2,82,3,0.6785714285714286,data
3,82,4,0.7857142857142857,data
4,82,5,0.6785714285714286,data
5,82,6,0.5357142857142857,data
6,82,7,0.6785714285714286,data
7,82,8,0.5,data
8,82,9,0.5714285714285714,data
9,82,10,0.6785714285714286,data
10,82,11,0.7142857142857143,data
11,82,12,0.6428571428571429,data
12,82,13,0.6071428571428571,data
13,82,14,0.75,data
14,82,15,0.8928571428571429,data
15,82,16,1.0,data
0,84,1,0.5714285714285714,data
1,84,2,0.5,data
2,84,3,0.32142857142857145,data
3,84,4,0.39285714285714285,data
4,84,5,0.5357142857142857,data
5,84,6,0.25,data
6,84,7,0.42857142857142855,data
7,84,8,0.32142857142857145,data
8,84,9,0.5357142857142857,data
9,84,10,0.5357142857142857,data
10,84,11,0.5,data
11,84,12,0.5357142857142857,data
12,84,13,0.7142857142857143,data
13,84,14,0.7142857142857143,data
14,84,15,0.7142857142857143,data
15,84,16,0.9642857142857143,data
0,85,1,0.9642857142857143,data
1,85,2,0.9285714285714286,data
2,85,3,1.0,data
3,85,4,1.0,data
4,85,5,0.9642857142857143,data
5,85,6,0.8214285714285714,data
6,85,7,0.9285714285714286,data
7,85,8,0.9285714285714286,data
8,85,9,0.8928571428571429,data
9,85,10,0.8928571428571429,data
10,85,11,0.9642857142857143,data
11,85,12,0.9642857142857143,data
12,85,13,0.8214285714285714,data
13,85,14,0.8571428571428571,data
14,85,15,0.9285714285714286,data
15,85,16,0.7142857142857143,data
0,86,1,0.7857142857142857,data
1,86,2,0.8214285714285714,data
2,86,3,0.6071428571428571,data
3,86,4,0.6785714285714286,data
4,86,5,0.6785714285714286,data
5,86,6,0.5357142857142857,data
6,86,7,0.5357142857142857,data
7,86,8,0.6428571428571429,data
8,86,9,0.42857142857142855,data
9,86,10,0.42857142857142855,data
10,86,11,0.6071428571428571,data
11,86,12,0.5357142857142857,data
12,86,13,0.7142857142857143,data
13,86,14,0.8571428571428571,data
14,86,15,0.8928571428571429,data
15,86,16,0.9642857142857143,data
0,87,1,0.6071428571428571,data
1,87,2,0.6071428571428571,data
2,87,3,0.42857142857142855,data
3,87,4,0.4642857142857143,data
4,87,5,0.5357142857142857,data
5,87,6,0.32142857142857145,data
6,87,7,0.42857142857142855,data
7,87,8,0.42857142857142855,data
8,87,9,0.42857142857142855,data
9,87,10,0.42857142857142855,data
10,87,11,0.39285714285714285,data
11,87,12,0.5,data
12,87,13,0.4642857142857143,data
13,87,14,0.5357142857142857,data
14,87,15,0.7142857142857143,data
15,87,16,0.9642857142857143,data
0,88,1,0.75,data
1,88,2,0.7857142857142857,data
2,88,3,0.7142857142857143,data
3,88,4,0.6071428571428571,data
4,88,5,0.6785714285714286,data
5,88,6,0.6785714285714286,data
6,88,7,0.6428571428571429,data
7,88,8,0.6071428571428571,data
8,88,9,0.6071428571428571,data
9,88,10,0.5714285714285714,data
10,88,11,0.6071428571428571,data
11,88,12,0.4642857142857143,data
12,88,13,0.6428571428571429,data
13,88,14,0.7142857142857143,data
14,88,15,0.7857142857142857,data
15,88,16,0.9285714285714286,data
0,89,1,0.9642857142857143,data
1,89,2,0.9642857142857143,data
2,89,3,0.8571428571428571,data
3,89,4,0.8928571428571429,data
4,89,5,0.8214285714285714,data
5,89,6,0.7857142857142857,data
6,89,7,0.8928571428571429,data
7,89,8,0.8214285714285714,data
8,89,9,0.8214285714285714,data
9,89,10,0.5714285714285714,data
10,89,11,0.6071428571428571,data
11,89,12,0.5357142857142857,data
12,89,13,0.5714285714285714,data
13,89,14,0.5,data
14,89,15,0.6785714285714286,data
15,89,16,0.7857142857142857,data
0,90,1,0.7857142857142857,data
1,90,2,0.8571428571428571,data
2,90,3,0.7142857142857143,data
3,90,4,0.6785714285714286,data
4,90,5,0.6785714285714286,data
5,90,6,0.7142857142857143,data
6,90,7,0.75,data
7,90,8,0.6428571428571429,data
8,90,9,0.75,data
9,90,10,0.6071428571428571,data
10,90,11,0.6428571428571429,data
11,90,12,0.75,data
12,90,13,0.7857142857142857,data
13,90,14,0.7857142857142857,data
14,90,15,0.8928571428571429,data
15,90,16,1.0,data
0,91,1,0.7142857142857143,data
1,91,2,0.6071428571428571,data
2,91,3,0.5714285714285714,data
3,91,4,0.5714285714285714,data
4,91,5,0.35714285714285715,data
5,91,6,0.42857142857142855,data
6,91,7,0.5357142857142857,data
7,91,8,0.4642857142857143,data
8,91,9,0.4642857142857143,data
9,91,10,0.39285714285714285,data
10,91,11,0.42857142857142855,data
11,91,12,0.35714285714285715,data
12,91,13,0.39285714285714285,data
13,91,14,0.5714285714285714,data
14,91,15,0.5714285714285714,data
15,91,16,0.9642857142857143,data
0,92,1,0.9642857142857143,data
1,92,2,0.8571428571428571,data
2,92,3,0.8928571428571429,data
3,92,4,0.9285714285714286,data
4,92,5,0.8928571428571429,data
5,92,6,0.8571428571428571,data
6,92,7,0.7142857142857143,data
7,92,8,0.6428571428571429,data
8,92,9,0.7857142857142857,data
9,92,10,0.8571428571428571,data
10,92,11,0.8571428571428571,data
11,92,12,0.7857142857142857,data
12,92,13,0.7142857142857143,data
13,92,14,0.7142857142857143,data
14,92,15,0.7857142857142857,data
15,92,16,0.8928571428571429,data
0,93,1,0.75,data
1,93,2,0.6071428571428571,data
2,93,3,0.39285714285714285,data
3,93,4,0.25,data
4,93,5,0.39285714285714285,data
5,93,6,0.14285714285714285,data
6,93,7,0.2857142857142857,data
7,93,8,0.32142857142857145,data
8,93,9,0.25,data
9,93,10,0.25,data
10,93,11,0.5357142857142857,data
11,93,12,0.2857142857142857,data
12,93,13,0.39285714285714285,data
13,93,14,0.6071428571428571,data
14,93,15,0.6785714285714286,data
15,93,16,1.0,data
0,94,1,0.7857142857142857,data
1,94,2,0.5357142857142857,data
2,94,3,0.32142857142857145,data
3,94,4,0.42857142857142855,data
4,94,5,0.21428571428571427,data
5,94,6,0.2857142857142857,data
6,94,7,0.25,data
7,94,8,0.32142857142857145,data
8,94,9,0.42857142857142855,data
9,94,10,0.25,data
10,94,11,0.39285714285714285,data
11,94,12,0.32142857142857145,data
12,94,13,0.5357142857142857,data
13,94,14,0.5,data
14,94,15,0.7857142857142857,data
15,94,16,1.0,data
0,95,1,0.75,data
1,95,2,0.6071428571428571,data
2,95,3,0.5,data
3,95,4,0.5714285714285714,data
4,95,5,0.4642857142857143,data
5,95,6,0.42857142857142855,data
6,95,7,0.5,data
7,95,8,0.35714285714285715,data
8,95,9,0.5,data
9,95,10,0.4642857142857143,data
10,95,11,0.35714285714285715,data
11,95,12,0.4642857142857143,data
12,95,13,0.5714285714285714,data
13,95,14,0.6071428571428571,data
14,95,15,0.7857142857142857,data
15,95,16,0.7857142857142857,data
0,96,1,0.5714285714285714,data
1,96,2,0.6428571428571429,data
2,96,3,0.5714285714285714,data
3,96,4,0.6071428571428571,data
4,96,5,0.5357142857142857,data
5,96,6,0.5357142857142857,data
6,96,7,0.4642857142857143,data
7,96,8,0.39285714285714285,data
8,96,9,0.42857142857142855,data
9,96,10,0.35714285714285715,data
10,96,11,0.32142857142857145,data
11,96,12,0.32142857142857145,data
12,96,13,0.42857142857142855,data
13,96,14,0.42857142857142855,data
14,96,15,0.6785714285714286,data
15,96,16,0.8571428571428571,data
0,98,1,0.8214285714285714,data
1,98,2,0.8214285714285714,data
2,98,3,0.8214285714285714,data
3,98,4,0.7857142857142857,data
4,98,5,0.75,data
5,98,6,0.5714285714285714,data
6,98,7,0.7857142857142857,data
7,98,8,0.6785714285714286,data
8,98,9,0.5714285714285714,data
9,98,10,0.6428571428571429,data
10,98,11,0.8571428571428571,data
11,98,12,0.6428571428571429,data
12,98,13,0.7142857142857143,data
13,98,14,0.8214285714285714,data
14,98,15,0.8214285714285714,data
15,98,16,0.9642857142857143,data
0,99,1,0.8928571428571429,data
1,99,2,0.6785714285714286,data
2,99,3,0.6428571428571429,data
3,99,4,0.6785714285714286,data
4,99,5,0.6071428571428571,data
5,99,6,0.75,data
6,99,7,0.7142857142857143,data
7,99,8,0.8214285714285714,data
8,99,9,0.8214285714285714,data
9,99,10,0.75,data
10,99,11,0.6785714285714286,data
11,99,12,0.6428571428571429,data
12,99,13,0.6428571428571429,data
13,99,14,0.6428571428571429,data
14,99,15,0.7857142857142857,data
15,99,16,1.0,data
0,100,1,0.6428571428571429,data
1,100,2,0.4642857142857143,data
2,100,3,0.2857142857142857,data
3,100,4,0.5,data
4,100,5,0.39285714285714285,data
5,100,6,0.42857142857142855,data
6,100,7,0.32142857142857145,data
7,100,8,0.39285714285714285,data
8,100,9,0.5,data
9,100,10,0.5714285714285714,data
10,100,11,0.42857142857142855,data
11,100,12,0.4642857142857143,data
12,100,13,0.6071428571428571,data
13,100,14,0.7857142857142857,data
14,100,15,0.8928571428571429,data
15,100,16,0.9642857142857143,data
0,101,1,0.9642857142857143,data
1,101,2,0.9285714285714286,data
2,101,3,0.9285714285714286,data
3,101,4,0.9285714285714286,data
4,101,5,0.8928571428571429,data
5,101,6,0.9285714285714286,data
6,101,7,0.9642857142857143,data
7,101,8,0.9642857142857143,data
8,101,9,0.8214285714285714,data
9,101,10,0.6785714285714286,data
10,101,11,0.8214285714285714,data
11,101,12,0.7857142857142857,data
12,101,13,0.8214285714285714,data
13,101,14,0.8214285714285714,data
14,101,15,0.8928571428571429,data
15,101,16,1.0,data
0,102,1,0.8928571428571429,data
1,102,2,0.6428571428571429,data
2,102,3,0.5,data
3,102,4,0.5,data
4,102,5,0.5714285714285714,data
5,102,6,0.5357142857142857,data
6,102,7,0.5,data
7,102,8,0.5,data
8,102,9,0.4642857142857143,data
9,102,10,0.42857142857142855,data
10,102,11,0.6785714285714286,data
11,102,12,0.5,data
12,102,13,0.5357142857142857,data
13,102,14,0.7142857142857143,data
14,102,15,0.7142857142857143,data
15,102,16,0.9642857142857143,data
0,103,1,0.42857142857142855,data
1,103,2,0.39285714285714285,data
2,103,3,0.2857142857142857,data
3,103,4,0.42857142857142855,data
4,103,5,0.2857142857142857,data
5,103,6,0.25,data
6,103,7,0.21428571428571427,data
7,103,8,0.17857142857142858,data
8,103,9,0.17857142857142858,data
9,103,10,0.2857142857142857,data
10,103,11,0.21428571428571427,data
11,103,12,0.10714285714285714,data
12,103,13,0.32142857142857145,data
13,103,14,0.39285714285714285,data
14,103,15,0.6428571428571429,data
15,103,16,0.9642857142857143,data
0,104,1,1.0,data
1,104,2,0.9285714285714286,data
2,104,3,0.8928571428571429,data
3,104,4,0.8214285714285714,data
4,104,5,0.9285714285714286,data
5,104,6,0.7857142857142857,data
6,104,7,0.8571428571428571,data
7,104,8,0.8214285714285714,data
8,104,9,0.8928571428571429,data
9,104,10,0.75,data
10,104,11,0.7857142857142857,data
11,104,12,0.6785714285714286,data
12,104,13,0.9285714285714286,data
13,104,14,0.8214285714285714,data
14,104,15,0.8571428571428571,data
15,104,16,0.9642857142857143,data
0,105,1,0.9285714285714286,data
1,105,2,0.8571428571428571,data
2,105,3,0.8928571428571429,data
3,105,4,0.9642857142857143,data
4,105,5,0.7857142857142857,data
5,105,6,0.6428571428571429,data
6,105,7,0.75,data
7,105,8,0.6071428571428571,data
8,105,9,0.5714285714285714,data
9,105,10,0.5714285714285714,data
10,105,11,0.5714285714285714,data
11,105,12,0.7857142857142857,data
12,105,13,0.7142857142857143,data
