subject,list,item,input,output,study,recall,repeat,intrusion,first_input,list_length
63,0,0,1,2.0,True,True,0,False,1,40
63,0,1,2,3.0,True,True,0,False,2,40
63,0,2,3,,True,False,0,False,3,40
63,0,3,4,,True,False,0,False,4,40
63,0,4,5,,True,False,0,False,5,40
63,0,5,6,,True,False,0,False,6,40
63,0,6,7,,True,False,0,False,7,40
63,0,7,8,,True,False,0,False,8,40
63,0,8,9,,True,False,0,False,9,40
63,0,9,10,,True,False,0,False,10,40
63,0,10,11,,True,False,0,False,11,40
63,0,11,12,,True,False,0,False,12,40
63,0,12,13,6.0,True,True,0,False,13,40
63,0,13,14,,True,False,0,False,14,40
63,0,14,15,,True,False,0,False,15,40
63,0,15,16,,True,False,0,False,16,40
63,0,16,17,,True,False,0,False,17,40
63,0,17,18,,True,False,0,False,18,40
63,0,18,19,,True,False,0,False,19,40
63,0,19,20,,True,False,0,False,20,40
63,0,20,21,,True,False,0,False,21,40
63,0,21,22,,True,False,0,False,22,40
63,0,22,23,,True,False,0,False,23,40
63,0,23,24,4.0,True,True,0,False,24,40
63,0,24,25,,True,False,0,False,25,40
63,0,25,26,,True,False,0,False,26,40
63,0,26,27,5.0,True,True,0,False,27,40
63,0,27,28,,True,False,0,False,28,40
63,0,28,29,8.0,True,True,0,False,29,40
63,0,29,30,9.0,True,True,0,False,30,40
63,0,30,31,,True,False,0,False,31,40
63,0,31,32,10.0,True,True,0,False,32,40
63,0,32,33,7.0,True,True,0,False,33,40
63,0,33,34,,True,False,0,False,34,40
63,0,34,35,,True,False,0,False,35,40
63,0,35,36,,True,False,0,False,36,40
63,0,36,37,,True,False,0,False,37,40
63,0,37,38,11.0,True,True,0,False,38,40
63,0,38,39,,True,False,0,False,39,40
63,0,39,40,1.0,True,True,0,False,40,40
63,1,0,1,5.0,True,True,0,False,1,40
63,1,1,2,4.0,True,True,0,False,2,40
63,1,2,3,,True,False,0,False,3,40
63,1,3,4,9.0,True,True,0,False,4,40
63,1,4,5,6.0,True,True,0,False,5,40
63,1,5,6,,True,False,0,False,6,40
63,1,6,7,,True,False,0,False,7,40
63,1,7,8,,True,False,0,False,8,40
63,1,8,9,,True,False,0,False,9,40
63,1,9,10,10.0,True,True,0,False,10,40
63,1,10,11,,True,False,0,False,11,40
63,1,11,12,,True,False,0,False,12,40
63,1,12,13,,True,False,0,False,13,40
63,1,13,14,8.0,True,True,0,False,14,40
63,1,14,15,,True,False,0,False,15,40
63,1,15,16,7.0,True,True,0,False,16,40
63,1,16,17,11.0,True,True,0,False,17,40
63,1,17,18,12.0,True,True,0,False,18,40
63,1,18,19,13.0,True,True,0,False,19,40
63,1,19,20,,True,False,0,False,20,40
63,1,20,21,,True,False,0,False,21,40
63,1,21,22,,True,False,0,False,22,40
63,1,22,23,,True,False,0,False,23,40
63,1,23,24,,True,False,0,False,24,40
63,1,24,25,,True,False,0,False,25,40
63,1,25,26,2.0,True,True,0,False,26,40
63,1,26,27,,True,False,0,False,27,40
63,1,27,28,,True,False,0,False,28,40
63,1,28,29,,True,False,0,False,29,40
63,1,29,30,3.0,True,True,0,False,30,40
63,1,30,31,,True,False,0,False,31,40
63,1,31,32,,True,False,0,False,32,40
63,1,32,33,,True,False,0,False,33,40
63,1,33,34,,True,False,0,False,34,40
63,1,34,35,,True,False,0,False,35,40
63,1,35,36,,True,False,0,False,36,40
63,1,36,37,1.0,True,True,0,False,37,40
63,1,37,38,,True,False,0,False,38,40
63,1,38,39,,True,False,0,False,39,40
63,1,39,40,,True,False,0,False,40,40
63,2,0,1,,True,False,0,False,1,40
63,2,1,2,1.0,True,True,0,False,2,40
63,2,2,3,,True,False,0,False,3,40
63,2,3,4,,True,False,0,False,4,40
63,2,4,5,3.0,True,True,0,False,5,40
63,2,5,6,,True,False,0,False,6,40
63,2,6,7,2.0,True,True,0,False,7,40
63,2,7,8,6.0,True,True,0,False,8,40
63,2,8,9,,True,False,0,False,9,40
63,2,9,10,,True,False,0,False,10,40
63,2,10,11,10.0,True,True,0,False,11,40
63,2,11,12,,True,False,0,False,12,40
63,2,12,13,4.0,True,True,0,False,13,40
63,2,13,14,,True,False,0,False,14,40
63,2,14,15,5.0,True,True,0,False,15,40
63,2,15,16,,True,False,0,False,16,40
63,2,16,17,,True,False,0,False,17,40
63,2,17,18,,True,False,0,False,18,40
63,2,18,19,,True,False,0,False,19,40
63,2,19,20,,True,False,0,False,20,40
63,2,20,21,,True,False,0,False,21,40
63,2,21,22,,True,False,0,False,22,40
63,2,22,23,,True,False,0,False,23,40
63,2,23,24,,True,False,0,False,24,40
63,2,24,25,,True,False,0,False,25,40
63,2,25,26,7.0,True,True,0,False,26,40
63,2,26,27,,True,False,0,False,27,40
63,2,27,28,8.0,True,True,0,False,28,40
63,2,28,29,,True,False,0,False,29,40
63,2,29,30,9.0,True,True,0,False,30,40
63,2,30,31,11.0,True,True,0,False,31,40
63,2,31,32,,True,False,0,False,32,40
63,2,32,33,,True,False,0,False,33,40
63,2,33,34,,True,False,0,False,34,40
63,2,34,35,,True,False,0,False,35,40
63,2,35,36,,True,False,0,False,36,40
63,2,36,37,,True,False,0,False,37,40
63,2,37,38,,True,False,0,False,38,40
63,2,38,39,,True,False,0,False,39,40
63,2,39,40,,True,False,0,False,40,40
63,3,0,1,,True,False,0,False,1,40
63,3,1,2,,True,False,0,False,2,40
63,3,2,3,2.0,True,True,0,False,3,40
63,3,3,4,,True,False,0,False,4,40
63,3,4,5,,True,False,0,False,5,40
63,3,5,6,,True,False,0,False,6,40
63,3,6,7,,True,False,0,False,7,40
63,3,7,8,8.0,True,True,0,False,8,40
63,3,8,9,,True,False,0,False,9,40
63,3,9,10,,True,False,0,False,10,40
63,3,10,11,,True,False,0,False,11,40
63,3,11,12,,True,False,0,False,12,40
63,3,12,13,,True,False,0,False,13,40
63,3,13,14,,True,False,0,False,14,40
63,3,14,15,,True,False,0,False,15,40
63,3,15,16,,True,False,0,False,16,40
63,3,16,17,10.0,True,True,0,False,17,40
63,3,17,18,,True,False,0,False,18,40
63,3,18,19,,True,False,0,False,19,40
63,3,19,20,,True,False,0,False,20,40
63,3,20,21,13.0,True,True,0,False,21,40
63,3,21,22,4.0,True,True,0,False,22,40
63,3,22,23,14.0,True,True,0,False,23,40
63,3,23,24,7.0,True,True,0,False,24,40
63,3,24,25,,True,False,0,False,25,40
63,3,25,26,15.0,True,True,0,False,26,40
63,3,26,27,,True,False,0,False,27,40
63,3,27,28,,True,False,0,False,28,40
63,3,28,29,11.0,True,True,0,False,29,40
63,3,29,30,,True,False,0,False,30,40
63,3,30,31,,True,False,0,False,31,40
63,3,31,32,3.0,True,True,0,False,32,40
63,3,32,33,1.0,True,True,0,False,33,40
63,3,33,34,,True,False,0,False,34,40
63,3,34,35,,True,False,0,False,35,40
63,3,35,36,,True,False,0,False,36,40
63,3,36,37,12.0,True,True,0,False,37,40
63,3,37,38,5.0,True,True,0,False,38,40
63,3,38,39,9.0,True,True,0,False,39,40
63,3,39,40,6.0,True,True,0,False,40,40
63,4,0,1,2.0,True,True,0,False,1,40
63,4,1,2,,True,False,0,False,2,40
63,4,2,3,,True,False,0,False,3,40
63,4,3,4,,True,False,0,False,4,40
63,4,4,5,,True,False,0,False,5,40
63,4,5,6,6.0,True,True,0,False,6,40
63,4,6,7,7.0,True,True,0,False,7,40
63,4,7,8,,True,False,0,False,8,40
63,4,8,9,1.0,True,True,0,False,9,40
63,4,9,10,,True,False,0,False,10,40
63,4,10,11,11.0,True,True,0,False,11,40
63,4,11,12,,True,False,0,False,12,40
63,4,12,13,3.0,True,True,0,False,13,40
63,4,13,14,9.0,True,True,0,False,14,40
63,4,14,15,,True,False,0,False,15,40
63,4,15,16,10.0,True,True,0,False,16,40
63,4,16,17,,True,False,0,False,17,40
63,4,17,18,4.0,True,True,0,False,18,40
63,4,18,19,,True,False,0,False,19,40
63,4,19,20,,True,False,0,False,20,40
63,4,20,21,,True,False,0,False,21,40
63,4,21,22,,True,False,0,False,22,40
63,4,22,23,,True,False,0,False,23,40
63,4,23,24,,True,False,0,False,24,40
63,4,24,25,5.0,True,True,0,False,25,40
63,4,25,26,8.0,True,True,0,False,26,40
63,4,26,27,,True,False,0,False,27,40
63,4,27,28,,True,False,0,False,28,40
63,4,28,29,,True,False,0,False,29,40
63,4,29,30,,True,False,0,False,30,40
63,4,30,31,,True,False,0,False,31,40
63,4,31,32,,True,False,0,False,32,40
63,4,32,33,,True,False,0,False,33,40
63,4,33,34,,True,False,0,False,34,40
63,4,34,35,,True,False,0,False,35,40
63,4,35,36,,True,False,0,False,36,40
63,4,36,37,,True,False,0,False,37,40
63,4,37,38,,True,False,0,False,38,40
63,4,38,39,,True,False,0,False,39,40
63,4,39,40,,True,False,0,False,40,40
63,5,0,1,,True,False,0,False,1,40
63,5,1,2,,True,False,0,False,2,40
63,5,2,3,,True,False,0,False,3,40
63,5,3,4,,True,False,0,False,4,40
63,5,4,5,,True,False,0,False,5,40
63,5,5,6,,True,False,0,False,6,40
63,5,6,7,,True,False,0,False,7,40
63,5,7,8,10.0,True,True,0,False,8,40
63,5,8,9,,True,False,0,False,9,40
63,5,9,10,1.0,True,True,0,False,10,40
63,5,10,11,,True,False,0,False,11,40
63,5,11,12,2.0,True,True,0,False,12,40
63,5,12,13,7.0,True,True,0,False,13,40
63,5,13,14,,True,False,0,False,14,40
63,5,14,15,11.0,True,True,0,False,15,40
63,5,15,16,,True,False,0,False,16,40
63,5,16,17,,True,False,0,False,17,40
63,5,17,18,,True,False,0,False,18,40
63,5,18,19,,True,False,0,False,19,40
63,5,19,20,,True,False,0,False,20,40
63,5,20,21,,True,False,0,False,21,40
63,5,21,22,,True,False,0,False,22,40
63,5,22,23,,True,False,0,False,23,40
63,5,23,24,,True,False,0,False,24,40
63,5,24,25,12.0,True,True,0,False,25,40
63,5,25,26,,True,False,0,False,26,40
63,5,26,27,,True,False,0,False,27,40
63,5,27,28,,True,False,0,False,28,40
63,5,28,29,4.0,True,True,0,False,29,40
63,5,29,30,,True,False,0,False,30,40
63,5,30,31,,True,False,0,False,31,40
63,5,31,32,3.0,True,True,0,False,32,40
63,5,32,33,,True,False,0,False,33,40
63,5,33,34,5.0,True,True,0,False,34,40
63,5,34,35,8.0,True,True,0,False,35,40
63,5,35,36,6.0,True,True,0,False,36,40
63,5,36,37,9.0,True,True,0,False,37,40
63,5,37,38,,True,False,0,False,38,40
63,5,38,39,13.0,True,True,0,False,39,40
63,5,39,40,,True,False,0,False,40,40
63,6,0,1,1.0,True,True,0,False,1,40
63,6,1,2,,True,False,0,False,2,40
63,6,2,3,,True,False,0,False,3,40
63,6,3,4,,True,False,0,False,4,40
63,6,4,5,,True,False,0,False,5,40
63,6,5,6,5.0,True,True,0,False,6,40
63,6,6,7,,True,False,0,False,7,40
63,6,7,8,,True,False,0,False,8,40
63,6,8,9,3.0,True,True,0,False,9,40
63,6,9,10,,True,False,0,False,10,40
63,6,10,11,4.0,True,True,0,False,11,40
63,6,11,12,,True,False,0,False,12,40
63,6,12,13,,True,False,0,False,13,40
63,6,13,14,,True,False,0,False,14,40
63,6,14,15,,True,False,0,False,15,40
63,6,15,16,,True,False,0,False,16,40
63,6,16,17,,True,False,0,False,17,40
63,6,17,18,,True,False,0,False,18,40
63,6,18,19,,True,False,0,False,19,40
63,6,19,20,,True,False,0,False,20,40
63,6,20,21,,True,False,0,False,21,40
63,6,21,22,,True,False,0,False,22,40
63,6,22,23,,True,False,0,False,23,40
63,6,23,24,6.0,True,True,0,False,24,40
63,6,24,25,,True,False,0,False,25,40
63,6,25,26,,True,False,0,False,26,40
63,6,26,27,8.0,True,True,0,False,27,40
63,6,27,28,7.0,True,True,0,False,28,40
63,6,28,29,,True,False,0,False,29,40
63,6,29,30,,True,False,0,False,30,40
63,6,30,31,,True,False,0,False,31,40
63,6,31,32,9.0,True,True,0,False,32,40
63,6,32,33,10.0,True,True,0,False,33,40
63,6,33,34,,True,False,0,False,34,40
63,6,34,35,11.0,True,True,0,False,35,40
63,6,35,36,,True,False,0,False,36,40
63,6,36,37,,True,False,0,False,37,40
63,6,37,38,2.0,True,True,0,False,38,40
63,6,38,39,,True,False,0,False,39,40
63,6,39,40,,True,False,0,False,40,40
63,7,0,1,,True,False,0,False,1,40
63,7,1,2,,True,False,0,False,2,40
63,7,2,3,,True,False,0,False,3,40
63,7,3,4,,True,False,0,False,4,40
63,7,4,5,,True,False,0,False,5,40
63,7,5,6,,True,False,0,False,6,40
63,7,6,7,7.0,True,True,0,False,7,40
63,7,7,8,11.0,True,True,0,False,8,40
63,7,8,9,,True,False,0,False,9,40
63,7,9,10,,True,False,0,False,10,40
63,7,10,11,,True,False,0,False,11,40
63,7,11,12,,True,False,0,False,12,40
63,7,12,13,6.0,True,True,0,False,13,40
63,7,13,14,5.0,True,True,0,False,14,40
63,7,14,15,,True,False,0,False,15,40
63,7,15,16,3.0,True,True,0,False,16,40
63,7,16,17,,True,False,0,False,17,40
63,7,17,18,,True,False,0,False,18,40
63,7,18,19,,True,False,0,False,19,40
63,7,19,20,1.0,True,True,0,False,20,40
63,7,20,21,,True,False,0,False,21,40
63,7,21,22,,True,False,0,False,22,40
63,7,22,23,,True,False,0,False,23,40
63,7,23,24,,True,False,0,False,24,40
63,7,24,25,,True,False,0,False,25,40
63,7,25,26,2.0,True,True,0,False,26,40
63,7,26,27,,True,False,0,False,27,40
63,7,27,28,,True,False,0,False,28,40
63,7,28,29,4.0,True,True,0,False,29,40
63,7,29,30,9.0,True,True,0,False,30,40
63,7,30,31,8.0,True,True,0,False,31,40
63,7,31,32,,True,False,0,False,32,40
63,7,32,33,,True,False,0,False,33,40
63,7,33,34,,True,False,0,False,34,40
63,7,34,35,10.0,True,True,0,False,35,40
63,7,35,36,,True,False,0,False,36,40
63,7,36,37,12.0,True,True,0,False,37,40
63,7,37,38,,True,False,0,False,38,40
63,7,38,39,,True,False,0,False,39,40
63,7,39,40,,True,False,0,False,40,40
63,8,0,1,,True,False,0,False,1,40
63,8,1,2,,True,False,0,False,2,40
63,8,2,3,,True,False,0,False,3,40
63,8,3,4,,True,False,0,False,4,40
63,8,4,5,,True,False,0,False,5,40
63,8,5,6,,True,False,0,False,6,40
63,8,6,7,,True,False,0,False,7,40
63,8,7,8,,True,False,0,False,8,40
63,8,8,9,,True,False,0,False,9,40
63,8,9,10,,True,False,0,False,10,40
63,8,10,11,,True,False,0,False,11,40
63,8,11,12,,True,False,0,False,12,40
63,8,12,13,,True,False,0,False,13,40
63,8,13,14,,True,False,0,False,14,40
63,8,14,15,,True,False,0,False,15,40
63,8,15,16,,True,False,0,False,16,40
63,8,16,17,,True,False,0,False,17,40
63,8,17,18,,True,False,0,False,18,40
63,8,18,19,,True,False,0,False,19,40
63,8,19,20,,True,False,0,False,20,40
63,8,20,21,,True,False,0,False,21,40
63,8,21,22,,True,False,0,False,22,40
63,8,22,23,10.0,True,True,0,False,23,40
63,8,23,24,,True,False,0,False,24,40
63,8,24,25,,True,False,0,False,25,40
63,8,25,26,,True,False,0,False,26,40
63,8,26,27,,True,False,0,False,27,40
63,8,27,28,,True,False,0,False,28,40
63,8,28,29,12.0,True,True,0,False,29,40
63,8,29,30,2.0,True,True,0,False,30,40
63,8,30,31,5.0,True,True,0,False,31,40
63,8,31,32,6.0,True,True,0,False,32,40
63,8,32,33,4.0,True,True,0,False,33,40
63,8,33,34,3.0,True,True,0,False,34,40
63,8,34,35,11.0,True,True,0,False,35,40
63,8,35,36,7.0,True,True,0,False,36,40
63,8,36,37,8.0,True,True,0,False,37,40
63,8,37,38,1.0,True,True,0,False,38,40
63,8,38,39,9.0,True,True,0,False,39,40
63,8,39,40,,True,False,0,False,40,40
63,9,0,1,1.0,True,True,0,False,1,40
63,9,1,2,,True,False,0,False,2,40
63,9,2,3,,True,False,0,False,3,40
63,9,3,4,7.0,True,True,0,False,4,40
63,9,4,5,2.0,True,True,0,False,5,40
63,9,5,6,8.0,True,True,0,False,6,40
63,9,6,7,,True,False,0,False,7,40
63,9,7,8,,True,False,0,False,8,40
63,9,8,9,9.0,True,True,0,False,9,40
63,9,9,10,,True,False,0,False,10,40
63,9,10,11,13.0,True,True,0,False,11,40
63,9,11,12,,True,False,0,False,12,40
63,9,12,13,,True,False,0,False,13,40
63,9,13,14,5.0,True,True,0,False,14,40
63,9,14,15,,True,False,0,False,15,40
63,9,15,16,,True,False,0,False,16,40
63,9,16,17,6.0,True,True,0,False,17,40
63,9,17,18,,True,False,0,False,18,40
63,9,18,19,,True,False,0,False,19,40
63,9,19,20,3.0,True,True,0,False,20,40
63,9,20,21,,True,False,0,False,21,40
63,9,21,22,,True,False,0,False,22,40
63,9,22,23,4.0,True,True,0,False,23,40
63,9,23,24,,True,False,0,False,24,40
63,9,24,25,,True,False,0,False,25,40
63,9,25,26,,True,False,0,False,26,40
63,9,26,27,,True,False,0,False,27,40
63,9,27,28,,True,False,0,False,28,40
63,9,28,29,,True,False,0,False,29,40
63,9,29,30,,True,False,0,False,30,40
63,9,30,31,,True,False,0,False,31,40
63,9,31,32,,True,False,0,False,32,40
63,9,32,33,,True,False,0,False,33,40
63,9,33,34,,True,False,0,False,34,40
63,9,34,35,,True,False,0,False,35,40
63,9,35,36,,True,False,0,False,36,40
63,9,36,37,10.0,True,True,0,False,37,40
63,9,37,38,,True,False,0,False,38,40
