subject,list,item,input,output,study,recall,repeat,intrusion,first_input,item_string_index,session,session_list,task,prior_list,prior_input
63,0,0,1,5.0,True,True,0,False,1,922.9375,1.0,1.0,-1.0,,
63,0,1,2,1.0,True,True,0,False,2,922.9375,1.0,1.0,-1.0,,
63,0,2,3,4.0,True,True,0,False,3,922.9375,1.0,1.0,-1.0,,
63,0,3,4,,True,False,0,False,4,922.9375,1.0,1.0,-1.0,,
63,0,4,5,7.0,True,True,0,False,5,922.9375,1.0,1.0,-1.0,,
63,0,5,6,,True,False,0,False,6,922.9375,1.0,1.0,-1.0,,
63,0,6,7,,True,False,0,False,7,922.9375,1.0,1.0,-1.0,,
63,0,7,8,,True,False,0,False,8,922.9375,1.0,1.0,-1.0,,
63,0,8,9,3.0,True,True,0,False,9,922.9375,1.0,1.0,-1.0,,
63,0,9,10,,True,False,0,False,10,922.9375,1.0,1.0,-1.0,,
63,0,10,11,2.0,True,True,0,False,11,922.9375,1.0,1.0,-1.0,,
63,0,11,12,9.0,True,True,0,False,12,922.9375,1.0,1.0,-1.0,,
63,0,12,13,8.0,True,True,0,False,13,922.9375,1.0,1.0,-1.0,,
63,0,13,14,6.0,True,True,0,False,14,922.9375,1.0,1.0,-1.0,,
63,0,14,15,,True,False,0,False,15,922.9375,1.0,1.0,-1.0,,
63,0,15,16,,True,False,0,False,16,922.9375,1.0,1.0,-1.0,,
63,1,0,1,1.0,True,True,0,False,1,933.6875,1.0,2.0,-1.0,,
63,1,1,2,2.0,True,True,0,False,2,933.6875,1.0,2.0,-1.0,,
63,1,2,3,3.0,True,True,0,False,3,933.6875,1.0,2.0,-1.0,,
63,1,3,4,,True,False,0,False,4,933.6875,1.0,2.0,-1.0,,
63,1,4,5,4.0,True,True,0,False,5,933.6875,1.0,2.0,-1.0,,
63,1,5,6,,True,False,0,False,6,933.6875,1.0,2.0,-1.0,,
63,1,6,7,5.0,True,True,0,False,7,933.6875,1.0,2.0,-1.0,,
63,1,7,8,6.0,True,True,0,False,8,933.6875,1.0,2.0,-1.0,,
63,1,8,9,,True,False,0,False,9,933.6875,1.0,2.0,-1.0,,
63,1,9,10,,True,False,0,False,10,933.6875,1.0,2.0,-1.0,,
63,1,10,11,,True,False,0,False,11,933.6875,1.0,2.0,-1.0,,
63,1,11,12,,True,False,0,False,12,933.6875,1.0,2.0,-1.0,,
63,1,12,13,,True,False,0,False,13,933.6875,1.0,2.0,-1.0,,
63,1,13,14,,True,False,0,False,14,933.6875,1.0,2.0,-1.0,,
63,1,14,15,,True,False,0,False,15,933.6875,1.0,2.0,-1.0,,
63,1,15,16,,True,False,0,False,16,933.6875,1.0,2.0,-1.0,,
63,2,0,1,1.0,True,True,0,False,1,798.8125,1.0,1.0,-1.0,,
63,2,1,2,5.0,True,True,0,False,2,798.8125,1.0,1.0,-1.0,,
63,2,2,3,3.0,True,True,0,False,3,798.8125,1.0,1.0,-1.0,,
63,2,3,4,,True,False,0,False,4,798.8125,1.0,1.0,-1.0,,
63,2,4,5,2.0,True,True,0,False,5,798.8125,1.0,1.0,-1.0,,
63,2,5,6,,True,False,0,False,6,798.8125,1.0,1.0,-1.0,,
63,2,6,7,,True,False,0,False,7,798.8125,1.0,1.0,-1.0,,
63,2,7,8,4.0,True,True,0,False,8,798.8125,1.0,1.0,-1.0,,
63,2,8,9,8.0,True,True,0,False,9,798.8125,1.0,1.0,-1.0,,
63,2,9,10,,True,False,0,False,10,798.8125,1.0,1.0,-1.0,,
63,2,10,11,6.0,True,True,0,False,11,798.8125,1.0,1.0,-1.0,,
63,2,11,12,,True,False,0,False,12,798.8125,1.0,1.0,-1.0,,
63,2,12,13,,True,False,0,False,13,798.8125,1.0,1.0,-1.0,,
63,2,13,14,7.0,True,True,0,False,14,798.8125,1.0,1.0,-1.0,,
63,2,14,15,,True,False,0,False,15,798.8125,1.0,1.0,-1.0,,
63,2,15,16,,True,False,0,False,16,798.8125,1.0,1.0,-1.0,,
63,3,0,1,2.0,True,True,0,False,1,707.4375,1.0,1.0,-1.0,,
63,3,1,2,1.0,True,True,0,False,2,707.4375,1.0,1.0,-1.0,,
63,3,2,3,,True,False,0,False,3,707.4375,1.0,1.0,-1.0,,
63,3,3,4,3.0,True,True,0,False,4,707.4375,1.0,1.0,-1.0,,
63,3,4,5,6.0,True,True,0,False,5,707.4375,1.0,1.0,-1.0,,
63,3,5,6,,True,False,0,False,6,707.4375,1.0,1.0,-1.0,,
63,3,6,7,4.0,True,True,0,False,7,707.4375,1.0,1.0,-1.0,,
63,3,7,8,11.0,True,True,0,False,8,707.4375,1.0,1.0,-1.0,,
63,3,8,9,,True,False,0,False,9,707.4375,1.0,1.0,-1.0,,
63,3,9,10,12.0,True,True,0,False,10,707.4375,1.0,1.0,-1.0,,
63,3,10,11,10.0,True,True,0,False,11,707.4375,1.0,1.0,-1.0,,
63,3,11,12,5.0,True,True,0,False,12,707.4375,1.0,1.0,-1.0,,
63,3,12,13,,True,False,0,False,13,707.4375,1.0,1.0,-1.0,,
63,3,13,14,7.0,True,True,0,False,14,707.4375,1.0,1.0,-1.0,,
63,3,14,15,8.0,True,True,0,False,15,707.4375,1.0,1.0,-1.0,,
63,3,15,16,9.0,True,True,0,False,16,707.4375,1.0,1.0,-1.0,,
63,4,0,1,1.0,True,True,0,False,1,862.1875,2.0,1.0,-1.0,,
63,4,1,2,3.0,True,True,0,False,2,862.1875,2.0,1.0,-1.0,,
63,4,2,3,,True,False,0,False,3,862.1875,2.0,1.0,-1.0,,
63,4,3,4,4.0,True,True,0,False,4,862.1875,2.0,1.0,-1.0,,
63,4,4,5,12.0,True,True,0,False,5,862.1875,2.0,1.0,-1.0,,
63,4,5,6,7.0,True,True,0,False,6,862.1875,2.0,1.0,-1.0,,
63,4,6,7,6.0,True,True,0,False,7,862.1875,2.0,1.0,-1.0,,
63,4,7,8,8.0,True,True,0,False,8,862.1875,2.0,1.0,-1.0,,
63,4,8,9,10.0,True,True,0,False,9,862.1875,2.0,1.0,-1.0,,
63,4,9,10,11.0,True,True,0,False,10,862.1875,2.0,1.0,-1.0,,
63,4,10,11,9.0,True,True,0,False,11,862.1875,2.0,1.0,-1.0,,
63,4,11,12,5.0,True,True,0,False,12,862.1875,2.0,1.0,-1.0,,
63,4,12,13,13.0,True,True,0,False,13,862.1875,2.0,1.0,-1.0,,
63,4,13,14,14.0,True,True,0,False,14,862.1875,2.0,1.0,-1.0,,
63,4,14,15,2.0,True,True,0,False,15,862.1875,2.0,1.0,-1.0,,
63,4,15,16,,True,False,0,False,16,862.1875,2.0,1.0,-1.0,,
63,5,0,1,2.0,True,True,0,False,1,768.375,2.0,1.0,-1.0,,
63,5,1,2,3.0,True,True,0,False,2,768.375,2.0,1.0,-1.0,,
63,5,2,3,4.0,True,True,0,False,3,768.375,2.0,1.0,-1.0,,
63,5,3,4,,True,False,0,False,4,768.375,2.0,1.0,-1.0,,
63,5,4,5,7.0,True,True,0,False,5,768.375,2.0,1.0,-1.0,,
63,5,5,6,10.0,True,True,0,False,6,768.375,2.0,1.0,-1.0,,
63,5,6,7,6.0,True,True,0,False,7,768.375,2.0,1.0,-1.0,,
63,5,7,8,5.0,True,True,0,False,8,768.375,2.0,1.0,-1.0,,
63,5,8,9,8.0,True,True,0,False,9,768.375,2.0,1.0,-1.0,,
63,5,9,10,,True,False,0,False,10,768.375,2.0,1.0,-1.0,,
63,5,10,11,9.0,True,True,0,False,11,768.375,2.0,1.0,-1.0,,
63,5,11,12,11.0,True,True,0,False,12,768.375,2.0,1.0,-1.0,,
63,5,12,13,12.0,True,True,0,False,13,768.375,2.0,1.0,-1.0,,
63,5,13,14,,True,False,0,False,14,768.375,2.0,1.0,-1.0,,
63,5,14,15,,True,False,0,False,15,768.375,2.0,1.0,-1.0,,
63,5,15,16,1.0,True,True,0,False,16,768.375,2.0,1.0,-1.0,,
63,6,0,1,5.0,True,True,0,False,1,762.3125,2.0,1.0,-1.0,,
63,6,1,2,8.0,True,True,0,False,2,762.3125,2.0,1.0,-1.0,,
63,6,2,3,6.0,True,True,0,False,3,762.3125,2.0,1.0,-1.0,,
63,6,3,4,7.0,True,True,0,False,4,762.3125,2.0,1.0,-1.0,,
63,6,4,5,9.0,True,True,0,False,5,762.3125,2.0,1.0,-1.0,,
63,6,5,6,,True,False,0,False,6,762.3125,2.0,1.0,-1.0,,
