index,subject,input,recall,source
0,63,1,0.21428571428571427,data
1,63,2,0.10714285714285714,data
2,63,3,0.07142857142857142,data
3,63,4,0.10714285714285714,data
4,63,5,0.0,data
5,63,6,0.0,data
6,63,7,0.03571428571428571,data
7,63,8,0.0,data
8,63,9,0.0,data
9,63,10,0.03571428571428571,data
10,63,11,0.07142857142857142,data
11,63,12,0.0,data
12,63,13,0.07142857142857142,data
13,63,14,0.07142857142857142,data
14,63,15,0.10714285714285714,data
15,63,16,0.10714285714285714,data
0,64,1,0.0,data
1,64,2,0.0,data
2,64,3,0.0,data
3,64,4,0.0,data
4,64,5,0.0,data
5,64,6,0.0,data
6,64,7,0.0,data
7,64,8,0.0,data
8,64,9,0.0,data
9,64,10,0.0,data
10,64,11,0.0,data
11,64,12,0.0,data
12,64,13,0.6428571428571429,data
13,64,14,0.21428571428571427,data
14,64,15,0.07142857142857142,data
15,64,16,0.07142857142857142,data
0,65,1,0.0,data
1,65,2,0.0,data
2,65,3,0.0,data
3,65,4,0.0,data
4,65,5,0.0,data
5,65,6,0.0,data
6,65,7,0.0,data
7,65,8,0.0,data
8,65,9,0.0,data
9,65,10,0.0,data
10,65,11,0.0,data
11,65,12,0.0,data
12,65,13,0.03571428571428571,data
13,65,14,0.0,data
14,65,15,0.03571428571428571,data
15,65,16,0.9285714285714286,data
0,66,1,0.2857142857142857,data
1,66,2,0.07142857142857142,data
2,66,3,0.07142857142857142,data
3,66,4,0.0,data
4,66,5,0.0,data
5,66,6,0.0,data
6,66,7,0.03571428571428571,data
7,66,8,0.0,data
8,66,9,0.0,data
9,66,10,0.03571428571428571,data
10,66,11,0.07142857142857142,data
11,66,12,0.03571428571428571,data
12,66,13,0.10714285714285714,data
13,66,14,0.07142857142857142,data
14,66,15,0.10714285714285714,data
15,66,16,0.10714285714285714,data
0,67,1,0.0,data
1,67,2,0.03571428571428571,data
2,67,3,0.0,data
3,67,4,0.0,data
4,67,5,0.0,data
5,67,6,0.03571428571428571,data
6,67,7,0.0,data
7,67,8,0.0,data
8,67,9,0.0,data
9,67,10,0.0,data
10,67,11,0.07142857142857142,data
11,67,12,0.03571428571428571,data
12,67,13,0.03571428571428571,data
13,67,14,0.07142857142857142,data
14,67,15,0.10714285714285714,data
15,67,16,0.6071428571428571,data
0,69,1,0.0,data
1,69,2,0.03571428571428571,data
2,69,3,0.0,data
3,69,4,0.0,data
4,69,5,0.0,data
5,69,6,0.0,data
6,69,7,0.0,data
7,69,8,0.0,data
8,69,9,0.0,data
