subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,feature_sensitivity,context_sensitivity,learn_first
1,48,1897.6369826700547,ICMR_1_0_0,0.8325316641939021,0.9840827182005146,0.952669805837216,0.00318295524733777,0.9999999999999998,0.20513938968151882,1.8848425431241798,89.93446631448171,0.0015228397915556268,0.25648379730880355,1.2791771949876076,0.11210696193301918,1,1,False
2,48,1405.256739240674,ICMR_1_0_0,0.8076728637950916,0.001533984497838404,0.9486223128464606,0.0020077946067703473,0.20142914898676753,0.13265810508594486,5.35587002061071,0.5538139772356099,0.023684424834757196,0.16018536278436069,1.3200769870109963,0.9999835140475474,1,1,False
3,48,2154.0521848881795,ICMR_1_0_0,0.8466431254695309,0.05833229267113713,0.9469140723329798,0.0036066276756621506,0.9606826293556786,0.3848062406677898,6.522838184060825,19.49728906066479,0.009498031802812931,0.1367117864561467,1.0120144793014803,0.9349232052688767,1,1,False
4,48,1079.9960046464555,ICMR_1_0_0,0.8470309785344805,0.032202483307559024,0.9817908763970628,0.0016572365254178957,0.6370146419834718,0.3770776257254159,21.493180169507372,1.904792452484299,0.055894944821916176,0.12482932648737793,0.7623871977781779,0.2832890695902665,1,1,False
5,48,2045.046301569743,ICMR_1_0_0,0.5924941937383685,0.9981636835390175,0.876832128687409,0.003861650373449779,0.9265950279998024,0.34721314207726706,1.2450195830370545,53.0847163757409,0.006251539101369221,0.19228083907089363,1.3430764936433728,0.7779821434240308,1,1,False
6,48,2074.227311556931,ICMR_1_0_0,0.8628849014234948,0.03743188858295623,0.9974994892850259,1.4315939565232336e-05,0.0024845805946714077,0.0026215329766841097,2.721065008619054,44.43198322918819,0.003966694818347866,0.2231485105106421,1.0258686075172354,0.44212645710555154,1,1,False
7,48,999.0550825212738,ICMR_1_0_0,0.981137389451054,0.9719563125519073,0.9816075520404229,1.172412194817245e-05,0.32572343198294945,0.10746792980915341,3.112376823010397,19.41824937330602,0.07724632584190608,0.11593650812010996,0.3175911162909328,0.41404598126031783,1,1,False
8,48,1984.3464198529332,ICMR_1_0_0,0.9953432636825782,0.6576284524882535,0.9994588083799012,1.392922766855384e-05,0.40005229920157087,0.028456301570317834,36.85767508791434,49.46842128785172,0.01761420793269369,0.12376189311478358,0.2546034469314678,0.6089094397754439,1,1,False
10,48,1528.6323690961813,ICMR_1_0_0,0.8213643884161304,0.0884947642351713,0.9937407028424862,0.0012852427710817076,0.3144700872733822,0.21382419503501052,4.264978816503061,79.75811744041022,0.036664492045291416,0.06180155609600552,1.2058030546887624,0.5077592403855411,1,1,False
11,48,2475.1358288073347,ICMR_1_0_0,0.8187232820695691,0.5018895786690816,0.9814716750477294,0.002269714061806022,0.9122805456185827,0.15463281052802716,3.4400021857359624,58.35786613992939,0.0006274054080962797,0.31020178916959223,0.5242816476912531,0.9939150148095495,1,1,False
12,48,1903.7002061017588,ICMR_1_0_0,0.8828583726437005,0.27320800956811575,0.9103959518052736,0.004073602238302552,0.9999999999999998,0.3271305716339355,1.2139839329565398,92.11555457513677,0.0015680582862841062,0.16722273956990047,1.7434639350116359,0.99803886263673,1,1,False
13,48,2146.395360521942,ICMR_1_0_0,0.8669417825821505,0.8188218930057803,0.9908487075092689,3.292923948057869e-05,0.00817989273568589,0.006869497312614033,5.973777708877013,88.21740694816707,0.007701169081490938,0.16971722387647317,0.6748172247642805,0.9460406656792744,1,1,False
14,48,2854.6732708845457,ICMR_1_0_0,0.12645770898323616,0.342597282191175,0.9999999999999998,0.6461418690523553,0.4875990343393056,0.9999999999999998,79.48944508141419,80.91755590465115,0.0026750700871375098,0.1785062579282849,0.2735528030723705,0.4691191024034594,1,1,False
15,48,1607.4206209059898,ICMR_1_0_0,0.7357008604195077,0.300481110784559,0.9815550361260112,0.006816420530960872,0.8662515766991554,0.23625628146552438,8.437107647105805,0.6559954143861713,0.002560067377111125,0.2736996343333085,1.7462024045748912,0.19375155649983355,1,1,False
16,48,1926.9200630360453,ICMR_1_0_0,0.5523660740389087,0.2075134275860841,0.9096327284773404,0.019887010635819442,0.9740611957541526,0.27844766134515037,4.8504404888954795,0.5562099909238211,0.004328354031357651,0.2482857804437529,1.8340287825390442,0.9128577489843411,1,1,False
17,48,1707.5890590683118,ICMR_1_0_0,0.8609867797278786,0.0012043569872018712,0.9635919459366962,0.0015025787886505221,0.3383292220115123,0.15935581797146836,6.25627446669956,0.6224025870687058,0.004872330147389116,0.21964742966615378,1.2369707632881077,0.9999986218323934,1,1,False
18,48,1719.3815073557528,ICMR_1_0_0,0.752396809410297,0.9895243061203063,0.8996528093913901,0.009512732711382676,0.9999999999999998,0.24126891689684635,1.0345357429644038,80.25221252961678,0.001634406252057892,0.28538049381717323,2.057069756223461,0.7301468606531514,1,1,False
19,48,1709.1138744429693,ICMR_1_0_0,0.8682597343546375,0.9994688422643888,0.9462930185228766,0.004814815580868155,0.9136403279482417,0.5817539192404767,0.9657106887824891,0.19435035385646612,0.0048046919164503,0.1977092417914936,1.4559860387406898,0.5851120273648918,1,1,False
20,48,1292.1089847502976,ICMR_1_0_0,0.651866176161934,0.40076284060764256,0.946243542233196,0.02800328876733237,0.9999999999999998,0.18846470336026772,3.8929790428523248,0.7095558522592071,0.015864448745251725,0.2564238124897589,1.867880113654075,0.9810949317087454,1,1,False
21,48,2049.4514562080117,ICMR_1_0_0,0.9057542288770487,0.7751775619526085,0.969977373030026,2.3917747001985447e-05,0.005374280424205534,0.00881154807472982,4.4875565192953175,56.94425886569544,0.004788943485154371,0.22161467397622,0.7251093297914751,0.4514903651053962,1,1,False
22,48,1176.4639322092987,ICMR_1_0_0,0.9664366632702324,0.9308792129512508,0.9999732338800617,0.00016404498774942928,0.7310760326831489,0.5567191384149406,27.743427343281503,33.55284150849673,0.05277597411267257,0.11967505673350223,0.3274967422819369,0.3740996893933473,1,1,False
23,48,1375.126260023182,ICMR_1_0_0,0.9449962435771175,0.8734582508726797,0.995024832406375,0.002786766389035206,0.6911857913332058,0.8131052013153366,5.053145309562211,27.039576803034933,0.014736219052130187,0.26161302751716686,0.600593464984844,0.9388619895661018,1,1,False
24,48,1450.9897348057843,ICMR_1_0_0,0.07440090989887943,0.7187995234476905,0.9999999999999998,0.6736483795948077,0.715888684235464,0.8111692296649319,1.7968238290089587,54.53025151731244,0.024280757629882847,0.20727776657937838,1.915600220793564,0.7922903195424225,1,1,False
25,48,1805.9110492973439,ICMR_1_0_0,0.9135895596650602,0.11681154086338862,0.9861300879760677,5.60849423922979e-05,0.01023265107274013,0.01023861724977895,9.074030269368112,0.7058101612895282,0.007754801927259334,0.20678560361667878,0.9406197329431598,0.5069701388305932,1,1,False
27,48,1084.5108488298745,ICMR_1_0_0,0.6228579577215936,0.023007899648059868,0.8714472621558775,0.0008972632713045918,0.9999999999999998,0.3476724439759941,3.9321308969269655,39.87201115701037,0.012956978889088701,0.35647938307475296,1.1904234054624176,0.9872199009246218,1,1,False
28,48,1085.214199112733,ICMR_1_0_0,0.8352715246338751,0.019673324453500188,0.9765662759682227,0.0036887679781912133,0.6346038182970938,0.626714914375352,1.3467266192917098,44.22363616628125,0.058599393694866955,0.1277863669859531,0.9483891962944582,0.999893641406575,1,1,False
29,48,1624.7056459419696,ICMR_1_0_0,0.8114022601981831,0.00035543766979465773,0.9611117959385295,0.0017116933643700036,0.3770673963563484,0.17707563626563994,8.029341397160772,55.6621737672059,0.0065418825851927724,0.19745989584760373,1.4013458875894234,0.9999987390018338,1,1,False
30,48,1242.7211133622513,ICMR_1_0_0,0.7976145148588712,2.220446049250313e-16,0.9207570113706465,4.448438832918267e-05,0.002589834897919689,0.001846322700278904,2.0960644681053386,69.8879540246606,0.02102038678852597,0.2870395670426567,1.2001321980063129,0.7398294110358721,1,1,False
31,48,1373.1428123830206,ICMR_1_0_0,0.9079264958334912,0.020339969045319376,0.954197021741541,0.0006426957180131597,0.1230635933481979,0.9999999999999998,0.791394585729173,16.58758381958657,0.03717418580928818,0.1415582021442725,0.8568267089701923,2.0237710381812416e-09,1,1,False
32,48,2026.0041058683237,ICMR_1_0_0,0.8624572879091023,0.02072489793501232,0.9184971654628342,0.005337804604773921,0.9999999999999998,0.3975151484319071,3.994562150799376,48.71323216504165,0.005339129047478593,0.17223677138027454,1.3516287260549775,0.991654325928643,1,1,False
33,48,1602.9441414664523,ICMR_1_0_0,0.8574478645971995,0.9740828476089506,0.9237393434481735,0.0014296582698493858,0.889526135922242,0.34196453978167074,2.5867022214866138,71.35780672037465,0.017247318922639768,0.1859039515986284,0.5881309401290735,0.8356372777597418,1,1,False
34,48,1720.4005953789997,ICMR_1_0_0,0.795328087861848,0.05120503340356383,0.9452218481168785,0.004323426363207526,0.9603612415649483,0.3487364736425421,4.467268712524982,0.5213166241837894,0.006955844427051646,0.16039422795171757,1.5482142482681847,0.9973363579308239,1,1,False
35,48,1907.3736032347658,ICMR_1_0_0,0.863043691967878,0.6969127308824663,0.9848407354853784,0.0041362091944005435,0.6402161353834308,0.4933597060536015,1.9310736116406593,51.51014069970083,0.006678247965802848,0.1897717056333751,1.2682947311012924,0.31539707396817784,1,1,False
36,48,1593.7247584545323,ICMR_1_0_0,0.8440618892152293,0.9871160506709985,0.9667349406330717,0.000650760701086656,0.23032285345848857,0.8402189093333294,2.0433458964001727,47.8830992827753,0.02592676501987901,0.13788066864450635,0.6262701246235486,0.786958098902151,1,1,False
37,48,852.9333771590373,ICMR_1_0_0,0.8416530403260288,0.19160278950756018,0.9999985254353583,0.006382752279688202,0.7573887705885325,0.53363488051945,13.56666834909732,23.291033231698876,0.04348865532410995,0.2664039394347374,1.1440577541340395,0.5980143698813624,1,1,False
