subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,context_sensitivity,delay_drift_rate,feature_sensitivity,choice_sensitivity,learn_first
1,48,1866.9636784490008,ICMR_1_1_0,0.6727514606756255,0.06247121328348267,0.8844972615698898,0.017749652455445,0.9999999999999998,0.2845729393540704,3.008267708948401,0.8649645885078586,0.0015362619742839805,0.25602422020173177,2.9412965022021007,0.9942288742991663,1,1,False
2,48,1405.1696574231028,ICMR_1_1_0,0.7964888104443316,0.0006216023894068791,0.9598486826020105,0.006232621256495012,0.8039367026361506,0.2542819019419941,8.657076708929528,0.666787276814523,0.02195347107792578,0.16784209301634556,1.178144514157821,0.9999956321943697,1,1,False
3,48,2154.029842324344,ICMR_1_1_0,0.8264241645093129,0.08417341544523949,0.9360646995114916,0.004889400467403487,0.7077057283278365,0.449111359794539,4.024187950279304,40.264452126461904,0.009497190865252109,0.13672201128999548,1.2880735191298962,0.9254120663428917,1,1,False
4,48,1083.5675816159433,ICMR_1_1_0,0.8654873215623861,0.06461787421221392,0.9821501222990479,0.00016029028498981996,0.05099568279104699,0.06598851337170596,11.997210146404813,92.16957298994592,0.05647445233302124,0.12397301001987324,0.7900272449765324,2.220446049250313e-16,1,1,False
5,48,2038.038784123712,ICMR_1_1_0,0.49275336630195815,0.9034585468865429,0.8073139732771695,0.01610910103634377,0.8897610793141704,0.6053261341687699,0.3622076349216544,71.41587342587228,0.006257259404126357,0.19225579655770994,3.07452828931639,0.8240653935026705,1,1,False
6,48,2072.3007925525176,ICMR_1_1_0,0.8378319596758994,0.04615746134730033,0.9948066531271398,0.0008632275731864527,0.10256353776350968,0.10352634817525729,3.495764789165723,58.29757992997723,0.0029863164368525686,0.2373489094088605,1.2349021633210415,0.37630614532731943,1,1,False
7,48,1000.0270678556101,ICMR_1_1_0,0.9502021611223115,0.39471438925857716,0.9706426000406647,0.00014600474585164624,0.4522496957655327,0.14742234502984672,5.63392866403826,85.07401535348653,0.07545230530079211,0.11847912364979725,0.4639281119569032,0.9842725454056943,1,1,False
8,48,2048.002035764611,ICMR_1_1_0,0.13030865908253922,0.540324090898054,0.6430847606219832,0.9999921744334188,2.220446049250313e-16,0.9869510922093268,1.5640385676712936,0.5915168419323993,0.017721070405014097,0.12347081392116915,3.059757789823518,2.220446049250313e-16,1,1,False
10,48,1527.4678533653955,ICMR_1_1_0,0.7933938234450478,0.09092187034053724,0.9900945332012359,0.004055120757835301,0.6140435334207454,0.36750375013783554,3.6571779383320435,61.51700491652106,0.036615256590731914,0.061884967582130766,1.4689833001356731,0.67847620060145,1,1,False
11,48,2474.196303811381,ICMR_1_1_0,0.9267913593818369,0.9999611294794554,0.9981530041603597,1.2059308391153635e-05,0.5877710152441594,0.013181094143475564,11.472785874051787,31.093499081025044,0.0005853001807273006,0.3137799051835558,0.243556966304251,0.44065689175389183,1,1,False
