subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,feature_sensitivity,context_sensitivity,learn_first
1,12,574.2260007600967,ICMR_2_0_1,0.7950453635572358,0.0028002069015233876,0.9716993288254246,0.4146024659230483,0.517583428124059,0.3838199105706722,3.1286024671801957,70.60507221643839,0.00030921349619360733,0.3435471238644439,2.6060497092729213,0.9999905107888822,1,1,True
2,12,362.375417610495,ICMR_2_0_1,0.7060020084740153,0.5764772016614501,0.9999999999999998,0.07886543438856589,0.8264478354448198,0.3486537386779767,5.553944764843447,1.3851192764383702,0.03783646291262809,0.10248386948618766,1.398222912845056,0.273990577971406,1,1,True
3,12,612.1001601558045,ICMR_2_0_1,0.8002281816848018,0.001160670563288571,0.9904043169676161,0.13267663219999573,0.9990895464766057,0.49603571299183563,0.9291189828373893,65.21774044360127,0.004084693797236085,0.19724278370369738,1.312848533314739,0.9999977625899611,1,1,True
4,12,266.56827680280384,ICMR_2_0_1,0.858752521491196,2.220446049250313e-16,0.9907857813655213,0.013601647676862935,0.009108085587804498,0.010099978029310109,12.393038886332372,66.66619669134853,0.07244348216920388,0.09478022080597434,1.0311480078192474,0.3340907502275493,1,1,True
5,12,606.8386170019922,ICMR_2_0_1,0.7172668340172274,0.9999999999999998,0.9242398807786073,0.006063998402332643,0.5337371370640982,0.4405829919626578,3.7010699957833513,47.33105598829951,0.002872547096762427,0.2404733527692935,0.624389202373696,0.5828333393945864,1,1,True
6,12,627.4872491559355,ICMR_2_0_1,0.8037603696158144,2.220446049250313e-16,0.9796748762086551,0.8438011700827379,0.6429263634492848,0.23417182207580506,0.23818403875227157,12.34257112609652,0.00025485277961713834,0.37612784162130825,2.3635027915949314,0.6392356341617694,1,1,True
7,12,303.2627053073499,ICMR_2_0_1,0.9776171780114103,0.6181457109967053,0.9670809848434564,3.1938314109709534e-05,0.6561203756321534,0.09162495498957036,1.3271215282068234,37.21010539753608,0.01844116730932486,0.3206502659956365,0.27860244985750027,0.8517420307961006,1,1,True
8,12,641.832736385337,ICMR_2_0_1,0.9351308199680793,0.14608608591873948,0.9999999999999998,0.9999999999999998,0.23521579893452105,0.40117986756820506,0.955137668465021,68.04218375416761,0.004492009710518397,0.19344216630960587,1.4226030506337357,0.3410779901482388,1,1,True
10,12,458.1898595435711,ICMR_2_0_1,0.7950828155684517,2.220446049250313e-16,0.9999999999999998,0.09810612587123614,0.671256852669165,0.47530811345101126,4.217164545502771,47.95297818215955,0.019996694020876674,0.12062906211559361,1.5640253787180232,0.6865153543869348,1,1,True
11,12,655.1877590575772,ICMR_2_0_1,0.7629226793513385,0.02118920225645278,0.9456196791025749,0.9392279623551075,0.22813884174254057,0.17089317194084197,4.1011849361758115,0.8575967723493775,0.00019848170117952219,0.37523826449762543,2.2784094702713427,0.8942040883598968,1,1,True
12,12,617.9674113787219,ICMR_2_0_1,0.8463436834846996,0.26141807891332264,0.8804497975357656,0.04776054758726124,0.7921602237449095,0.2897789863998504,6.110335656490298,0.36325215276519185,3.58589630672036e-05,0.31613565444452985,1.9398861582996452,0.8636759237753199,1,1,True
13,12,576.0644184300351,ICMR_2_0_1,0.8695249721033643,0.9408519885568274,0.9937204355113626,0.9999999999999998,0.9291635609208724,0.5708470211591186,0.40014436747935744,5.495393656067521,0.008737041892754257,0.15956864374301805,1.4946712453854762,0.4841183931172313,1,1,True
14,12,835.1143982587589,ICMR_2_0_1,0.8941303239819243,0.13635564903255218,0.9254679117981908,0.012756593051987595,0.5191749533400003,0.16721992210119024,30.311283866166278,0.4220823890319246,0.0008646685997875903,0.20895299030464867,0.5189777252455947,0.20037704176736154,1,1,True
15,12,446.07214815792247,ICMR_2_0_1,0.7649221006777263,0.38101841972675976,0.9295992210675925,0.9999999911528619,0.00014634338120559997,0.00022260596327961955,1.1083158921009058,51.050278249648386,0.0024768617190560325,0.2782047451114129,4.30322083130988,0.886663095587615,1,1,True
16,12,563.1338151237086,ICMR_2_0_1,0.543099246834982,0.2188744590576265,0.7566522861011892,0.8122457312947675,7.319008908888195e-05,0.0011255207185027598,5.568064952096504,1.0546205851258021,0.004297246247326408,0.22800968415420728,2.541948200162874,0.8729734793377655,1,1,True
17,12,473.51042979843925,ICMR_2_0_1,0.7788801050321156,0.484798207207387,0.8996882653656636,0.9999999999999998,0.9999999999999998,0.43710636317249973,3.6492139945679165,0.5027033673718745,0.004418407195887485,0.2047877131183757,2.889770308879299,6.093493907525211e-09,1,1,True
18,12,505.7947235656563,ICMR_2_0_1,0.7395912551773055,0.32412835025399,0.9890533477168074,0.23629215557958055,0.8818632870875353,0.6904072301104799,23.65007262592749,1.4908480589121427,0.0005672035772968355,0.3397627395729312,1.6276229493971803,0.5196605948813365,1,1,True
19,12,458.1895616633879,ICMR_2_0_1,0.8703101687547906,0.7863356868801619,0.9938555887234931,0.5583193108432625,0.48932187006565103,0.8336631790081128,11.143682879660878,0.4174054204238073,0.0013012056648967667,0.31924643007005077,1.2524890423015087,0.9999999999999998,1,1,True
20,12,305.2325819413171,ICMR_2_0_1,0.6863683778296485,0.5414833062480857,0.992636978577143,0.8282181162447718,0.3810735944412572,0.5189500422388189,42.74872843977939,1.974432890484627,0.0023037283820478214,0.6073202349354382,1.054199750749539,0.18340466934539995,1,1,True
21,12,605.5559273678451,ICMR_2_0_1,0.766593496479451,0.00169524194714713,0.8999638787100741,0.3315785220528724,0.5604038354157825,0.5913248486855976,3.218338879518304,1.0413588441370558,0.001966390762555452,0.2507237142007397,1.4617392212066325,0.999999095344747,1,1,True
22,12,220.59535921405123,ICMR_2_0_1,0.6590071969986995,0.00031140523464968765,0.9543818656411744,0.9999934485610007,0.01002319454721943,0.004724558875008935,7.609047276531122,0.599820641965049,0.1267479770838451,0.052725679279717226,2.0509073390030403,0.9999984491093755,1,1,True
23,12,369.16535619514514,ICMR_2_0_1,0.7890499515064713,0.5436485935874715,0.892426902405449,0.9999999999999998,2.220446049250313e-16,2.220446049250313e-16,1.4802388559880968,34.20719965822357,0.01640904485486555,0.2575406804197534,3.057174593244649,0.2630843772617358,1,1,True
24,12,438.48268762716856,ICMR_2_0_1,0.2801677319858196,0.9295170477011206,0.525141975753036,0.6617897847886022,0.16432362425653776,0.9863454883600983,0.4383479098073989,44.5733927117268,0.00429201858522271,0.36339861031428744,1.352724455494029,0.5168361924579467,1,1,True
25,12,496.24789615991034,ICMR_2_0_1,0.8615946542993735,2.220446049250313e-16,0.9999999999999998,0.44577262972624326,0.014961442073107295,0.019516231968840423,7.114995849194712,19.416575799053255,0.006862496919521327,0.2351214985563957,2.1523271601010405,0.059400066629357484,1,1,True
27,12,249.23165222227485,ICMR_2_0_1,0.5999402499082587,0.24863725477514267,0.8775766976824696,0.002979411481473764,0.9999999999999998,0.46130286461098025,1.3470496672846866,58.00739775910537,0.003130437455650731,0.583713603978286,1.7596551644178338,0.3248884062423762,1,1,True
28,12,295.7373634723157,ICMR_2_0_1,0.6508504532687536,0.5614534015053144,0.9974383450243848,0.0643386291038638,0.4804020560841767,0.7444989083996223,1.3806698252920298,34.091982947697204,0.07056710697668828,0.08469680725052721,1.2392808186951056,0.6586632697059871,1,1,True
29,12,453.65253236544964,ICMR_2_0_1,0.7952268328169837,0.00043874323384028525,0.9517277991173423,0.796167752516999,1.5562818686155216e-05,1.1198401016024861e-05,3.421687043221357,0.08474383282280822,0.010211970356665755,0.15847259044084175,2.748806969075922,0.8391694023456873,1,1,True
30,12,335.0742288479151,ICMR_2_0_1,0.4239052087580062,0.011574013589001592,0.01623833946898098,0.5016380286098193,0.5720204586964106,0.1110437575486941,2.220446049250313e-16,82.94457717345225,0.01957503316126915,0.27668065392442126,4.099601741592973,0.9998781368194194,1,1,True
31,12,364.74636198832724,ICMR_2_0_1,0.736335764161317,2.220446049250313e-16,0.9696743497721079,0.07992115674407328,0.6104983013618577,0.2955869908336565,3.9834166257005337,1.168471100132039,0.00682375143977761,0.35623756398625434,1.5733054071729586,0.3257771337043962,1,1,True
32,12,607.9175164817567,ICMR_2_0_1,0.8347663614114297,2.220446049250313e-16,0.9768678168460306,0.05147146980345798,0.9396412466638006,0.4174942085700869,3.9533100979084606,95.02552034024319,0.0019668199163601265,0.19804253924956802,1.4692324706555155,0.9999999999999998,1,1,True
33,12,448.9867649194399,ICMR_2_0_1,0.5258374370243349,0.5516900219497598,0.5920946988369987,0.16628643896436848,2.220446049250313e-16,0.6446848986379252,3.979157109600175,0.3253420932902479,0.017040927769447628,0.1653003740131564,1.8794888902715963,1.2527011722777891e-09,1,1,True
34,12,521.424865618144,ICMR_2_0_1,0.8271002111518538,0.0013560703042186626,0.9636961195776013,0.8782301852930353,0.6763903359079665,0.6384863652756977,2.247309136956051,0.07503216551374621,0.008722184242888722,0.13332898953089287,1.8297826614472852,0.999996366335063,1,1,True
