subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,feature_sensitivity,context_sensitivity,learn_first
1,240,4467.616678797632,ICMR_1_0_0,0.7595511223097675,2.220446049250313e-16,0.6823016705960637,0.005187624137661098,0.9999999999999998,0.17767516408153924,7.608576614245505,55.798264889774465,0.018980925523905998,0.3509007975286339,1.6102371575948133,2.220446049250313e-16,1,1,False
2,240,5676.579935200474,ICMR_1_0_0,0.6540074342212381,0.01631850508824446,0.8247540901591272,0.007725492402817849,0.9999999999999998,0.09177046244871699,6.3469171232629025,31.63778065154277,0.014229678010280218,0.3193503623728964,1.9128498548859156,0.9825981888005194,1,1,False
3,240,5255.759985177593,ICMR_1_0_0,0.676269073151436,2.220446049250313e-16,0.6969896603171569,0.00996582347320653,0.9999999999999998,0.1078839555825301,6.3575431738539905,2.0110234034848795,0.0196749692943243,0.29621627789074134,2.2652128512039127,0.8734098554427576,1,1,False
4,240,5268.697671636578,ICMR_1_0_0,0.7185505126884099,0.033376018037199806,0.9403103564300529,0.005276090365446968,0.9999999999999998,0.11312188425190019,6.345209011215488,20.445257450855593,0.03018040060656504,0.24581656776650604,1.3507322830871515,0.7835502671977894,1,1,False
5,240,5546.989462773142,ICMR_1_0_0,0.7234669709607661,2.220446049250313e-16,0.7167590607762792,0.007346232888843634,0.9999999999999998,0.15531689556427475,6.414479798008054,44.488788438113225,0.01796188073306545,0.28488370131632335,1.8651311450770434,0.9349599767940806,1,1,False
6,240,5780.923134170459,ICMR_1_0_0,0.7436915367501188,2.220446049250313e-16,0.8158750314920604,0.012763084416495365,0.9999999999999998,0.26072005543271093,4.416929588388509,7.6135859420067105,0.015380410766166648,0.28991808096768756,2.2407255960029326,0.37464713057534854,1,1,False
7,240,4914.138157512881,ICMR_1_0_0,0.7578910962814873,0.0668907813771519,0.7197063148436614,0.007532707121345154,0.9999999999999998,0.16856743456753956,5.609231107969618,62.31863291393711,0.03824301307908023,0.22774002117979017,1.7103276708023918,0.17261751313608154,1,1,False
8,240,4466.786744923269,ICMR_1_0_0,0.5754998946109916,2.220446049250313e-16,0.7818745078548002,0.008899879283485844,0.7490673959160633,0.09248844887446656,4.333269140824606,98.08528085531765,0.026413355385097582,0.31534045964891466,2.7177937132624366,0.9999999999999998,1,1,False
9,240,4790.778579902914,ICMR_1_0_0,0.7054048311052852,2.220446049250313e-16,0.7648032250567764,0.00927595932730772,0.9999999999999998,0.1880311170639616,5.296571238111392,1.4415402068740417,0.02952080433237136,0.2486585804574328,2.144724869370557,0.9716796391129773,1,1,False
10,240,5490.269810427334,ICMR_1_0_0,0.700783765016486,0.0373477443332155,0.8293516798607434,0.006094975903179024,0.9999999999999998,0.09814504048706879,9.545084087552368,89.20037716890809,0.019521873088129756,0.2961247175626759,1.528386355141335,0.8493323325920958,1,1,False
11,240,4670.882918876999,ICMR_1_0_0,0.6409661384703207,2.220446049250313e-16,0.7864566934571793,0.006701730594082748,0.9999999999999998,0.13130091505802516,8.543068238033792,2.187500663790017,0.029521906966322058,0.2580628178932285,2.095475237696765,0.995003245252076,1,1,False
12,240,5296.018046502516,ICMR_1_0_0,0.5867275084404308,2.220446049250313e-16,0.8890373350360272,0.0040451207201385115,0.881853261643752,0.0914140615445234,14.475690451225878,71.74893469918268,0.02020765810137729,0.29158392084393214,1.7071926283689298,0.9999999999999998,1,1,False
13,240,5944.513268889938,ICMR_1_0_0,0.745426005912537,2.220446049250313e-16,0.867124077311046,0.006342233019642452,0.9999999999999998,0.14581625070684023,6.033032671483465,20.21317380871381,0.012641930823283718,0.28911042676463955,1.7030799250326645,0.9953475032153346,1,1,False
14,240,6380.714160197222,ICMR_1_0_0,0.7662013285022802,0.023296705912417552,0.8888505188834849,0.0034595850525538678,0.9999999999999998,0.1301780681181813,10.434078057085484,24.694173973567224,0.011735221433496005,0.3093248146707728,1.1388458223242774,0.9536594210886357,1,1,False
15,240,5346.487094431626,ICMR_1_0_0,0.587950378405081,2.220446049250313e-16,0.5369114847738187,0.01617750426075475,0.9999999999999998,0.04028838464452646,6.274706546612731,1.5691396504480282,0.022758287432536658,0.2853304494260181,2.9694004938207024,0.9749022328263897,1,1,False
