subject,list,item,input,output,study,recall,repeat,intrusion,first_input,list length
1,0,0,1,,True,False,0,False,1,30.0
1,0,1,2,,True,False,0,False,2,30.0
1,0,2,3,3.0,True,True,0,False,3,30.0
1,0,3,4,,True,False,0,False,4,30.0
1,0,4,5,,True,False,0,False,5,30.0
1,0,5,6,,True,False,0,False,6,30.0
1,0,6,7,,True,False,0,False,7,30.0
1,0,7,8,,True,False,0,False,8,30.0
1,0,8,9,,True,False,0,False,9,30.0
1,0,9,10,,True,False,0,False,10,30.0
1,0,10,11,,True,False,0,False,11,30.0
1,0,11,12,,True,False,0,False,12,30.0
1,0,12,13,,True,False,0,False,13,30.0
1,0,13,14,,True,False,0,False,14,30.0
1,0,14,15,,True,False,0,False,15,30.0
1,0,15,16,,True,False,0,False,16,30.0
1,0,16,17,,True,False,0,False,17,30.0
1,0,17,18,,True,False,0,False,18,30.0
1,0,18,19,,True,False,0,False,19,30.0
1,0,19,20,,True,False,0,False,20,30.0
1,0,20,21,,True,False,0,False,21,30.0
1,0,21,22,7.0,True,True,0,False,22,30.0
1,0,22,23,8.0,True,True,0,False,23,30.0
1,0,23,24,9.0,True,True,0,False,24,30.0
1,0,24,25,10.0,True,True,0,False,25,30.0
1,0,25,26,4.0,True,True,0,False,26,30.0
1,0,26,27,5.0,True,True,0,False,27,30.0
1,0,27,28,2.0,True,True,0,False,28,30.0
1,0,28,29,6.0,True,True,0,False,29,30.0
1,0,29,30,1.0,True,True,0,False,30,30.0
1,1,0,1,,True,False,0,False,1,30.0
1,1,1,2,,True,False,0,False,2,30.0
1,1,2,3,,True,False,0,False,3,30.0
1,1,3,4,,True,False,0,False,4,30.0
1,1,4,5,,True,False,0,False,5,30.0
1,1,5,6,,True,False,0,False,6,30.0
1,1,6,7,,True,False,0,False,7,30.0
1,1,7,8,,True,False,0,False,8,30.0
1,1,8,9,,True,False,0,False,9,30.0
1,1,9,10,,True,False,0,False,10,30.0
1,1,10,11,,True,False,0,False,11,30.0
