subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,feature_sensitivity,context_sensitivity,learn_first
1,80,1435.5192889037578,ICMR_2_0_1,0.878490428033128,0.0017281910843295087,0.5441227892739599,0.001862016323821996,0.9999999999999998,0.08971105241625978,99.99999615085375,37.943816635077866,0.011628460666934487,0.3922252841423584,0.7210083442810576,2.220446049250313e-16,1,1,True
2,80,1396.6500630513767,ICMR_2_0_1,0.7024354827487248,0.002051037523048091,0.012597322951014027,0.35605941231402455,0.9271584783980048,0.10160808059626633,3.6841887522446455,11.618565143560454,0.02359979583716719,0.33593164159850397,4.015140661321189,0.9999637396156663,1,1,True
3,80,1128.2515355482037,ICMR_2_0_1,0.3442592861418914,2.220446049250313e-16,0.5284487124338323,0.5237973562231878,0.153557539485046,0.04361416412377657,0.8526123331163846,22.517132214375803,0.014853968671327083,0.5144385839046886,8.805589997777213,0.9999060239526852,1,1,True
4,80,1409.5176651804315,ICMR_2_0_1,0.2753677167527699,0.2119689893979346,0.9718651295373028,2.220446049250313e-16,0.9995359912104461,0.23207810685113586,0.7786774435588087,42.881920788581986,0.010421553763440443,0.5022996652215804,4.22408818275355,0.6582655199533839,1,1,True
5,80,1219.9794347847924,ICMR_2_0_1,0.5363028927299355,2.220446049250313e-16,0.7581828057840563,0.2472218468221787,0.5907560824876595,0.16369349837028965,3.759667719483707,59.36830715370755,0.016715508549686356,0.40374872916274046,5.261328426935696,0.9999999999999998,1,1,True
6,80,1494.641701347299,ICMR_2_0_1,0.4239942291460161,2.220446049250313e-16,0.5926871819874268,0.7863592209276045,0.47887037580731096,0.18811205406748585,2.239224212370412,79.1422903247317,0.00713028022959435,0.47535865164865626,7.225549532473933,0.9999999999999998,1,1,True
7,80,1126.5425640517187,ICMR_2_0_1,0.648397801815855,0.01341035354372131,0.047655753880866555,0.6216845084036094,0.001194231356369664,7.145265084155184e-05,3.8350703797578753,23.68144463852797,0.035455848648413515,0.3857464942823952,5.950882033953161,0.9969312013104871,1,1,True
8,80,1095.0891102483154,ICMR_2_0_1,0.505094601129535,2.220446049250313e-16,0.8155389067574943,0.997217300040404,0.3320991391161563,0.17888263696180043,2.1496391997102964,69.76596510024959,0.015868355588612562,0.5064031122430803,6.580207540967291,0.9999999999999998,1,1,True
9,80,1765.9399771778162,ICMR_2_0_1,0.578404333203625,2.220446049250313e-16,0.8272763140867447,0.493286286826847,0.4101620560907057,0.1713841869413817,3.4846769351890705,14.851421305119723,0.00912589156628487,0.3305427558513757,4.665832271454323,0.9999999999999998,1,1,True
10,80,1591.2892491400128,ICMR_2_0_1,0.48471000738710907,2.220446049250313e-16,0.776417622998357,0.48062419273857615,0.48055301764504577,0.200319178730163,1.8731421021962997,37.09281799980235,0.014386925748177157,0.32016751249025427,6.079543995147856,0.9999999999999998,1,1,True
11,80,1103.8447792839936,ICMR_2_0_1,0.8318525799469246,2.220446049250313e-16,0.8242413811172918,0.10941437358658024,0.9999999999999998,0.3429754749301801,7.596867130114818,42.33729289471122,0.034857430329622706,0.3298098211842303,2.0722278720893548,2.220446049250313e-16,1,1,True
12,80,1203.4823128443627,ICMR_2_0_1,0.39964108419574684,2.220446049250313e-16,0.7476946541198605,0.4350779794813539,0.7999270568463425,0.1880200932215883,3.495350994301345,37.487201331624306,0.009668327431422654,0.570672507655809,6.918922729360524,0.9998472171834526,1,1,True
13,80,1465.5039785679742,ICMR_2_0_1,0.5579780595101682,2.220446049250313e-16,0.8125495559445982,0.656998424705499,0.33783913232992724,0.1401469185099828,2.6745543412931796,26.038523223027887,0.01073739102077856,0.40730061319966204,5.388394446568433,0.9999999999999998,1,1,True
14,80,1643.0911216681873,ICMR_2_0_1,0.7693969082367843,0.5786015948085319,0.98539663333984,0.9999999921399726,0.00012009958969692203,0.0001273117603720969,1.8673574020584092,71.72355705078576,0.007049998637398705,0.4811292263473023,2.6711605512836716,0.5852949888207091,1,1,True
15,80,1053.992884033657,ICMR_2_0_1,0.4645232609976722,2.220446049250313e-16,0.6010889927388229,0.5424448053861475,0.9999999999999998,0.09665638931535385,4.8344077902660425,20.438441019138455,0.01547392839510449,0.5746015302062168,6.1831360386118925,0.9731514689727532,1,1,True
