subject,list,item,input,output,study,recall,repeat,intrusion,first_input,list_length
63,0,0,1,,True,False,0,False,1,30
63,0,1,2,,True,False,0,False,2,30
63,0,2,3,,True,False,0,False,3,30
63,0,3,4,,True,False,0,False,4,30
63,0,4,5,,True,False,0,False,5,30
63,0,5,6,,True,False,0,False,6,30
63,0,6,7,,True,False,0,False,7,30
63,0,7,8,,True,False,0,False,8,30
63,0,8,9,,True,False,0,False,9,30
63,0,9,10,,True,False,0,False,10,30
63,0,10,11,,True,False,0,False,11,30
63,0,11,12,,True,False,0,False,12,30
63,0,12,13,,True,False,0,False,13,30
63,0,13,14,,True,False,0,False,14,30
63,0,14,15,12.0,True,True,0,False,15,30
63,0,15,16,,True,False,0,False,16,30
63,0,16,17,13.0,True,True,0,False,17,30
63,0,17,18,,True,False,0,False,18,30
63,0,18,19,3.0,True,True,0,False,19,30
63,0,19,20,2.0,True,True,0,False,20,30
63,0,20,21,4.0,True,True,0,False,21,30
63,0,21,22,1.0,True,True,0,False,22,30
63,0,22,23,5.0,True,True,0,False,23,30
63,0,23,24,8.0,True,True,0,False,24,30
63,0,24,25,10.0,True,True,0,False,25,30
63,0,25,26,9.0,True,True,0,False,26,30
63,0,26,27,11.0,True,True,0,False,27,30
63,0,27,28,,True,False,0,False,28,30
63,0,28,29,6.0,True,True,0,False,29,30
63,0,29,30,7.0,True,True,0,False,30,30
63,1,0,1,2.0,True,True,0,False,1,30
63,1,1,2,,True,False,0,False,2,30
63,1,2,3,4.0,True,True,0,False,3,30
63,1,3,4,,True,False,0,False,4,30
63,1,4,5,5.0,True,True,0,False,5,30
63,1,5,6,8.0,True,True,0,False,6,30
63,1,6,7,,True,False,0,False,7,30
63,1,7,8,,True,False,0,False,8,30
63,1,8,9,,True,False,0,False,9,30
63,1,9,10,6.0,True,True,0,False,10,30
63,1,10,11,,True,False,0,False,11,30
63,1,11,12,,True,False,0,False,12,30
63,1,12,13,9.0,True,True,0,False,13,30
63,1,13,14,,True,False,0,False,14,30
63,1,14,15,,True,False,0,False,15,30
63,1,15,16,,True,False,0,False,16,30
63,1,16,17,,True,False,0,False,17,30
63,1,17,18,,True,False,0,False,18,30
63,1,18,19,7.0,True,True,0,False,19,30
63,1,19,20,,True,False,0,False,20,30
63,1,20,21,,True,False,0,False,21,30
63,1,21,22,,True,False,0,False,22,30
63,1,22,23,,True,False,0,False,23,30
63,1,23,24,,True,False,0,False,24,30
63,1,24,25,,True,False,0,False,25,30
63,1,25,26,,True,False,0,False,26,30
63,1,26,27,,True,False,0,False,27,30
63,1,27,28,3.0,True,True,0,False,28,30
63,1,28,29,,True,False,0,False,29,30
63,1,29,30,1.0,True,True,0,False,30,30
63,2,0,1,1.0,True,True,0,False,1,30
63,2,1,2,2.0,True,True,0,False,2,30
63,2,2,3,12.0,True,True,0,False,3,30
63,2,3,4,,True,False,0,False,4,30
63,2,4,5,4.0,True,True,0,False,5,30
63,2,5,6,,True,False,0,False,6,30
63,2,6,7,11.0,True,True,0,False,7,30
63,2,7,8,3.0,True,True,0,False,8,30
63,2,8,9,,True,False,0,False,9,30
63,2,9,10,6.0,True,True,0,False,10,30
63,2,10,11,,True,False,0,False,11,30
63,2,11,12,7.0,True,True,0,False,12,30
63,2,12,13,5.0,True,True,0,False,13,30
63,2,13,14,,True,False,0,False,14,30
63,2,14,15,,True,False,0,False,15,30
63,2,15,16,,True,False,0,False,16,30
63,2,16,17,,True,False,0,False,17,30
63,2,17,18,10.0,True,True,0,False,18,30
63,2,18,19,,True,False,0,False,19,30
63,2,19,20,,True,False,0,False,20,30
63,2,20,21,,True,False,0,False,21,30
63,2,21,22,,True,False,0,False,22,30
63,2,22,23,8.0,True,True,0,False,23,30
63,2,23,24,,True,False,0,False,24,30
63,2,24,25,9.0,True,True,0,False,25,30
63,2,25,26,,True,False,0,False,26,30
63,2,26,27,,True,False,0,False,27,30
63,2,27,28,,True,False,0,False,28,30
63,2,28,29,,True,False,0,False,29,30
63,2,29,30,,True,False,0,False,30,30
63,3,0,1,1.0,True,True,0,False,1,30
63,3,1,2,3.0,True,True,0,False,2,30
63,3,2,3,4.0,True,True,0,False,3,30
63,3,3,4,,True,False,0,False,4,30
63,3,4,5,6.0,True,True,0,False,5,30
63,3,5,6,7.0,True,True,0,False,6,30
63,3,6,7,,True,False,0,False,7,30
63,3,7,8,9.0,True,True,0,False,8,30
63,3,8,9,,True,False,0,False,9,30
63,3,9,10,5.0,True,True,0,False,10,30
63,3,10,11,2.0,True,True,0,False,11,30
63,3,11,12,,True,False,0,False,12,30
63,3,12,13,,True,False,0,False,13,30
63,3,13,14,,True,False,0,False,14,30
63,3,14,15,,True,False,0,False,15,30
63,3,15,16,,True,False,0,False,16,30
63,3,16,17,,True,False,0,False,17,30
63,3,17,18,,True,False,0,False,18,30
63,3,18,19,,True,False,0,False,19,30
63,3,19,20,,True,False,0,False,20,30
63,3,20,21,,True,False,0,False,21,30
63,3,21,22,,True,False,0,False,22,30
63,3,22,23,,True,False,0,False,23,30
63,3,23,24,,True,False,0,False,24,30
63,3,24,25,8.0,True,True,0,False,25,30
63,3,25,26,10.0,True,True,0,False,26,30
63,3,26,27,,True,False,0,False,27,30
63,3,27,28,11.0,True,True,0,False,28,30
63,3,28,29,,True,False,0,False,29,30
63,3,29,30,,True,False,0,False,30,30
63,4,0,1,3.0,True,True,0,False,1,30
63,4,1,2,1.0,True,True,0,False,2,30
63,4,2,3,6.0,True,True,0,False,3,30
63,4,3,4,9.0,True,True,0,False,4,30
63,4,4,5,10.0,True,True,0,False,5,30
63,4,5,6,7.0,True,True,0,False,6,30
63,4,6,7,13.0,True,True,0,False,7,30
63,4,7,8,,True,False,0,False,8,30
63,4,8,9,,True,False,0,False,9,30
63,4,9,10,,True,False,0,False,10,30
63,4,10,11,11.0,True,True,0,False,11,30
63,4,11,12,,True,False,0,False,12,30
