subject,list,item,input,output,study,recall,repeat,intrusion,first_input,prior_list,prior_input,list_length
63,0,0,1,9.0,True,True,0,False,1,,,60
63,0,1,2,,True,False,0,False,2,,,60
63,0,2,3,,True,False,0,False,3,,,60
63,0,3,4,,True,False,0,False,4,,,60
63,0,4,5,,True,False,0,False,5,,,60
63,0,5,6,,True,False,0,False,6,,,60
63,0,6,7,,True,False,0,False,7,,,60
63,0,7,8,,True,False,0,False,8,,,60
63,0,8,9,,True,False,0,False,9,,,60
63,0,9,10,,True,False,0,False,10,,,60
63,0,10,11,,True,False,0,False,11,,,60
63,0,11,12,,True,False,0,False,12,,,60
63,0,12,13,,True,False,0,False,13,,,60
63,0,13,14,,True,False,0,False,14,,,60
63,0,14,15,1.0,True,True,0,False,15,,,60
63,0,15,16,,True,False,0,False,16,,,60
63,0,16,17,,True,False,0,False,17,,,60
63,0,17,18,,True,False,0,False,18,,,60
63,0,18,19,,True,False,0,False,19,,,60
63,0,19,20,,True,False,0,False,20,,,60
63,0,20,21,,True,False,0,False,21,,,60
63,0,21,22,,True,False,0,False,22,,,60
63,0,22,23,2.0,True,True,0,False,23,,,60
63,0,23,24,,True,False,0,False,24,,,60
63,0,24,25,,True,False,0,False,25,,,60
63,0,25,26,,True,False,0,False,26,,,60
63,0,26,27,,True,False,0,False,27,,,60
63,0,27,28,,True,False,0,False,28,,,60
63,0,28,29,,True,False,0,False,29,,,60
63,0,29,30,,True,False,0,False,30,,,60
63,0,30,31,,True,False,0,False,31,,,60
63,0,31,32,,True,False,0,False,32,,,60
63,0,32,33,,True,False,0,False,33,,,60
63,0,33,34,,True,False,0,False,34,,,60
63,0,34,35,,True,False,0,False,35,,,60
63,0,35,36,,True,False,0,False,36,,,60
63,0,36,37,,True,False,0,False,37,,,60
63,0,37,38,,True,False,0,False,38,,,60
63,0,38,39,,True,False,0,False,39,,,60
63,0,39,40,8.0,True,True,0,False,40,,,60
63,0,40,41,3.0,True,True,0,False,41,,,60
63,0,41,42,10.0,True,True,0,False,42,,,60
63,0,42,43,,True,False,0,False,43,,,60
63,0,43,44,,True,False,0,False,44,,,60
63,0,44,45,7.0,True,True,0,False,45,,,60
63,0,45,46,,True,False,0,False,46,,,60
63,0,46,47,,True,False,0,False,47,,,60
63,0,47,48,,True,False,0,False,48,,,60
63,0,48,49,,True,False,0,False,49,,,60
63,0,49,50,,True,False,0,False,50,,,60
63,0,50,51,,True,False,0,False,51,,,60
63,0,51,52,6.0,True,True,0,False,52,,,60
63,0,52,53,,True,False,0,False,53,,,60
63,0,53,54,5.0,True,True,0,False,54,,,60
63,0,54,55,4.0,True,True,0,False,55,,,60
63,0,55,56,,True,False,0,False,56,,,60
63,0,56,57,,True,False,0,False,57,,,60
63,0,57,58,,True,False,0,False,58,,,60
63,0,58,59,,True,False,0,False,59,,,60
63,0,59,60,,True,False,0,False,60,,,60
63,1,0,1,5.0,True,True,0,False,1,,,60
63,1,1,2,9.0,True,True,0,False,2,,,60
63,1,2,3,,True,False,0,False,3,,,60
63,1,3,4,1.0,True,True,0,False,4,,,60
63,1,4,5,,True,False,0,False,5,,,60
63,1,5,6,,True,False,0,False,6,,,60
63,1,6,7,,True,False,0,False,7,,,60
63,1,7,8,4.0,True,True,0,False,8,,,60
63,1,8,9,,True,False,0,False,9,,,60
63,1,9,10,,True,False,0,False,10,,,60
63,1,10,11,,True,False,0,False,11,,,60
63,1,11,12,,True,False,0,False,12,,,60
63,1,12,13,,True,False,0,False,13,,,60
63,1,13,14,,True,False,0,False,14,,,60
63,1,14,15,,True,False,0,False,15,,,60
63,1,15,16,,True,False,0,False,16,,,60
63,1,16,17,,True,False,0,False,17,,,60
63,1,17,18,3.0,True,True,0,False,18,,,60
63,1,18,19,,True,False,0,False,19,,,60
63,1,19,20,,True,False,0,False,20,,,60
63,1,20,21,,True,False,0,False,21,,,60
63,1,21,22,,True,False,0,False,22,,,60
63,1,22,23,12.0,True,True,0,False,23,,,60
63,1,23,24,11.0,True,True,0,False,24,,,60
63,1,24,25,,True,False,0,False,25,,,60
63,1,25,26,,True,False,0,False,26,,,60
63,1,26,27,,True,False,0,False,27,,,60
63,1,27,28,,True,False,0,False,28,,,60
63,1,28,29,,True,False,0,False,29,,,60
63,1,29,30,,True,False,0,False,30,,,60
63,1,30,31,,True,False,0,False,31,,,60
63,1,31,32,10.0,True,True,0,False,32,,,60
63,1,32,33,6.0,True,True,0,False,33,,,60
63,1,33,34,,True,False,0,False,34,,,60
63,1,34,35,,True,False,0,False,35,,,60
63,1,35,36,2.0,True,True,0,False,36,,,60
63,1,36,37,7.0,True,True,0,False,37,,,60
63,1,37,38,,True,False,0,False,38,,,60
63,1,38,39,,True,False,0,False,39,,,60
63,1,39,40,,True,False,0,False,40,,,60
63,1,40,41,,True,False,0,False,41,,,60
63,1,41,42,,True,False,0,False,42,,,60
63,1,42,43,,True,False,0,False,43,,,60
63,1,43,44,,True,False,0,False,44,,,60
63,1,44,45,,True,False,0,False,45,,,60
63,1,45,46,,True,False,0,False,46,,,60
63,1,46,47,8.0,True,True,0,False,47,,,60
63,1,47,48,,True,False,0,False,48,,,60
63,1,48,49,,True,False,0,False,49,,,60
