subject,list,item,input,output,study,recall,repeat,intrusion,first_input,practice_index
63,0,0,1,,True,False,0,False,1,1
63,0,1,2,3.0,True,True,0,False,2,1
63,0,2,3,,True,False,0,False,3,1
63,0,3,4,10.0,True,True,0,False,4,1
63,0,4,5,7.0,True,True,0,False,5,1
63,0,5,6,,True,False,0,False,6,1
63,0,6,7,2.0,True,True,0,False,7,1
63,0,7,8,,True,False,0,False,8,1
63,0,8,9,4.0,True,True,0,False,9,1
63,0,9,10,,True,False,0,False,10,1
63,0,10,11,,True,False,0,False,11,1
63,0,11,12,1.0,True,True,0,False,12,1
63,0,12,13,5.0,True,True,0,False,13,1
63,0,13,14,9.0,True,True,0,False,14,1
63,0,14,15,8.0,True,True,0,False,15,1
63,0,15,16,6.0,True,True,0,False,16,1
63,0,2,17,,True,False,0,False,17,1
63,0,0,18,,True,False,0,False,18,1
63,0,14,19,,True,False,0,False,19,1
63,0,4,20,,True,False,0,False,20,1
63,0,10,21,,True,False,0,False,21,1
63,0,13,22,,True,False,0,False,22,1
63,0,3,23,,True,False,0,False,23,1
63,0,15,24,,True,False,0,False,24,1
63,0,5,25,,True,False,0,False,25,1
63,0,9,26,,True,False,0,False,26,1
63,0,11,27,,True,False,0,False,27,1
63,0,7,28,,True,False,0,False,28,1
63,0,1,29,,True,False,0,False,29,1
63,0,12,30,,True,False,0,False,30,1
63,0,6,31,,True,False,0,False,31,1
63,0,8,32,,True,False,0,False,32,1
63,1,0,1,10.0,True,True,0,False,1,1
63,1,1,2,2.0,True,True,0,False,2,1
63,1,2,3,7.0,True,True,0,False,3,1
63,1,3,4,,True,False,0,False,4,1
63,1,4,5,11.0,True,True,0,False,5,1
63,1,5,6,5.0,True,True,0,False,6,1
63,1,6,7,4.0,True,True,0,False,7,1
63,1,7,8,,True,False,0,False,8,1
63,1,8,9,3.0,True,True,0,False,9,1
63,1,9,10,9.0,True,True,0,False,10,1
63,1,10,11,,True,False,0,False,11,1
63,1,11,12,6.0,True,True,0,False,12,1
63,1,12,13,1.0,True,True,0,False,13,1
63,1,13,14,,True,False,0,False,14,1
63,1,14,15,,True,False,0,False,15,1
63,1,15,16,8.0,True,True,0,False,16,1
63,1,2,17,,True,False,0,False,17,1
63,1,0,18,,True,False,0,False,18,1
63,1,14,19,,True,False,0,False,19,1
63,1,4,20,,True,False,0,False,20,1
63,1,10,21,,True,False,0,False,21,1
63,1,13,22,,True,False,0,False,22,1
63,1,3,23,,True,False,0,False,23,1
63,1,15,24,,True,False,0,False,24,1
63,1,5,25,,True,False,0,False,25,1
63,1,9,26,,True,False,0,False,26,1
63,1,11,27,,True,False,0,False,27,1
63,1,7,28,,True,False,0,False,28,1
63,1,1,29,,True,False,0,False,29,1
63,1,12,30,,True,False,0,False,30,1
63,1,6,31,,True,False,0,False,31,1
63,1,8,32,,True,False,0,False,32,1
63,2,0,1,10.0,True,True,0,False,1,1
63,2,1,2,9.0,True,True,0,False,2,1
63,2,2,3,12.0,True,True,0,False,3,1
63,2,3,4,8.0,True,True,0,False,4,1
63,2,4,5,7.0,True,True,0,False,5,1
63,2,5,6,11.0,True,True,0,False,6,1
63,2,6,7,2.0,True,True,0,False,7,1
63,2,7,8,1.0,True,True,0,False,8,1
63,2,8,9,3.0,True,True,0,False,9,1
63,2,9,10,,True,False,0,False,10,1
63,2,10,11,13.0,True,True,0,False,11,1
63,2,11,12,14.0,True,True,0,False,12,1
63,2,12,13,4.0,True,True,0,False,13,1
63,2,13,14,,True,False,0,False,14,1
63,2,14,15,6.0,True,True,0,False,15,1
63,2,15,16,5.0,True,True,0,False,16,1
63,2,2,17,,True,False,0,False,17,1
63,2,0,18,,True,False,0,False,18,1
63,2,14,19,,True,False,0,False,19,1
63,2,4,20,,True,False,0,False,20,1
63,2,10,21,,True,False,0,False,21,1
63,2,13,22,,True,False,0,False,22,1
63,2,3,23,,True,False,0,False,23,1
63,2,15,24,,True,False,0,False,24,1
63,2,5,25,,True,False,0,False,25,1
63,2,9,26,,True,False,0,False,26,1
63,2,11,27,,True,False,0,False,27,1
63,2,7,28,,True,False,0,False,28,1
63,2,1,29,,True,False,0,False,29,1
63,2,12,30,,True,False,0,False,30,1
63,2,6,31,,True,False,0,False,31,1
63,2,8,32,,True,False,0,False,32,1
63,3,0,1,12.0,True,True,0,False,1,1
63,3,1,2,9.0,True,True,0,False,2,1
63,3,2,3,6.0,True,True,0,False,3,1
63,3,3,4,8.0,True,True,0,False,4,1
63,3,4,5,,True,False,0,False,5,1
63,3,5,6,1.0,True,True,0,False,6,1
63,3,6,7,13.0,True,True,0,False,7,1
63,3,7,8,5.0,True,True,0,False,8,1
63,3,8,9,7.0,True,True,0,False,9,1
63,3,9,10,2.0,True,True,0,False,10,1
63,3,10,11,15.0,True,True,0,False,11,1
63,3,11,12,4.0,True,True,0,False,12,1
63,3,12,13,3.0,True,True,0,False,13,1
63,3,13,14,11.0,True,True,0,False,14,1
63,3,14,15,10.0,True,True,0,False,15,1
63,3,15,16,14.0,True,True,0,False,16,1
63,3,2,17,,True,False,0,False,17,1
63,3,0,18,,True,False,0,False,18,1
63,3,14,19,,True,False,0,False,19,1
63,3,4,20,,True,False,0,False,20,1
63,3,10,21,,True,False,0,False,21,1
63,3,13,22,,True,False,0,False,22,1
63,3,3,23,,True,False,0,False,23,1
63,3,15,24,,True,False,0,False,24,1
63,3,5,25,,True,False,0,False,25,1
63,3,9,26,,True,False,0,False,26,1
63,3,11,27,,True,False,0,False,27,1
63,3,7,28,,True,False,0,False,28,1
63,3,1,29,,True,False,0,False,29,1
63,3,12,30,,True,False,0,False,30,1
63,3,6,31,,True,False,0,False,31,1
63,3,8,32,,True,False,0,False,32,1
63,4,0,1,1.0,True,True,0,False,1,1
63,4,1,2,6.0,True,True,0,False,2,1
63,4,2,3,4.0,True,True,0,False,3,1
63,4,3,4,3.0,True,True,0,False,4,1
63,4,4,5,5.0,True,True,0,False,5,1
63,4,5,6,2.0,True,True,0,False,6,1
63,4,6,7,,True,False,0,False,7,1
63,4,7,8,7.0,True,True,0,False,8,1
63,4,8,9,,True,False,0,False,9,1
63,4,9,10,,True,False,0,False,10,1
