index,subject,lag,prob,source,positive
0,1,-5,0.02040816326530612,data,False
1,1,-4,0.03636363636363636,data,False
2,1,-3,0.04918032786885246,data,False
3,1,-2,0.08196721311475409,data,False
4,1,-1,0.19672131147540983,data,False
5,1,0,,data,False
6,1,1,0.3103448275862069,data,True
7,1,2,0.19047619047619047,data,True
8,1,3,0.012048192771084338,data,True
9,1,4,0.03896103896103896,data,True
10,1,5,0.038461538461538464,data,True
0,2,-5,0.05084745762711865,data,False
1,2,-4,0.031746031746031744,data,False
2,2,-3,0.031746031746031744,data,False
3,2,-2,0.06557377049180328,data,False
4,2,-1,0.1,data,False
5,2,0,,data,False
6,2,1,0.2077922077922078,data,True
7,2,2,0.027777777777777776,data,True
8,2,3,0.029850746268656716,data,True
9,2,4,0.04477611940298507,data,True
10,2,5,0.05172413793103448,data,True
0,3,-5,0.016129032258064516,data,False
1,3,-4,0.1111111111111111,data,False
2,3,-3,0.03225806451612903,data,False
3,3,-2,0.06666666666666667,data,False
4,3,-1,0.06451612903225806,data,False
5,3,0,,data,False
6,3,1,0.12121212121212122,data,True
7,3,2,0.078125,data,True
8,3,3,0.06153846153846154,data,True
9,3,4,0.03571428571428571,data,True
10,3,5,0.07272727272727272,data,True
0,5,-5,0.0375,data,False
1,5,-4,0.05,data,False
2,5,-3,0.060240963855421686,data,False
3,5,-2,0.13333333333333333,data,False
4,5,-1,0.2247191011235955,data,False
5,5,0,,data,False
6,5,1,0.3191489361702128,data,True
7,5,2,0.17045454545454544,data,True
8,5,3,0.10112359550561797,data,True
9,5,4,0.056179775280898875,data,True
10,5,5,0.024096385542168676,data,True
0,6,-5,0.0,data,False
1,6,-4,0.0,data,False
2,6,-3,0.08888888888888889,data,False
3,6,-2,0.09090909090909091,data,False
4,6,-1,0.08,data,False
5,6,0,,data,False
6,6,1,0.16666666666666666,data,True
7,6,2,0.13333333333333333,data,True
8,6,3,0.05357142857142857,data,True
9,6,4,0.018518518518518517,data,True
10,6,5,0.05660377358490566,data,True
0,7,-5,0.018867924528301886,data,False
1,7,-4,0.04,data,False
2,7,-3,0.04918032786885246,data,False
3,7,-2,0.08333333333333333,data,False
4,7,-1,0.07017543859649122,data,False
5,7,0,,data,False
6,7,1,0.21428571428571427,data,True
7,7,2,0.09230769230769231,data,True
8,7,3,0.015384615384615385,data,True
9,7,4,0.06349206349206349,data,True
10,7,5,0.017241379310344827,data,True
0,8,-5,0.04,data,False
1,8,-4,0.07692307692307693,data,False
2,8,-3,0.12,data,False
3,8,-2,0.0,data,False
4,8,-1,0.09375,data,False
5,8,0,,data,False
6,8,1,0.1,data,True
7,8,2,0.07317073170731707,data,True
8,8,3,0.10256410256410256,data,True
9,8,4,0.05555555555555555,data,True
10,8,5,0.0,data,True
0,9,-5,0.045454545454545456,data,False
1,9,-4,0.022222222222222223,data,False
2,9,-3,0.03260869565217391,data,False
3,9,-2,0.08641975308641975,data,False
4,9,-1,0.35443037974683544,data,False
5,9,0,,data,False
6,9,1,0.4025974025974026,data,True
7,9,2,0.1794871794871795,data,True
8,9,3,0.014084507042253521,data,True
9,9,4,0.014084507042253521,data,True
10,9,5,0.029411764705882353,data,True
0,10,-5,0.05263157894736842,data,False
1,10,-4,0.03125,data,False
2,10,-3,0.01639344262295082,data,False
3,10,-2,0.05172413793103448,data,False
4,10,-1,0.10526315789473684,data,False
5,10,0,,data,False
6,10,1,0.2033898305084746,data,True
7,10,2,0.09259259259259259,data,True
8,10,3,0.04,data,True
9,10,4,0.0,data,True
10,10,5,0.023255813953488372,data,True
0,11,-5,0.05263157894736842,data,False
1,11,-4,0.03333333333333333,data,False
2,11,-3,0.03225806451612903,data,False
3,11,-2,0.04838709677419355,data,False
4,11,-1,0.06896551724137931,data,False
5,11,0,,data,False
6,11,1,0.2463768115942029,data,True
7,11,2,0.05970149253731343,data,True
8,11,3,0.015873015873015872,data,True
9,11,4,0.03333333333333333,data,True
10,11,5,0.0,data,True
0,12,-5,0.06818181818181818,data,False
1,12,-4,0.0,data,False
2,12,-3,0.0,data,False
3,12,-2,0.125,data,False
4,12,-1,0.25,data,False
5,12,0,,data,False
6,12,1,0.25,data,True
7,12,2,0.0425531914893617,data,True
8,12,3,0.0,data,True
9,12,4,0.0,data,True
10,12,5,0.0,data,True
0,13,-5,0.046511627906976744,data,False
1,13,-4,0.02040816326530612,data,False
2,13,-3,0.04,data,False
3,13,-2,0.04,data,False
4,13,-1,0.1568627450980392,data,False
5,13,0,,data,False
6,13,1,0.1864406779661017,data,True
7,13,2,0.03389830508474576,data,True
8,13,3,0.019230769230769232,data,True
9,13,4,0.018867924528301886,data,True
10,13,5,0.02040816326530612,data,True
0,14,-5,0.03225806451612903,data,False
1,14,-4,0.03076923076923077,data,False
2,14,-3,0.028985507246376812,data,False
3,14,-2,0.06756756756756757,data,False
4,14,-1,0.14864864864864866,data,False
5,14,0,,data,False
6,14,1,0.1724137931034483,data,True
7,14,2,0.0379746835443038,data,True
8,14,3,0.02531645569620253,data,True
9,14,4,0.04819277108433735,data,True
10,14,5,0.05405405405405406,data,True
0,15,-5,0.031746031746031744,data,False
1,15,-4,0.05405405405405406,data,False
2,15,-3,0.013333333333333334,data,False
3,15,-2,0.08450704225352113,data,False
4,15,-1,0.17333333333333334,data,False
5,15,0,,data,False
6,15,1,0.15384615384615385,data,True
7,15,2,0.03896103896103896,data,True
8,15,3,0.04285714285714286,data,True
9,15,4,0.046875,data,True
10,15,5,0.06349206349206349,data,True
0,16,-5,0.025,data,False
1,16,-4,0.023255813953488372,data,False
2,16,-3,0.05,data,False
3,16,-2,0.023809523809523808,data,False
4,16,-1,0.10638297872340426,data,False
5,16,0,,data,False
6,16,1,0.043478260869565216,data,True
7,16,2,0.10204081632653061,data,True
8,16,3,0.047619047619047616,data,True
9,16,4,0.024390243902439025,data,True
10,16,5,0.044444444444444446,data,True
0,17,-5,0.09090909090909091,data,False
1,17,-4,0.05555555555555555,data,False
2,17,-3,0.018518518518518517,data,False
3,17,-2,0.03636363636363636,data,False
4,17,-1,0.08928571428571429,data,False
5,17,0,,data,False
6,17,1,0.2602739726027397,data,True
7,17,2,0.1,data,True
8,17,3,0.03333333333333333,data,True
9,17,4,0.0,data,True
10,17,5,0.017543859649122806,data,True
0,18,-5,0.017543859649122806,data,False
1,18,-4,0.0847457627118644,data,False
2,18,-3,0.03571428571428571,data,False
3,18,-2,0.03571428571428571,data,False
4,18,-1,0.08771929824561403,data,False
5,18,0,,data,False
6,18,1,0.08,data,True
7,18,2,0.11538461538461539,data,True
8,18,3,0.06818181818181818,data,True
9,18,4,0.0,data,True
10,18,5,0.0,data,True
0,19,-5,0.03278688524590164,data,False
1,19,-4,0.05172413793103448,data,False
2,19,-3,0.017857142857142856,data,False
3,19,-2,0.09523809523809523,data,False
4,19,-1,0.06896551724137931,data,False
5,19,0,,data,False
6,19,1,0.17647058823529413,data,True
7,19,2,0.0967741935483871,data,True
8,19,3,0.03125,data,True
9,19,4,0.04838709677419355,data,True
10,19,5,0.017241379310344827,data,True
0,20,-5,0.05454545454545454,data,False
1,20,-4,0.0392156862745098,data,False
