subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_delay_drift_rate,1_semantic_scale
1,8,311.03091847816285,free_choice_sensitivity_Semantic_CMR,0.7775924508551199,0.10867842074435963,0.8255884823612736,0.15407310610911268,0.9881392557567842,0.3279780425884432,4.532565156540635,1.02910877541742,0.036929882063960195,0.046806231073860616,2.6919064144579004,5.052829671070481,0.4182040930808841,0.19172408315641132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.5020868366769,free_choice_sensitivity_Semantic_CMR,0.7671150345620343,0.5382915397598765,0.2468832464248672,0.7364067611425203,0.2936031464812414,0.5423210795761955,1.851107741269466,78.81806207452269,0.006234702402468817,0.2311377860501702,8.570330004116153,9.267483479958734,0.7701157275363286,0.5830538310947402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.28851298805455,free_choice_sensitivity_Semantic_CMR,0.4668182803993966,0.14067773980075754,0.38465358430876384,0.7983841959525885,0.5872637616041892,0.11255223882492799,1.2510517401260302,92.43907207013935,0.0043821019708497055,0.34752639265864005,6.080791141996321,9.941918713787278,0.577622031276797,0.5864769995159866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,417.5016803881472,free_choice_sensitivity_Semantic_CMR,0.766761187764886,0.12684059556516902,0.7242988665212462,0.16649819005057337,0.5645195082684732,0.48671948822870287,1.0843412007280904,39.38979946919534,0.01615927328583011,0.11021999223592616,4.790196108289232,6.0944513729517835,0.7316543370872366,0.14657428244409232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,230.42757880709306,free_choice_sensitivity_Semantic_CMR,0.6151415843255175,0.3872567899760089,0.999480434438854,0.9200962550777687,0.4566809014789366,0.6130136684714609,9.774278731246525,0.9650120916539962,0.005262944107029044,0.4117410530088357,3.006699875239298,3.887533339407689,0.7419749356253039,0.37099441303392666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,266.219838388149,free_choice_sensitivity_Semantic_CMR,0.8991513197728327,0.47984521638079913,0.888617853051189,0.8127542435125792,0.9092102929077077,0.13483394499642148,1.33298548242729,62.37742567456065,0.0032002571319181827,0.3518666073265848,6.035924092857876,9.877572452488641,0.27466681261778947,0.26925949075222366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.83969711473533,free_choice_sensitivity_Semantic_CMR,0.5630136219139793,0.08826893514316189,0.5056155010036156,0.5824761493119822,0.26782066081935246,0.08209560264994027,19.814978221947186,1.3763356002630418,0.13272891429621358,0.09155615082311691,3.88572305497408,2.361262256730134,0.01374721869459088,0.9828315324234128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,251.51031499121171,free_choice_sensitivity_Semantic_CMR,0.5089661137465615,0.4284319342000198,0.8927306754589932,0.025618050097918066,0.1696313938052884,0.5731640559737851,0.19689191080173174,8.0309822765186,0.011785256803736599,0.12809247019254588,5.274625570374141,8.93821431494918,0.5804584651974325,0.5485373587157287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.15135428801517,free_choice_sensitivity_Semantic_CMR,0.7316703439617963,0.056416952177015256,0.8863145514615633,0.30582910594570634,0.921148098068411,0.05785303210471715,8.846761634824432,47.05438294929127,0.006140108451285042,0.32745413058217565,3.315612669415163,4.1162563134710615,0.05015140156328135,0.9098656734196364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.32531605979534,free_choice_sensitivity_Semantic_CMR,0.6946776920960009,0.20748003653933125,0.953919800088563,0.24138886460310863,0.015810415017491884,0.39934596739923084,1.3321093325570794,64.54078720591343,0.020722098194742265,0.20479653191461758,2.8772230442571414,3.8495376826374903,0.18051334850101533,0.7806545509197113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,98.00632584198243,free_choice_sensitivity_Semantic_CMR,0.4915703100990041,0.1177943197073697,0.9370478191900236,0.0072352389245288196,0.6694079730998133,0.7613086389657867,0.02160348334827944,39.2804493640582,0.007155387655278123,0.5222901490545055,9.402402597186633,9.938943616238952,0.9920418189391675,1.5837304217620969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,232.62477873274156,free_choice_sensitivity_Semantic_CMR,0.9505844392616425,0.8991398053545754,0.6521351597588059,0.4383742143793167,0.29807153170078904,0.347740297640921,21.58892387797873,0.04631607720029507,0.0529688329181599,0.15169750876870403,0.9135628363279036,3.461928649701101,0.5630657972844837,7.996008718251164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.80938767031193,free_choice_sensitivity_Semantic_CMR,0.7376037309776355,0.05505344590171696,0.9794944877004051,0.7259571251899075,0.6820239252333963,0.75664397071385,11.883853726772855,0.4571563643891352,0.04666174321998329,0.03216879241915471,3.2577277333188794,2.4873758324834467,0.26112537882450826,3.28867109532864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,344.56585354781834,free_choice_sensitivity_Semantic_CMR,0.7670467867224583,0.006583883021391845,0.9042330594784513,0.6265361003271885,0.26864055561947475,0.6583190704221954,0.6583660010274741,73.32401712033271,0.003950182839539462,0.25224971752081693,4.484710353061552,6.834946519136316,0.2790811852639532,0.4049519760359752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.54198947492807,free_choice_sensitivity_Semantic_CMR,0.4050502088655641,0.14212953628271038,0.7735374321543601,0.0006977571828534039,0.7572733003178527,0.8000146413120343,3.3189954570161033,5.832539551675461,0.07258274613915212,0.11979662947382745,2.6753176762382647,2.533144054138799,0.35566265777920403,1.7529251501228917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,276.20114799077976,free_choice_sensitivity_Semantic_CMR,0.7467998660493108,0.13603463418982403,0.819266954821394,0.726962967782178,0.3525847512223332,0.3679886733646398,6.3318201087910495,40.59644387677519,0.007051760693938647,0.2720823931194527,7.191537963363343,9.797756056784088,0.02292341411713239,0.19172360899742102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.3144413533497,free_choice_sensitivity_Semantic_CMR,0.6302658961754688,0.17375160815443663,0.24199887171855372,0.184173828825426,0.9392454246599846,0.7525448031127367,0.6713040927620071,8.125135839047324,0.01948393635302159,0.22040951936809794,4.402042853825914,5.237422783574212,0.48041604475569427,0.6565060353789418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
