subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,311.7525845246266,free_encoding_drift_rate_Semantic_CMR,0.28757738184369075,0.7304133869065536,0.30061243590204956,0.7849578642235471,0.25065304007879474,0.47101707778037394,0.47784270009619323,1.0051757482204309,21.834646971285608,0.008095260035769325,0.09700557807533361,6.634517490247519,0.8348731813306189,0.1531539296730564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,313.0836712745195,free_encoding_drift_rate_Semantic_CMR,0.4683974066403549,0.623438481815026,0.18727433289337203,0.43403901783606547,0.8606271409253681,0.48934730796139014,0.912162295986241,10.823521263639158,1.841936430429108,0.0023469449812116294,0.30701046908166063,3.9143518666408412,0.4139254994367019,3.8575519615719855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.1345987921313,free_encoding_drift_rate_Semantic_CMR,0.3159111224686393,0.3607981591254651,0.17909981754617293,0.08876795425118372,0.31240798625636024,0.017378653293039448,0.6142976921208265,1.7796054561537602,69.27538955815271,0.004967377172661547,0.3369350269122897,4.875114265234226,0.6003396965643059,0.4251007687952848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.93211882454585,free_encoding_drift_rate_Semantic_CMR,0.6710134649653048,0.6820330227134493,0.1609105294787182,0.6817228098704,0.3384705709805348,0.11612970488551438,0.7692941385404939,1.1287838840108506,68.02090794495982,0.003420621606954388,0.15378487112390005,7.865756194274783,0.9083901221324961,0.21335945034481085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,240.46424297481332,free_encoding_drift_rate_Semantic_CMR,0.8834664803176904,0.6351820426559975,0.09944026670445927,0.9260242788675204,0.6606856796829012,0.9047361183057947,0.5623473351040893,53.14215795522923,0.766340521169731,0.014087752061229475,0.3065696705037464,2.3276439218773524,0.5222722210547855,2.9410442282248312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,267.6296400808811,free_encoding_drift_rate_Semantic_CMR,0.7917890153841635,0.9893629004634505,0.18215937572776247,0.900341735830692,0.9842432700320998,0.5008282224150649,0.8867598017246057,2.249963598299459,30.757653281358984,0.002436992595180376,0.34123031520200975,8.43805677470645,0.04342165902644546,0.19320147861204706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,109.8170328669645,free_encoding_drift_rate_Semantic_CMR,0.9874764392624272,0.744083604506124,0.0314298696374502,0.3688918584624923,0.8606731743832627,0.24300806548758858,0.5191967557425406,46.9123859386928,0.6085964006080502,0.11314496408332025,0.20775459104946403,1.9545239983153442,0.8828945203833236,3.3179997955413976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.52962763105452,free_encoding_drift_rate_Semantic_CMR,0.25289835118421794,0.5256925850053198,0.4385556507170355,0.9882309243145507,0.10751056818349347,0.8593277769083503,0.47457700305429573,0.13879376119896847,20.519201312152884,0.01248821248913623,0.14639246146777118,9.352267746468748,0.5596067407782206,0.3630342397249908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.74179021085138,free_encoding_drift_rate_Semantic_CMR,0.6857051177843991,0.4672341539018339,0.10435846022336231,0.6834159951689287,0.12633350547544892,0.8944021746631121,0.359832573177783,7.590189270209315,0.040619761893509576,0.005112279196331504,0.34383233120385714,3.27254238656197,0.11720679951391338,6.164602490015845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.88519471507485,free_encoding_drift_rate_Semantic_CMR,0.7477769717773953,0.8346834166151689,0.01658425972479427,0.992703366895509,0.7233865948763042,0.01937347954752866,0.6114655420071184,2.27288729399703,99.1759481254073,0.02506637068161416,0.1894486224471299,5.059363064944834,0.12004539355964122,0.726933688643582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
