subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,314.05453089046017,free_item_support_Semantic_CMR,0.7509451058048499,0.056899076332316445,0.7906003621390588,0.5868517923269847,0.1566665794942405,0.529115487481502,0.5249687507971719,2.518701948994682,71.96444417711018,0.010677548780361812,0.12624641414816917,9.953368588866212,0.539294664084643,0.18362660762699967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.61266419774614,free_item_support_Semantic_CMR,0.5050450362919756,0.9813903471198697,0.4903340013637976,0.7075807597854448,0.47139332806566375,0.7998680571331184,0.504529909353886,0.25126604610415626,48.90640647493165,0.009832623826966758,0.2286289551380838,4.994414169253815,0.9063074628916814,1.2395309107095498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,335.26174549823475,free_item_support_Semantic_CMR,0.310195016171842,0.5129941481620361,0.3877735277367381,0.15812752917315082,0.46534092232622604,0.19067266568047503,0.8436739707784946,0.7847104790293784,49.09021901816002,0.00235441813825521,0.404387741238736,1.8224241532247962,0.42224303779644823,2.48198936327043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.94960361479576,free_item_support_Semantic_CMR,0.742258543170752,0.1857188045871393,0.7064082315252267,0.2587432981247233,0.71230063077674,0.18654038214316238,0.7675240055118929,1.1018292231942084,37.70470640476484,0.004957366320875678,0.14941881367465548,7.232252282237556,0.8610317378497929,0.19794427262178704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,229.68573502832905,free_item_support_Semantic_CMR,0.44648908524989744,0.4449507451142478,0.9856465477660928,0.6459670922504159,0.36331297173184185,0.4932248832725732,0.37887674301264845,7.188858978215187,0.7372605468756745,0.0010420652942955133,0.5828418929670267,4.050885338156657,0.025005180379475078,0.2556526129001728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,264.88654631626514,free_item_support_Semantic_CMR,0.9383703540356856,0.1520959378100209,0.9180985195208342,0.525265583396026,0.019880768153959838,0.6762749024891378,0.3413575148207645,2.8740136985956113,12.461868485266805,0.007493925611836982,0.3088275462961061,6.693546699204958,0.20529034497631798,0.17542695720284485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,109.42104584893269,free_item_support_Semantic_CMR,0.4332436372298091,0.12384802079313423,0.6448951349740508,0.6986467644881523,0.44752383012132446,0.15837308624022417,0.18044831504184877,29.158637232405248,42.49566138979441,0.15625315431141046,0.1429740305986078,2.9140840541248325,0.8018024168385623,4.558070174886636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,256.24112522131134,free_item_support_Semantic_CMR,0.6446693013209401,0.10677141120037392,0.9032649004556947,0.21961169659025348,0.6190231256966359,0.5342606259534596,0.5652749473551105,0.059516025612708745,63.858549068535574,0.015060941358064295,0.12991442284868526,8.05270542343587,0.4950418990563889,0.4814121523556709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.0919922105514,free_item_support_Semantic_CMR,0.7378236954522052,0.06025153954683251,0.721622133860891,0.08918126261653889,0.8271451372526384,0.10019208769938302,0.14083897841204515,2.6958953970968267,98.73206775225684,0.00941192074376979,0.29654634890942705,3.1819787243873305,0.20417373468078032,0.8186354692187242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.80761327823242,free_item_support_Semantic_CMR,0.9666047290762416,0.5104355334334851,0.8162924548093842,0.5452920873327701,0.7881992409420202,0.013902033087833665,0.7692615518396931,0.7447827775314053,37.95180129601493,0.02399122394217018,0.1947765207196488,3.9905492359751737,0.0939316879938551,1.1649002621551272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
