subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate
1,8,313.0776413165005,free_semantic_scale_Semantic_CMR,0.8060183233409103,0.030954574383964317,0.6890732294612009,0.02108427033243654,0.2970968514573261,0.37814477754795484,3.786286709654327,0.6015567120048502,0.026037395502010896,0.05487028061469257,2.3382638452933935,0.6144368415944763,3.901739986818633,0.08876564665804043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,315.45328675167605,free_semantic_scale_Semantic_CMR,0.3651161525814468,0.8157935213919574,0.3180021676101824,0.30093173398520423,0.3335955076633962,0.5061395740667562,1.3018463693607458,34.74855302947328,0.0011449442953153643,0.36869590203249025,4.3142334667968845,0.39255378566324434,0.39314772425823463,1.7325997279167469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.02377390395236,free_semantic_scale_Semantic_CMR,0.3277425427446069,0.044132472879752416,0.0941011011822806,0.02094507498998932,0.6849553347396945,0.5345880094571708,1.3786371726740398,16.994557546396415,0.00418957909823936,0.32043359699444096,1.6070714758503217,0.5588730371241559,0.1699493622928996,1.897591766385522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.04842351354455,free_semantic_scale_Semantic_CMR,0.7620428517678447,0.2637134205319217,0.8947961603068282,0.3389470457578272,0.9680655029166482,0.7728754043297368,13.141433936758943,0.0037769705201142756,0.0009760732404633932,0.21332268868907533,2.5438865898788796,0.8508320301601542,2.913193570611295,1.9543032094042068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,241.22651111726793,free_semantic_scale_Semantic_CMR,0.4616407556531748,0.688520706715208,0.9825681859898457,0.07393038917625999,0.8150161770225369,0.6820254773097552,8.56919998046879,0.4909642311099871,0.006308810424441314,0.35788964096554093,1.5538548855738221,0.4648275890855827,0.1973438887836469,2.121993692576433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,267.5610138522329,free_semantic_scale_Semantic_CMR,0.8845121779257117,0.09593757869464697,0.943898676099846,0.3360133700286434,0.5910970681637563,0.4213079363743852,3.9939334682313117,48.88578738823674,0.014440679698006886,0.25432852249629256,3.689940168255095,0.2694293084628543,0.0672450658152739,2.8190555258313705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.97731868331162,free_semantic_scale_Semantic_CMR,0.5188205449249613,0.4773626605536992,0.3577393528334213,0.2018117474279325,0.8909090347317603,0.805629150273344,4.69319853522174,84.10779592608638,0.11705055909654982,0.19935026731178151,2.4306214132267034,0.04433873822087109,1.47376858234245,0.9169538804598245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,253.52401463158714,free_semantic_scale_Semantic_CMR,0.6109637110186275,0.09555461772110391,0.8843760742985773,0.9569070074367796,0.8182727818793414,0.6797583361079632,9.47272502449335,0.007251135933081798,0.009926127561968312,0.1510082969119333,7.34894785273688,0.5205380900881577,6.760134160489432,4.190115435317684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.18799775977232,free_semantic_scale_Semantic_CMR,0.6450216388191568,0.07171369288202434,0.46207619519365495,0.1063204070542661,0.4303537656281008,0.04081891324866577,1.1872349464844874,36.92692147768908,0.0054991980706556864,0.28880559029898834,3.9183623888499195,0.27068585092680025,0.8645452452201416,9.472589203174737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,241.83214690808626,free_semantic_scale_Semantic_CMR,0.9174179868066354,0.3004196594826548,0.9601704666729117,0.702777163624348,0.3586528987266289,0.895739382304692,0.6362829194749153,74.34376630787713,0.007312798644737384,0.287257352165045,5.307578457052279,0.0993045120826872,0.34505917118157203,0.6172764679923723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,100.38429861291436,free_semantic_scale_Semantic_CMR,0.4887351959980539,0.08066223561266633,0.9170561414719023,0.013059408656485139,0.2350308818112551,0.5827801548404025,0.738979653614031,18.736041483293075,0.0040318924685079915,0.5964143404063575,9.205146458312136,0.9723636341137085,3.3601593403621326,1.759856363287522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,229.60891945126332,free_semantic_scale_Semantic_CMR,0.6672507529098404,0.20971392343728862,0.60052100946881,0.09859399751896622,0.13986386000774187,0.45503226279757436,4.662799442634977,0.4392622340771741,0.032933031458408236,0.17451785978379797,2.981752605332333,0.02267519787363925,8.665016361123868,5.709975000754775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.4963666638154,free_semantic_scale_Semantic_CMR,0.5886299844098464,0.3916021037598321,0.8487300420065387,0.6444308477145166,0.10331203379660459,0.9660689843788621,10.037066339756393,0.11576619675703625,0.01421846547777178,0.15817719885283665,3.1345164215307313,0.6989856834624055,3.737604592149866,9.607261421053899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,348.6223169262495,free_semantic_scale_Semantic_CMR,0.5812037516019479,0.19889528136968715,0.5205762613406607,0.6288076951197772,0.5939033368396753,0.5547084954323082,2.51841934826907,84.87831926026172,0.008776642612764896,0.20174705179493202,4.48395440273964,0.3917518290921974,1.4963341358570932,2.7151647362161575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,174.3583020310563,free_semantic_scale_Semantic_CMR,0.42602983155570795,0.10140587429766906,0.8034409047884602,0.027677043888716668,0.5225734934322336,0.7093304583557873,4.896068327153877,65.49682518835253,0.03786579333767953,0.2058234457044712,2.5942739593116837,0.18122888181279245,8.869054455669168,1.2892038560751997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,277.5984796197147,free_semantic_scale_Semantic_CMR,0.5152593188337573,0.3193240933673661,0.8554023662492982,0.5706603716539497,0.7598851215925012,0.5663847776136078,3.608211266822579,56.65134885278337,0.00796505357584848,0.26607783981841493,8.769470219099672,0.027898743337175402,0.26196710374311394,0.5499439322498354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,242.71932755625966,free_semantic_scale_Semantic_CMR,0.5746149989490402,0.20926874484589147,0.20123790613070075,0.06523261438790856,0.7458135641820431,0.4193711493088288,2.3511381473916657,47.066820862212374,0.013320381294831762,0.24119112695376455,2.5306779129445505,0.008672862248772562,0.5201545125608984,1.1993070974554314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,268.7617767560396,free_semantic_scale_Semantic_CMR,0.6271880012295556,0.06440172416485657,0.8071706932732096,0.859871084068758,0.5347647696553759,0.7513162972169298,8.5458973411398,97.70776539136301,0.028573149796880803,0.12666615433375572,3.574489103935599,0.3705981530083556,0.7752027569796498,2.4821211805915167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,270.7871170884355,free_semantic_scale_Semantic_CMR,0.7232138501777697,0.028190374089201664,0.44798717485626083,0.24079618088684296,0.7772569621026435,0.03164029749607661,7.185545731633127,61.15472125139242,0.010789003450089929,0.27246382595232,2.138799589917715,0.6033462263757837,2.2718537577924303,3.8589469651807082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,302.34229480745887,free_semantic_scale_Semantic_CMR,0.6490707763023549,0.011240345210329739,0.8754125214135986,0.15283161675266038,0.45305475178099175,0.7843483835193872,66.28928048889017,47.160690831229125,0.001695904950799465,0.4290683618489517,1.8535727850387005,0.1607818451734782,0.7697785445411229,2.747900862554476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,284.90831391900764,free_semantic_scale_Semantic_CMR,0.5717820115552426,0.6803009256794404,0.8812062616996332,0.4462522706894372,0.2657499288048639,0.1875038782870826,6.234143586309813,27.490493232722805,0.027537611035204412,0.15013508956090593,2.8634236278563248,0.15947383264849885,0.47282180706093957,1.1976638703321232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,202.4262687628658,free_semantic_scale_Semantic_CMR,0.7447842700189999,0.038988780799709855,0.9823871247215946,0.5215787298350257,0.5801862799142847,0.42444124598738586,44.79390224010994,83.93751193954697,0.005969379827260757,0.4254099287681088,1.699666847142982,0.04672477995788665,0.4750630049088107,6.460456805566342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,183.22525681780868,free_semantic_scale_Semantic_CMR,0.5990791752052932,0.2558754570788115,0.40459354440863615,0.20173208292224304,0.8257981935197578,0.14555891110172856,0.2850005621057519,55.07515726556625,0.033445659989648865,0.2606719980850722,3.010845222674898,0.023451071447623283,0.07077834867297907,0.6015406872776194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,255.35843094547886,free_semantic_scale_Semantic_CMR,0.3277036023445957,0.9669698830548022,0.929652699446462,0.9753954319133464,0.2678975984002915,0.8469619482883828,0.6155427649607219,18.518293212626357,0.020019269593511357,0.19674319639256943,4.667223278523018,0.11103058017970396,0.8970360123414753,1.9942191733976777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,288.83350599389223,free_semantic_scale_Semantic_CMR,0.7572014257952332,0.1543544894122385,0.8173057414885954,0.07842347363807606,0.3120308541193806,0.42552546458615803,1.1873061594415901,59.54165745977448,0.010181237098762785,0.2257384640351754,2.5340930892114204,0.25411006595592955,0.31093682312055915,0.8034474028464249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,344.1451329453422,free_semantic_scale_Semantic_CMR,0.7459724438300449,0.05209038104005497,0.9655573829479466,0.3988959640710102,0.7337031182583333,0.5636573846324445,11.919116281875912,31.950489319582967,0.016514034351915036,0.13061970528508765,5.01317364989209,0.26592195409482783,0.8617012005669838,1.107649361112214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,260.58667481320794,free_semantic_scale_Semantic_CMR,0.6958002054720497,0.48475796030870044,0.7922788583443046,0.4655309832792806,0.012238953779644512,0.6613767287921914,1.5062242578242788,92.10131566950275,0.028925531064028287,0.08544726215623655,9.220755335148056,0.5367165770062379,0.2671905000844248,0.13308562186855344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,253.2558011991186,free_semantic_scale_Semantic_CMR,0.8612190636084309,0.10612557969688335,0.5205537190410157,0.07679127878014413,0.5458120190050051,0.45226169638871583,0.15627437279503198,95.9364820083224,0.016662470941268548,0.20672244199386203,2.874439080522225,0.26922229445272056,0.9465365644538917,0.8626784986189069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,264.3329714843543,free_semantic_scale_Semantic_CMR,0.4282600450940144,0.12055163197817104,0.8003687945671077,0.38498191437784884,0.8818844947353801,0.83656176459044,18.09954396562124,0.33408325017488494,0.006695552637995039,0.3195983297750429,2.1525560999719873,0.5922474116927475,8.98963270263832,7.7495687883603415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.3590492744098,free_semantic_scale_Semantic_CMR,0.43056687657238635,0.2739269673167234,0.1119581360716278,0.2730578663866324,0.8131611372981258,0.4588967610238398,0.531745682019114,90.04065036573164,0.003024197852241839,0.41445902961191816,3.1696656317851075,0.3584981847138446,1.1995957467141674,2.7762596318649946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,233.2555715402388,free_semantic_scale_Semantic_CMR,0.7071672660855924,0.024945438586387918,0.199919280165744,0.010640431153826298,0.43598593880799313,0.9661532702698347,19.43218329533329,36.69502234560708,0.01365215788257058,0.3416905640843009,0.9241858214745527,0.12815931572934838,6.080274061921826,2.514219250480344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,317.5153316197775,free_semantic_scale_Semantic_CMR,0.7781956095674809,0.2303152451230001,0.7425550804902058,0.8650847003147315,0.5448942323979932,0.36351217255638807,0.47545069866846035,3.2806063399475534,0.004741277047206505,0.276911210704486,4.386022850261801,0.42244571241709905,2.0165018371757726,2.399194177309434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,198.32994441206003,free_semantic_scale_Semantic_CMR,0.6172981943444728,0.0029718169852942533,0.29660305526981556,0.0742805953399176,0.7533932349948763,0.6024121884466808,12.321599985273075,44.881555352828144,0.00428657436430872,0.577697219664161,1.7444225867230254,0.043498523129927025,0.07598153566277467,1.4666079167166668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,278.2858564720954,free_semantic_scale_Semantic_CMR,0.46342982811841293,0.9269601858378382,0.29231637407488587,0.20435308488974568,0.6727372377843818,0.02071258757610439,1.1351202391515187,78.35441497838879,0.005368455571233444,0.3265192874106919,2.2141307334927793,0.14949511574281188,0.0038175939597131503,9.548199560624367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.99276130937875,free_semantic_scale_Semantic_CMR,0.855111244852732,0.02550460470570004,0.01001060244014551,0.26068334735349064,0.6664366706773551,0.7619704326335495,14.31233626354446,55.80065131840847,0.008290764159728792,0.40863582349898575,1.302366686249342,0.3788467583522623,7.278679315940564,3.2423200766328018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
