subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,311.3102753392647,free_shared_support_Semantic_CMR,0.8202833898014623,0.4532760333534781,0.8001733530417715,0.7372409076127834,0.22123808691537195,0.4559484058451035,0.6230726688706898,1.012701279555003,67.35315452852507,0.02112992462166169,0.05702697541271107,6.030623338496669,0.6523176153966599,0.16744805099159343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,314.5589998992636,free_shared_support_Semantic_CMR,0.5261913966953975,0.082120323090559,0.352456778582761,0.45612780531781727,0.7935342678707858,0.05497248784213321,0.7936652781862571,31.759174710592035,2.32305483306844,0.011278222045001451,0.19230499935365764,2.8594260042684576,0.18032088887979453,4.752969808301618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.66173703036634,free_shared_support_Semantic_CMR,0.36692107691830445,0.055503249825925804,0.0349423017570924,0.36744005661781537,0.04927199033652174,0.7329118551711982,0.885760779899857,1.0073566071605171,26.802226523157092,0.0015342438489103216,0.41067604207939734,1.6455176214448013,0.25372710244237634,0.5942065574936652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,417.9136710193043,free_shared_support_Semantic_CMR,0.6995624557082436,0.17077963609256136,0.7293302531601655,0.38966492466275776,0.23955469227532877,0.7550315972333186,0.46305161291038327,0.1637040825385725,60.56285685076727,0.018506543916605334,0.06527504947142582,7.267828212377598,0.8210718057640662,0.16683813079342258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.67796914325623,free_shared_support_Semantic_CMR,0.6858562573822489,0.34254023865984773,0.9988217052779135,0.9365736115353311,0.7064100716570675,0.11519636087150721,0.9344613606430134,3.4226290013807477,80.27881113846635,0.0024730815064542373,0.4986490752256493,6.098699783647878,0.08961278410749324,0.15067106668016167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,266.58157635423544,free_shared_support_Semantic_CMR,0.8943989591338763,0.2507651945078632,0.9808561534604895,0.6755384728636257,0.3813848504186689,0.449022159875269,0.14231375153161036,1.555669904176078,38.56300702200809,0.017370668836910852,0.24470602294870503,4.50072917218488,0.17033680938672274,0.236807270203224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,99.95620075553612,free_shared_support_Semantic_CMR,0.4648121339905033,0.004588180992080915,0.47255846634784765,0.1911456927272751,0.25440060687288313,0.4375578900758824,0.11787073032758016,8.217810639555637,0.8835201131521302,0.11022240705986736,0.18495127681127688,5.539893014456703,0.7377230983152511,0.2968354224021219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,251.0383128471463,free_shared_support_Semantic_CMR,0.5174770297260788,0.1457531890403817,0.8936449896442696,0.3396587546348286,0.1056969259938754,0.39350395429275803,0.5925384801199332,0.0766757623967988,41.8724733752094,0.0058731661647674445,0.17589539244840108,9.87009386063488,0.6611481334112069,0.6312562515638819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.67195194885204,free_shared_support_Semantic_CMR,0.7208442576234751,0.026433724166883665,0.9572560709700715,0.315755966133214,0.2743164906465869,0.5655955014040913,0.13689986383406233,2.602002531969852,34.318736678438505,0.011400971883618882,0.276859632918824,4.105840266093611,0.09556838878945106,1.2145283418078634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.18284210094387,free_shared_support_Semantic_CMR,0.772787755754942,0.014287609952364111,0.9882119088394881,0.1150194037987664,0.1573125481318544,0.5079516994524818,0.275281470850258,4.052723304613657,39.845942390574365,0.015471926542074299,0.27755821009167825,2.811755100732491,0.24558387557254358,0.9634154815980125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
