subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,306.4609048525596,free_stop_probability_growth_Semantic_CMR,0.7405968252900587,0.4916027232340099,0.8149799678693559,0.4709099046867647,0.7861128967188151,0.4552426078481405,1.2514815468337517,1.8857933536566307,0.009262492653049625,0.4021135033498737,0.0955668051498435,6.943140226947477,0.23250415927268103,0.14986926424696456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,306.9599725826361,free_stop_probability_growth_Semantic_CMR,0.6475852067837105,0.4277526202481728,0.3675316664299115,0.9661060445961787,0.5347918667953201,0.7914526506798788,2.0725393790931155,73.64429900849387,0.0008998230144324969,0.5528732009567536,0.3747174403372637,7.862143902224504,0.24934808814163517,1.4344182239213954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,336.1282194463448,free_stop_probability_growth_Semantic_CMR,0.4737101588014844,0.00953188865362812,0.2401319751993871,0.8223235382895161,0.7028634562168233,0.5504320069050225,16.219473101881274,9.440500562640775,0.0025558903961567215,0.3927849878115029,0.3902905037803307,2.100068410800503,0.46278315224482075,6.278032915741076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,416.80826952587495,free_stop_probability_growth_Semantic_CMR,0.846302495656678,0.030466160941484577,0.7155126395583542,0.5064635719062274,0.6718355893951581,0.9238967649764165,89.43518407616722,0.019279511907676294,0.0025380600653885366,0.15955565993327703,0.17018265281236644,2.126409228459706,0.5924425268438585,8.702905897697915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,230.22781473526453,free_stop_probability_growth_Semantic_CMR,0.6156326921835316,0.7046091180211299,0.92335844738619,0.975388936758641,0.048307704077084734,0.9390006681957388,3.7729161974639354,0.8986184725126378,0.0015292993269469535,0.5689733154678365,0.5587249922119488,5.914411939914772,0.4167341784259457,0.2530210235920354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,267.10622330778875,free_stop_probability_growth_Semantic_CMR,0.9400788657781153,0.7859257443343013,0.8963659478404322,0.5187602513209454,0.30046336028034293,0.19430387676712157,0.007013927196567238,30.879790516984478,0.0050308977341740335,0.3573191452789173,0.31830016605110245,6.766021134560667,0.3703931484555115,0.21072348771119032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.45742013785201,free_stop_probability_growth_Semantic_CMR,0.4375710350474903,0.10974529778757774,0.5651901145258919,0.5908199325877561,0.9408974104268305,0.03796440051012556,27.50360862144749,0.8478516877882853,0.03306124392072318,0.4995785629804246,0.3241711576445745,2.9483095955102185,0.8736274673552005,1.9778864350543572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,256.15793436267825,free_stop_probability_growth_Semantic_CMR,0.5486741030068538,0.2785920105214275,0.9188184879665589,0.17068068395488695,0.9249604942845451,0.37603870614399637,0.15882153064124793,54.72240062311889,0.022484222261038356,0.13713019363146017,0.07472567095028104,8.389030608239455,0.7224175809734344,0.49571741097511435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.62149942379364,free_stop_probability_growth_Semantic_CMR,0.6911717858731785,0.12066935908275428,0.5468349587352682,0.20259748505737185,0.678283220464427,0.3512867850135171,2.947629485999009,28.067012772703187,0.0043795603642049485,0.43464465886162085,0.34481385745769,3.584146799830723,0.10927624155771692,2.5592122872786742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.99902080691297,free_stop_probability_growth_Semantic_CMR,0.9872352959796228,0.03622195004457757,0.8496406001882075,0.4287925266981525,0.37092030916612634,0.8057817307136694,0.3511985118007104,43.8166571133033,0.010675441764479543,0.27504124785405093,0.28109558281995284,2.9536937442077553,0.14053085171336804,2.0131467454057432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,98.74640553063485,free_stop_probability_growth_Semantic_CMR,0.4966408798481767,0.043834903416143156,0.9582964958266247,0.055695892638333466,0.6508389709452838,0.6378070965494638,0.009380101686282671,95.46768006459095,0.015322714494382661,0.4347681228075615,0.41175189934452927,9.467032450302575,0.8811638265338808,1.5323056569752995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
