subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,310.6669659363723,free_stop_probability_scale_Semantic_CMR,0.7363536040366446,0.04385723412034348,0.7552884235327177,0.3320964149535047,0.1342618139097972,0.5724138465775658,2.3499809311666198,0.44885682999984056,0.10396662358180592,0.011698248510587816,0.04772268465319485,5.575358016081504,0.4424159624743753,0.12659577245457143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,313.739981270209,free_stop_probability_scale_Semantic_CMR,0.6183310256751691,0.5599059304821781,0.44923572131582096,0.6771376658690915,0.04036316174917487,0.47495848919875,3.4788530908165995,5.304099377883787,0.03962229612146961,0.010074932762269173,0.19337652417808826,3.691131973912267,0.5054523590176804,1.8764872466345892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,336.0993377824502,free_stop_probability_scale_Semantic_CMR,0.491312267754639,0.000913606598835881,0.3756144599879699,0.07181973866800839,0.577454779278248,0.4710531403358779,2.9896169705101414,75.53446437084833,0.01769090499844106,0.009902062247545418,0.2652319025859997,2.2529128119601802,0.3347774549382384,0.2536725953999559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,419.34370752163176,free_stop_probability_scale_Semantic_CMR,0.7888347413878022,0.13407986363330276,0.7349827495804143,0.1528986556577529,0.8594824578760669,0.5311922629788545,2.18756501238488,28.050682963860886,0.018001688011020367,0.011302262303475696,0.07191147816606325,4.018646613624174,0.8274501189311492,0.19320694935488003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,236.1566906017258,free_stop_probability_scale_Semantic_CMR,0.7442445275969268,0.1779513805009541,0.9186209529071951,0.9506084033581199,0.24087797003833078,0.5821996726059873,9.11592743117128,1.4595790638627975,0.03874484107315612,0.01995421539535508,0.2340802783574878,5.9187837782007335,0.41095448581887123,0.29391974903417584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,268.74140131875265,free_stop_probability_scale_Semantic_CMR,0.9084060118461292,0.11975345629415474,0.9377889610878024,0.5995414381532479,0.015823129144925563,0.3188739670079124,3.6610022850093458,43.32242508177937,0.01512170450633088,0.01185418688732387,0.21438617490116485,5.538322671098966,0.05903526696164185,0.24041992688682967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,109.89912530223557,free_stop_probability_scale_Semantic_CMR,0.4064575511453062,0.09855844952881215,0.6511285797126944,0.02521214629791202,0.0677862272564832,0.9030972865400566,12.468667386231829,65.42385022434114,0.1526682972193995,0.1285729597244264,0.12168632945930558,1.9939260730239043,0.006113851575527796,9.032267418118952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,257.2112599709477,free_stop_probability_scale_Semantic_CMR,0.5856155400361819,0.34123986152280505,0.9184608446222184,0.18961648303063133,0.23883578086653984,0.7168406337151222,0.12963945508180075,47.51797094894151,0.019591320751307706,0.014615459887255267,0.10455176489931173,8.618555537189955,0.4944166469488046,0.6610789575419833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.53619682601982,free_stop_probability_scale_Semantic_CMR,0.7452257459338905,0.013799625957612171,0.8502243094666733,0.15425008325614883,0.33528990797737585,0.04143470537832241,5.578523685074214,9.467843698073937,0.036184968549534166,0.013266612912456309,0.22566948422573188,4.193391420299975,0.05263750239304189,0.8368088953910724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.2950090536237,free_stop_probability_scale_Semantic_CMR,0.898461460207483,0.44909282587423693,0.9136388921076584,0.29644482595040933,0.8047482953329085,0.37754708802225706,0.7272506486748469,34.37494931826184,0.02361065153424835,0.01570123880628893,0.24078411110958342,2.886908247584116,0.20881444121646792,1.4176713508882677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,99.12157236041813,free_stop_probability_scale_Semantic_CMR,0.4703923032679577,0.04144536339678989,0.8353293768366072,0.0246314481154572,0.8308329373261027,0.4361414938779862,0.3092766674606082,22.95322158330093,0.02030763004294789,0.011064287359061564,0.3831114314845401,9.572372135717254,0.9325685619029167,1.5704732715672733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,228.73019774047356,free_stop_probability_scale_Semantic_CMR,0.7151824515643196,0.31302023213764163,0.7870808596865357,0.14564814153825528,0.767238871335411,0.27574649161353554,21.209165747268642,0.7657194763560753,0.0692046813974066,0.0192925296360259,0.16406906466983529,2.171079984546744,0.1704591079082095,5.885626007293729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.88644576885724,free_stop_probability_scale_Semantic_CMR,0.8019925503264114,0.29672287773805417,0.62489995059746,0.5421922405976487,0.8271533256580923,0.6294104501339126,7.843698848860782,0.7510263312934811,0.05621123750551604,0.04218215112665191,0.06948654692928535,4.515318032248413,0.20453298208203374,1.5165975432047212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,345.17230590629754,free_stop_probability_scale_Semantic_CMR,0.7582654701580147,0.39287506034060854,0.7603905129955705,0.36471692211600126,0.595992511807125,0.9977085945320534,1.874999241123625,4.4375345594419855,0.017097804834693475,0.00444672375502031,0.2252097400527333,3.816331060159569,0.2645323321312249,1.3685363406741589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.05008159039164,free_stop_probability_scale_Semantic_CMR,0.3597594699977669,0.12027800342700284,0.6140568066490508,0.014255535636043704,0.22639181372103978,0.8950091577110466,3.9916600969725167,66.15209779848996,0.06547564964053226,0.09424884958837493,0.17118010622027846,2.8742827187929527,0.48780959393893447,2.1895954245407085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,278.31817129946114,free_stop_probability_scale_Semantic_CMR,0.572745171468463,0.20431699363662809,0.8527303130181763,0.6172670792722239,0.7823852567453455,0.5150585074374319,5.1624435727454525,48.199180986336124,0.01658790868049287,0.005098233843543631,0.25931695328464155,7.2834833830243975,0.1331692108638478,0.36805360046696567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.0865020015546,free_stop_probability_scale_Semantic_CMR,0.662693146138522,0.449639694666492,0.4037025228034084,0.05187507337921349,0.7881520654073692,0.7193865433978509,0.4035723113662968,61.349323841452765,0.016009240645242062,0.015334605265806656,0.20249086052483545,2.191550601787408,0.05355622313498454,0.553994048305742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.29520049685186,free_stop_probability_scale_Semantic_CMR,0.5741202051221893,0.10655562797740703,0.8439776940670416,0.5779111087372119,0.1818482907022984,0.3115388227718424,11.430673432764927,68.16105274260478,0.048293906378277796,0.013387702636980359,0.1594441946608498,3.2184567933199166,0.8495461345640027,1.2869893285647063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,269.07468432150296,free_stop_probability_scale_Semantic_CMR,0.8865994110608628,0.7763535572450492,0.8147777109326342,0.3544748016688092,0.8001305975257751,0.8884055387910594,0.42300397244085275,29.489612219637735,0.006895637683110967,0.013421738251331417,0.22283835968771637,2.955422156808809,0.6548916070405957,0.6524780656861902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,303.79673953069977,free_stop_probability_scale_Semantic_CMR,0.6156464324963395,0.007479329771511112,0.9824872347431733,0.3000297295427635,0.8804615506685967,0.7407963130794782,45.683212749725335,26.855620893228398,0.03293942360644786,0.01976969033168252,0.1479426045360448,2.3830295984055825,0.10192825357104918,0.5325589480767032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,273.79689399583583,free_stop_probability_scale_Semantic_CMR,0.7540177121054358,0.9103087778115078,0.7473892480362094,0.442260977571692,0.04597538607935414,0.33154890270099013,0.36188297614398834,61.599207794086176,0.02621592067305295,0.007955719849541742,0.18531960150405347,6.339331938223244,0.21229136777856616,0.24592183341748175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,202.42311050015667,free_stop_probability_scale_Semantic_CMR,0.9318988046080359,0.17251457494031736,0.1834651594833836,0.05385499822622675,0.605640839922257,0.35276781240983773,25.32608618986326,62.792960406770234,0.01714429771197834,0.006052460863274711,0.42259345197958886,0.9608001732875691,0.027175863839595527,5.5772924517735785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,183.83020556327375,free_stop_probability_scale_Semantic_CMR,0.8832320498450834,0.0746536533137635,0.2714528859381031,0.0008541998708723741,0.5603320323208205,0.6509616880537552,2.21064801472145,38.271408500097586,0.04017250879046125,0.012568380665245071,0.3270753790702221,1.1664674348335016,0.20776165895448362,0.7600973564118751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,253.90786019540434,free_stop_probability_scale_Semantic_CMR,0.3948771814960454,0.7981528885572459,0.699436809588639,0.818037910190909,0.7861359894452381,0.7800430418609094,0.9999859533382249,41.13457097524578,0.030629676986092813,0.004704118051631623,0.30666853250612647,4.558293598708063,0.8028373363585647,2.233258956115569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,289.51694203613386,free_stop_probability_scale_Semantic_CMR,0.5812259106840657,0.034816762677215285,0.682438661477718,0.07240296457927514,0.16876307487785097,0.279945657362622,1.561606436551486,31.929230024655926,0.018749773939341352,0.005136125964812777,0.25960654742474887,2.7605826642708364,0.19634217825486427,1.4087778107603146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,341.63111886262095,free_stop_probability_scale_Semantic_CMR,0.6415237707629386,0.30798582201344127,0.9684749429393628,0.46744324364700557,0.4867957768285702,0.7968092166418554,3.5992374503732236,8.53956888932256,0.01686263368919494,0.010757349430852381,0.14272920010333845,6.205295842157018,0.3602579824462185,1.157013218774436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,257.34383947203753,free_stop_probability_scale_Semantic_CMR,0.6954444485820247,0.48537544109445235,0.7487631491129222,0.3491497500791197,0.363543774740146,0.46593465098318665,1.2114455221021956,49.27881664359132,0.08969315674414108,0.02140507498980243,0.09162419677503308,9.248439122021352,0.8977404259553288,0.12766944913934797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,253.22996628287058,free_stop_probability_scale_Semantic_CMR,0.7897678914733199,0.1656038899040004,0.3402427502269526,0.0935332868874221,0.664720917776833,0.7510060968409684,0.8753031394897611,25.969812208320157,0.02411744731287819,0.014538757508755494,0.20912404218836855,3.013301389306626,0.13137946138976161,0.6801506143207153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,261.7281444458982,free_stop_probability_scale_Semantic_CMR,0.5103878283778904,0.7716053299244687,0.3988596825141206,0.7059491641911697,0.4359568577620029,0.5761839048036957,1.171850971371029,54.786187544957265,0.01206411970017729,0.011669439698067996,0.25806676454984157,6.366068056663428,0.6551706088383733,1.4680608904491708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.2437547988733,free_stop_probability_scale_Semantic_CMR,0.2430545373556514,0.19270579354051393,0.3211098012469793,0.47957359362466356,0.3234362184339685,0.9906886745694286,0.043954236344802666,96.77782367454381,0.00600661829178728,0.01057958421723143,0.32874868107400523,6.142087496583951,0.1002880802930533,0.8563730366000764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,228.3718131966154,free_stop_probability_scale_Semantic_CMR,0.49849822184010745,0.041411087923713064,0.25770852510433884,0.02306514334482529,0.7823768515684082,0.8842175690400431,0.962640550881126,18.955637816481076,0.03455778111787189,0.021802997171749883,0.26353373172262096,2.2703809033310574,0.07359546717400117,0.7466081546441758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,322.59409295714545,free_stop_probability_scale_Semantic_CMR,0.8011004149341616,0.02073680343215395,0.8627669801354871,0.33520197898030535,0.8403345303737288,0.2906752286531811,15.467133026926817,0.021151465287175597,0.014103475998985482,0.03646008866910544,0.08994715078520255,2.1132204250599957,0.6928011205101489,8.392170577987816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,199.37681066620604,free_stop_probability_scale_Semantic_CMR,0.509409102229518,0.026660416146907062,0.1834853657110161,0.05579429511192846,0.5526503261038448,0.21208502038873112,4.353603632699873,79.35742519573313,0.009136833893916896,0.004416574055044475,0.5024898081645022,2.074198544982639,0.0636823901920277,0.3340893610372646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,279.0106153398391,free_stop_probability_scale_Semantic_CMR,0.9352638656580943,0.5094837865889025,0.8007494018100799,0.554225375362245,0.2584866270458047,0.46198885993441813,61.737304022437435,0.17795223110442748,0.04122963333731361,0.018691266954460717,0.17651263715665255,2.09940487359549,0.7103951840762147,4.480272531332407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.9375315974212,free_stop_probability_scale_Semantic_CMR,0.8448382562977477,0.5131152009842289,0.2285688739612884,0.2927905479213714,0.9733004745442285,0.17588389961612672,6.207648979755312,66.31213059320538,0.006449844768763591,0.005753842549296728,0.4313725079987618,1.3339201077375016,0.31307681977202184,5.934844222815624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,370.8408072122385,free_stop_probability_scale_Semantic_CMR,0.7818759592991767,0.44576222474641936,0.60650246668171,0.8837141187499804,0.6798188673509785,0.139137775481471,13.412288985610552,1.5097099037107071,0.024326949500482864,0.018368220899148024,0.11494042788666814,2.8264099904459443,0.5811996706797674,6.685642941578958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,277.2045889938763,free_stop_probability_scale_Semantic_CMR,0.7886536391013296,0.6969916104559061,0.8231963620815632,0.31539487463437355,0.46645000533895636,0.6302157070127785,0.03359432035134091,72.13313295526791,0.007633707047030369,0.012207147064800028,0.24759775731936084,7.149096068408539,0.7257484565634773,0.2363871619812148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,226.84445348788017,free_stop_probability_scale_Semantic_CMR,0.7414441923058958,0.24059124123753706,0.789114453348497,0.6521655612562689,0.6669296651404543,0.2730368818615181,10.566362746769364,0.4271169281912037,0.03195590659587777,0.009421146999630814,0.1620222067643846,4.591498794723784,0.44119110570426445,3.5985484678609545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,216.22409220873033,free_stop_probability_scale_Semantic_CMR,0.7371046120485842,0.033185813497477956,0.3265756125066661,0.016028055739654656,0.5789880601576058,0.8403538810515345,5.9884461664642785,41.849827706644334,0.04473332983288686,0.00704996811426728,0.27910505858123535,1.8354449097167116,0.07663882011525874,1.0752376258357343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,123.11472422351824,free_stop_probability_scale_Semantic_CMR,0.7025929648504401,0.2666485176748686,0.21659415278485422,0.11984225214101857,0.5497925517463013,0.9387593967017762,0.17177928271372878,57.74434501778267,0.030204508806546793,0.031116558714261888,0.5112930176465476,3.6200923579629185,0.5737471478019867,0.3860187626600071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,215.5500962407226,free_stop_probability_scale_Semantic_CMR,0.8794915767055729,0.18419096729083168,0.9289900564644902,0.523475865794388,0.555638290703929,0.7940701370906581,6.9853857943179065,49.946346911228865,0.025130875428267863,0.02180429373056275,0.25796413246871275,3.4641838998892203,0.21849049832385037,1.1979796540555339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
