subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_delay_drift_rate,1_semantic_scale
1,8,310.69799886347965,free_1_choice_sensitivity_Semantic_CMR,0.6569574649978964,0.3532009260654006,0.1390247039569295,0.7444412759839647,0.17874525656792772,0.31759730222357097,0.48463473333815443,1.9708518474522094,23.645151233751804,0.021237776532541608,0.08279531054898559,2.127963173482555,6.724451194788381,0.41844842912773694,0.24495950000188493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,313.27491322040254,free_1_choice_sensitivity_Semantic_CMR,0.7517884669812319,0.6596569308522016,0.5309227410133193,0.09111596677299011,0.9327200070917132,0.6981917722156318,0.7823060502858153,1.1996674102265672,93.17410075728867,0.019857049447444486,0.1664366802087942,6.140266044081488,4.202317547488214,0.0048327710813657054,1.484318749979411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.78537043170456,free_1_choice_sensitivity_Semantic_CMR,0.397396081535755,0.17186420387994478,0.45705842473336633,0.600234330619519,0.6612227055711641,0.7305829187439449,0.44696712752785706,1.791405008300579,37.77331239763977,0.001598651155528874,0.4386772803321124,1.1502919929674391,3.051167275685706,0.6632916876893966,3.215322799268841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,417.09732084686016,free_1_choice_sensitivity_Semantic_CMR,0.782911962042145,0.06414957797419896,0.6857853375250592,0.9118543185918342,0.32695686630492815,0.6509966676702437,0.6582477564020216,1.8745764206458873,89.43234346089966,0.004834077200282949,0.15444513371380442,4.751747864224701,4.9187989877252605,0.7564880585130256,0.13777125451107786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.56739583267915,free_1_choice_sensitivity_Semantic_CMR,0.6800471255072684,0.1305034103758277,0.9070810567289591,0.9780832175747949,0.868906533327362,0.0057185557877704185,0.6006031985503069,50.689936312749275,0.9596062927166997,0.004423838787709966,0.41491698696792056,1.5797634794683066,2.8670392793206636,0.4492715363275673,0.7346203084933842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,271.2900503548733,free_1_choice_sensitivity_Semantic_CMR,0.9378479147743584,0.033677346148277394,0.5827043801011124,0.6675343145072045,0.21059985475674442,0.08167347333535209,0.6160358651527826,9.752547733706812,15.625154698466815,0.002519249238791836,0.3790720939937429,0.5825975294413993,3.421607676402738,0.0475951930257803,1.0537253147016448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.97626330688388,free_1_choice_sensitivity_Semantic_CMR,0.562553120570358,0.21322775592508358,0.6589245654814181,0.47531669234194124,0.2826695627707766,0.6521508324995875,0.5733996578993364,4.724513647283189,95.84300737122734,0.1628341907531093,0.12124245973409398,4.608998898991769,3.0517324862856214,0.5823111711173926,1.1327494483512126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,249.7868826837267,free_1_choice_sensitivity_Semantic_CMR,0.48917707077665096,0.40845212282298043,0.8447309677645112,0.986527374105739,0.08678868011132379,0.33767531563904263,0.5610160943607522,0.25568906743668407,55.20560143075459,0.011018128907661073,0.15668217421155362,6.829624254720806,9.51149008468163,0.6688243915930576,0.481133749203587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.756939112634,free_1_choice_sensitivity_Semantic_CMR,0.819917608466072,0.060502937845989535,0.5786153075243354,0.9485631220506927,0.3027815801253414,0.8462934477421082,0.24209156263232773,1.235003505431962,82.1703461707238,0.016128097534054753,0.23839681153560655,4.407929838800702,4.617851609165172,0.3720961981327135,1.310894725457414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,240.8349573729269,free_1_choice_sensitivity_Semantic_CMR,0.9300705280470742,0.2455459230740799,0.7559483476007786,0.9795001480409921,0.3494410687080396,0.16668182672764803,0.3053472764480123,1.0522143254973528,36.12569730275324,0.011471415685888497,0.2740239753422582,4.203378550663514,5.648775782125846,0.48687126234738365,0.3358715333138038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,95.71213059293015,free_1_choice_sensitivity_Semantic_CMR,0.4795991148118514,0.0058610317322826955,0.4954082230581753,0.938408729567042,0.03103108746506622,0.779412797501976,0.8060984483128398,0.050306391582424226,74.09081781247266,0.003591332226038746,0.651316513607064,9.863904494542819,9.411223460363118,0.9388350811055685,1.5622794220265246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,228.65894865104542,free_1_choice_sensitivity_Semantic_CMR,0.8144656803515087,0.22924509796240672,0.7365285733917276,0.9027830030976325,0.031666175529837526,0.7052247028436563,0.47087286956917884,5.453756078991731,0.298290893208943,0.04350579348907563,0.14958598440160387,1.7765028570778991,3.033064547644683,0.5308692410136708,5.008633319769373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
