subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,1_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,310.997295703786,free_1_learning_rate_Semantic_CMR,0.7379186571360546,0.03728830857342602,0.01574084765187389,0.8128719775472191,0.4966953147321727,0.42045599361041336,0.6673255830482915,0.7076218983625192,0.16190241293333685,46.76949701554069,0.015671964796122095,0.06801918929828155,9.606490755430972,0.7120622934203622,0.2160276419241436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,315.8522898282264,free_1_learning_rate_Semantic_CMR,0.8788921547758599,0.4392161333531017,0.8498149135909334,0.2395787241128246,0.11482120652936612,0.15827463316057844,0.13431535427164865,0.16168906612773065,2.436391639601574,21.12588304779074,0.01587922954671739,0.218702969388052,2.9141331157245403,0.8420992537793575,0.47226202774374837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.3851660941084,free_1_learning_rate_Semantic_CMR,0.34415349733726364,0.07889978954126553,0.03481130844403657,0.8570707761725317,0.6980010139684667,0.037858302505187985,0.827338698337563,0.20559764462813374,3.152931478938456,52.41498420055229,0.004648261439581325,0.355838584347835,3.527573510332679,0.49365785106289073,1.5631148372068107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.3481444778189,free_1_learning_rate_Semantic_CMR,0.755760274411176,0.12182223690371868,0.4423085901487469,0.7250228366217278,0.27744403232517106,0.3565283662216532,0.9874227838497779,0.5793712731281503,1.0547357533802852,46.745838510208756,0.0019516594541388876,0.18926957965081126,7.980777474719889,0.5762945976909568,0.17954323855191934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,229.7257467738031,free_1_learning_rate_Semantic_CMR,0.46074991808606425,0.416442932560005,0.8948738433089787,0.9815612120012436,0.9585251365507358,0.5065428205017448,0.44105715413956337,0.6167299203659113,5.86912174703383,0.9035977114266416,0.0018914525481636413,0.5100550012814855,6.505631117031693,0.21081333390069557,0.20983605325789778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,265.00543831510845,free_1_learning_rate_Semantic_CMR,0.8876119972374201,0.0732052873119528,0.8328755691520335,0.919200986188339,0.6859181091917612,0.3958800650894045,0.5609250898166713,0.09406862765434998,4.161979590361554,61.34300562494707,0.0028901111294746817,0.387776916869246,6.685165201708399,0.14984562884726643,0.24907830860742752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.06387698726542,free_1_learning_rate_Semantic_CMR,0.8933345543783549,0.3456550820330346,0.5776812644063348,0.8064683382212785,0.5699474779191607,0.3648204063362087,0.2892574067427801,0.09633254201878988,18.55659610624664,1.2985480243135612,0.12738086819169264,0.1678803097665389,2.359412168858811,0.5762575489445652,0.7760200768692345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.19088913762397,free_1_learning_rate_Semantic_CMR,0.5921041311830915,0.03324405803659469,0.5981553035909257,0.9483659751221555,0.16694519717081574,0.25452316825550003,0.42294522137567714,0.7920359930535169,0.19156117576854825,69.62982598215123,0.0076539378936009705,0.17420836586262212,9.450051171899712,0.8153241526329196,0.5206764459021382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.40845716189096,free_1_learning_rate_Semantic_CMR,0.7378517645860355,0.015089777923383951,0.5115689739438793,0.9105291413766354,0.25802183550459534,0.6957675667714261,0.07149279947206877,0.24910711053064127,3.4353566467842853,27.170778765199614,0.005783163115577472,0.31615472550877133,4.735105120431776,0.11275060834328665,1.1392755791349707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.7638459097634,free_1_learning_rate_Semantic_CMR,0.9527708657652303,0.2032508649518348,0.6698624367456806,0.9500914467047197,0.43239828103018285,0.6797051326759981,0.6418918397979931,0.5266184283174739,2.2330107513499016,62.988998021635325,0.009832319278634705,0.2664430973309173,2.8251205958126127,0.014838983000164674,1.0536094909732392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,95.6659392596105,free_1_learning_rate_Semantic_CMR,0.46264092057138795,0.06858268545565388,0.5450567940218186,0.881231205834025,0.0038716342663324133,0.4816628105587334,0.5788207712279511,0.6605359138997773,0.0601565503254875,60.90283672294923,0.005160767739348093,0.521786128564818,9.861709879360964,0.9377372088101315,1.3851335967176426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,227.60174025267827,free_1_learning_rate_Semantic_CMR,0.924874839422827,0.2136738726915295,0.7997642546395073,0.9538708189206756,0.19523301974959079,0.9709051981641262,0.6951420143381651,0.3911727802978466,16.329883752124495,0.6358073899991084,0.015378621325577713,0.26951982583881495,2.578396883136342,0.4585464011974377,2.169966589897139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
