subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,307.9380237822039,free_1_shared_support_Semantic_CMR,0.8213644776983389,0.21041348199335258,0.7790148491799728,0.7928220253722953,0.9572057733501436,0.4195118318022174,0.5550907495537657,0.5456730979005716,1.3652148857146074,0.37552799141029425,0.027175722298453442,0.07033854648774795,9.261188713697955,0.7291889147440412,0.14395831663821834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,315.97009407380403,free_1_shared_support_Semantic_CMR,0.4293176297519661,0.2861432635085964,0.1476747761963505,0.038094804635718627,0.5589587162093994,0.8852839902683001,0.4352867154254778,0.4773707780359976,18.105916317827457,82.04505027146624,0.005022556772518116,0.25903949158370754,2.7360190560754036,0.5839837002420102,8.559497325388449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,332.0346490883194,free_1_shared_support_Semantic_CMR,0.1307500648675774,0.19875182622442145,0.026890534076608907,0.1602903260099084,0.3308918824602082,0.5219432920882578,0.5344887476018225,0.6056037687437658,0.2720468117547057,36.66093847217978,0.005598961833782279,0.32527752425008316,7.552219299680576,0.6740612148746973,0.22404055396947253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.3128816225195,free_1_shared_support_Semantic_CMR,0.6989282143332637,0.4192052420496629,0.7121160455895648,0.9253701281265012,0.22471512057085097,0.2397072076458907,0.35916518760680266,0.6060083350270709,0.007250669275983057,66.08282269832077,0.001738627529992931,0.20323738124589585,5.448554188201213,0.7873432025889538,0.24487453031508188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.82527416972403,free_1_shared_support_Semantic_CMR,0.5550668341109432,0.6546136287221964,0.8276751444686137,0.9523590276231311,0.7613025901461028,0.45662942157454633,0.3801351822008754,0.8804242328810123,4.9501361705030575,0.7448306855241285,0.001806183187381627,0.5267711098669441,4.030636208588004,0.2938538793770904,0.393841398269716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,271.351653467831,free_1_shared_support_Semantic_CMR,0.9229518525119784,0.5485205652370715,0.0452151072955948,0.8052761444033447,0.8334093163257414,0.08987837575144314,0.46911148661727764,0.5089178090496198,1.7247926853099926,18.00507517930452,0.007934944791898824,0.31152072547080323,2.9536292746587556,0.09966537886806487,0.6591864724672121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,109.4767094789562,free_1_shared_support_Semantic_CMR,0.7238285134312208,0.00033900319251412014,0.5105437733593016,0.5321937938424376,0.015485581068982512,0.6861663472941683,0.8671455242897887,0.6673586435609435,42.41331604184097,78.8937212104486,0.08312625702955023,0.27719787864325607,1.5120772074625988,0.3615889923681322,4.95265229218491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,250.34970327321133,free_1_shared_support_Semantic_CMR,0.6479733816730349,0.12222012069788085,0.6641113575525593,0.9345721646052587,0.21628568239804002,0.13107080285883915,0.4957402981221577,0.4964837075536149,0.3973062290250695,14.576838363200281,0.008324165192873212,0.16112858266955055,8.55415358806055,0.7723623175199267,0.47990746995743194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,231.42948698036503,free_1_shared_support_Semantic_CMR,0.7738897181281107,0.11771285859283132,0.41662450319892474,0.9798941844000059,0.13329861469673263,0.26566439800075903,0.3758272079434248,0.5424491016121195,0.530352746937826,22.884774737218738,0.023874293295788537,0.204432600333853,3.7851515113290137,0.12107628267815654,2.1929004360871978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,243.6020883545694,free_1_shared_support_Semantic_CMR,0.9354020339653397,0.26240862397920584,0.5712424783333446,0.9635407638060312,0.12467751947715539,0.21218368276075927,0.4005293166616499,0.8248335457762153,0.6682852549796081,14.65914880707296,0.00565190271596433,0.3247748609578487,2.7191991185421367,0.22877147020608007,0.7151400220328092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
