subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,309.4292257014941,free_1_start_drift_rate_Semantic_CMR,0.7225482700654368,0.01357505363035627,0.42122752365746213,0.4629306173734783,0.7712876537064729,0.36802159952250224,0.0028022319952185626,0.4701813196792441,1.2088263666358259,49.988202195225554,0.021306138716979173,0.07343125601443479,7.839534980619164,0.23343334776925184,0.1974564480607679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,315.3440156871703,free_1_start_drift_rate_Semantic_CMR,0.31151078618017936,0.762467287454944,0.9760139012933033,0.6534618655617295,0.16758336402646518,0.009065350421556428,0.3910006532373366,0.5509140713795432,0.9768202838097864,46.05804787762787,0.0029455885897534673,0.275942711444884,2.507640526367185,0.35908669906548335,1.738592758208088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.4247260537253,free_1_start_drift_rate_Semantic_CMR,0.31892130435412336,0.5591762968562657,0.10987120640728082,0.31446372556275737,0.5423625492455186,0.4138970759689226,0.49173785263896197,0.4773769014870394,1.1608912698674487,50.01545956579386,0.0039175635087279614,0.34714627396526065,5.685576009622034,0.9608834157134725,0.7869024448496393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.48554684798347,free_1_start_drift_rate_Semantic_CMR,0.7144038868031755,0.22213764281924686,0.30190520612476457,0.6160638693229998,0.7324759299924654,0.43250435279717603,0.9937141777219728,0.4994276248933509,1.3819926066224966,65.83929317216305,0.004588996434028603,0.11491543945472671,9.744584311857743,0.9859275750307509,0.2008031355712081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,243.5309014180678,free_1_start_drift_rate_Semantic_CMR,0.5286411846003757,0.6348672425980049,0.9318937677773571,0.9125042034512061,0.4104385506052493,0.23754519718368428,0.5477192642200065,0.8310599670352958,42.62510761912677,1.119001858114025,0.004439859445788952,0.43469357325586433,0.9924544285503965,0.17438179251494496,2.381107703160712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,274.0820600942277,free_1_start_drift_rate_Semantic_CMR,0.8505169350629393,0.24002018851609508,0.21111320465286548,0.8626280524132879,0.18644414141322263,0.533746304482583,0.7137305560787609,0.0890086641968551,7.247349514142741,1.3953468223395902,0.003645124473609984,0.3728806480434441,3.496994976924046,0.06321656470652398,0.9446861891491318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.28759394707878,free_1_start_drift_rate_Semantic_CMR,0.5353474385598687,0.22715294326464563,0.019721516975694686,0.47115024543324513,0.07590086377879174,0.007341692133781719,0.4911100869859606,0.5935650410013451,11.15892705572817,47.32391794681281,0.09603237513845742,0.25237216080940517,2.504387170462434,0.5157569317677095,2.7293214606516165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,251.28145551319756,free_1_start_drift_rate_Semantic_CMR,0.520837342633412,0.384740617167511,0.0694381729763845,0.6808353709894878,0.9303839337347253,0.11870944226916852,0.3520736511685059,0.6155309426447064,0.18351962199195526,48.20008170519504,0.021032318661761806,0.10916776408362505,9.434557259375282,0.8354581324144237,0.5840854784865872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.40848989382425,free_1_start_drift_rate_Semantic_CMR,0.7297827121949702,0.0025178093711403227,0.06426975009041963,0.8497646217359716,0.8746169931514036,0.06978030464866081,0.7153199138168034,0.0624708819437359,1.0250637220431216,0.022309032697933162,0.014957792646372259,0.27163918305661383,3.147873581285464,0.3017174505535014,1.204048959118155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.21664744781594,free_1_start_drift_rate_Semantic_CMR,0.999646449212852,0.3559466192710607,0.9331690453874282,0.3814567396232265,0.9359628396429933,0.4796917882224767,0.9784157040113164,0.47946590726367366,0.4692187781017907,13.065694035534896,0.004500771277441806,0.35509755541693266,2.854958320722671,0.32394452083597325,3.8887965273371643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
