subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,305.8179225972364,free_1_stop_probability_scale_Semantic_CMR,0.670863007743067,0.1361000154285848,0.2231368168619451,0.8306255290664235,0.377755980790888,0.5827171164970731,0.6597912856397347,0.9814325031615141,65.15479941901312,0.054035027822977644,0.0014157135474668348,0.18133113476679252,7.207298030638198,0.7674336970928958,0.2337073266789611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,308.43318780854105,free_1_stop_probability_scale_Semantic_CMR,0.5943006973812742,0.7448095038395258,0.6036064256565546,0.5189699071090724,0.8970343634390646,0.6718741238013755,0.6253668959576931,2.187264843980903,0.23846483573053712,0.02610196542277531,0.004156780960214415,0.25015613381246743,5.5683192592296376,0.4720585578397052,1.3118152948388824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,337.3384478421696,free_1_stop_probability_scale_Semantic_CMR,0.9228024734745529,0.08506164952596007,0.4264266945933645,0.6711025766426578,0.8389509077610323,0.7654862708745155,0.44484352008550426,10.425968036292936,33.63983636861397,0.0036030110102853543,0.0021487374579975595,0.3746162734226007,1.2735254095882007,0.010055043089742616,5.305353001968521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,412.49252252693384,free_1_stop_probability_scale_Semantic_CMR,0.7471260529749517,0.2721975771308748,0.6660861385911132,0.7728097124850485,0.3665631721773972,0.20328690593016452,0.95925133260609,0.42792096455828954,94.77689020488043,0.00648514256774807,0.0025783235845516783,0.16107092187391547,8.552719020375397,0.7701449790201426,0.20537649692632698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,248.89375521821978,free_1_stop_probability_scale_Semantic_CMR,0.8402743336253788,0.5876323488192117,0.9877188643251487,0.5098638136694713,0.45194239446698525,0.05306276170233465,0.5397029318772337,84.36644632402697,0.49954537760817885,0.08971049411091697,0.04501311055988305,0.16783749187353703,0.9555838290016698,0.6080385050162938,1.7568068949213478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,267.4999873371202,free_1_stop_probability_scale_Semantic_CMR,0.8602301831363195,0.08563008376483194,0.7368569500276058,0.9530784105138925,0.4351911129220086,0.03984889401554126,0.5418388649881982,1.201850051018063,6.4476647137630465,0.008783752661330413,0.004522973310669975,0.33780852098639613,5.353314171901584,0.194534663716603,0.307555987115931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.47902356639598,free_1_stop_probability_scale_Semantic_CMR,0.6012765035312957,0.014346002376591893,0.5395690896185668,0.6456033596679569,0.6258736645856213,0.46136627975894967,0.07623643228208599,47.247947820209156,1.9026077114121023,0.14883978894931543,0.09669798386591955,0.09664024095899748,3.1927526340478654,0.3817790423626591,0.7668812623937429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,254.15119448036108,free_1_stop_probability_scale_Semantic_CMR,0.5743981937793504,0.3183890587630901,0.7339627573516188,0.9713548258275881,0.2270877380738317,0.21254662284869763,0.6505499227180418,0.22912919383891506,39.368163207152236,0.02908784147900817,0.02146192099260258,0.055312884452749955,9.189070716871306,0.5626064598934064,0.4711014210287825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,226.53042259485855,free_1_stop_probability_scale_Semantic_CMR,0.7820262299805728,0.016986086225711183,0.6732420711342266,0.980835080023796,0.1229904214454019,0.5671862130445429,0.10072683637029589,0.5393709183225539,49.86677361494398,0.008711734605308719,0.00455905490980324,0.3536966968010642,4.044920671703988,0.5407266387956575,0.6966327510623227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,241.27955882327103,free_1_stop_probability_scale_Semantic_CMR,0.9576614325623479,0.0042190167357287756,0.6013399836773073,0.9769049652070771,0.11541044827962427,0.0696662627710401,0.05651969188617445,0.34409459399957143,50.80453945279921,0.035060396829882046,0.0177231531036684,0.19318661582931362,3.888438609644661,0.4621097642182053,0.245005085010634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
