subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,302.74527709881755,free_2_choice_sensitivity_Semantic_CMR,0.7129413697705441,0.4135953961994588,0.19893687360505397,0.7724316432925458,0.2985814328993851,0.22042389894303116,0.676769724437763,1.048189631253372,51.04213041495842,0.013440770708825711,0.37524619621727506,0.06624540679930568,6.787185890551859,8.067223461532262,0.594678019365022,0.20653109188269436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.6456244902536,free_2_choice_sensitivity_Semantic_CMR,0.6403614876514077,0.5623229271676311,0.5281343187291202,0.7372173787657004,0.350941576332998,0.8667747971930537,0.4532145517502192,2.7972358535609203,20.67733341992224,0.0009009519154231649,0.4691276323118112,0.3687780171617625,4.693355643156467,3.340101186814714,0.687515098334188,0.7398255814955785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.8300873768309,free_2_choice_sensitivity_Semantic_CMR,0.22295464741279503,0.061544879407140145,0.399478684944909,0.25951094589695084,0.4322979217920678,0.7543545669163629,0.65113397228063,1.2543255082284055,35.64932954687943,0.0025445312154431738,0.38206344450568097,0.38716008780081773,1.273594289702852,3.199471741932375,0.4809245072562468,3.0071398475767457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,412.2166523691034,free_2_choice_sensitivity_Semantic_CMR,0.7200001595262631,0.07475884658388704,0.7785550017937263,0.628748492525143,0.24629326850120437,0.3372995171408054,0.8275574777355494,0.6171117417340213,8.951387875776973,0.0036112987066966307,0.2091187405258026,0.15921931416308244,4.799193408908129,9.689318166342076,0.997836605574247,0.15880278536746406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.62497404749718,free_2_choice_sensitivity_Semantic_CMR,0.5424917725098859,0.4462687814803772,0.9296887961694478,0.9324172426619426,0.9045848595954742,0.16647005358611328,0.6827868333222272,8.49465940215908,1.2021759173820072,0.009764358130427753,0.3350140508174091,0.3344472267336478,4.167860156145428,6.559369962906403,0.5342929755287331,0.39072277345429995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,269.0214894231415,free_2_choice_sensitivity_Semantic_CMR,0.9063683612576243,0.0957341157079788,0.8678968248486607,0.46265668511981495,0.41096018862717537,0.29553123512630874,0.06513970269415648,3.9457926502134697,54.85580849294741,0.007341243395200037,0.2702820491566573,0.28769350187296805,3.2904040541456148,5.955662169880451,0.22796415404075976,0.5993998004469763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,97.37138783348972,free_2_choice_sensitivity_Semantic_CMR,0.441884185582076,0.03903832444659522,0.5064589634812829,0.6474273397834407,0.06800870094998324,0.1727931145403917,0.049342271631448886,9.782113298027049,1.2406197216987351,0.07231158535371968,0.3678292340937599,0.18834965926403857,4.249823180773575,3.317917700577788,0.6036862930145503,0.24583104625939445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,249.09487752124397,free_2_choice_sensitivity_Semantic_CMR,0.5116968399241916,0.16565003265229133,0.9011113437948604,0.9178380643662134,0.08545959646545126,0.3118415885418574,0.5223325590860047,0.018089187818219443,31.580834501538856,0.011758809528414793,0.2047107755576496,0.11231118136243534,5.801762568563711,9.68269224905903,0.47914019337094627,0.5286347562203106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.01208964486545,free_2_choice_sensitivity_Semantic_CMR,0.7214098671426444,0.04709386001521947,0.5340887033285638,0.9543393232026232,0.10991757045935077,0.6646381771889078,0.3913356862079326,1.0324574594026057,31.409491400651948,0.01160719995696295,0.3353432627268525,0.2346467569893749,3.83327318141897,3.804559418745357,0.2746849794142826,1.222050906218535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,239.07934216557993,free_2_choice_sensitivity_Semantic_CMR,0.9669921444090704,0.09845298721334715,0.9037850185189829,0.9232987596244547,0.8155737577898096,0.5515870641542177,0.37654115118720527,0.9641109656832287,0.13989745297069683,0.008123648831581126,0.23624468143237295,0.2533108044984712,6.161459890916538,8.818405563357853,0.10322162329204654,0.3243345161218888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,96.71523746749536,free_2_choice_sensitivity_Semantic_CMR,0.4999671958445714,0.11939950813503136,0.27361745182473723,0.9513258937457564,0.01062235762654029,0.7049464373345907,0.7971093714271781,0.02344174014927347,21.30625888266421,0.012024062906449473,0.5284068978328049,0.44353648546866076,9.632075227625615,9.7161654493534,0.8831032535969492,1.8220481407843145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,228.28104899549487,free_2_choice_sensitivity_Semantic_CMR,0.8982197810642996,0.4153253839192513,0.8190923030778867,0.5839631947186621,0.06418009919337914,0.35569109528005816,0.33577090787998976,6.492892655400517,0.19130652875507792,0.02378669189598498,0.37954844421941836,0.11772916786990972,1.2016799107929832,3.2792362510455537,0.40518248056985384,6.759128049070063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
