subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_semantic_scale
1,8,303.00565527455706,free_2_delay_drift_rate_Semantic_CMR,0.5987879367402142,0.1334122126631344,0.5256867794285788,0.6409190819922488,0.3829228631251074,0.7702783840815373,0.24111096320922465,2.5650168406431533,0.6157854242129446,0.006769316258313618,0.4792369176540161,0.11467440450335609,7.541241563414051,0.5106867987916935,0.44929556851161395,0.3204173423488621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.4568001493764,free_2_delay_drift_rate_Semantic_CMR,0.5843183474114555,0.7942980988917282,0.3309512365927735,0.12265972882957127,0.7482633888141185,0.07693196752716713,0.8941295839724941,2.584466258064573,55.091551809651136,0.0027668718764304323,0.4464826721884032,0.25070018297033414,3.231880047511866,0.08503740464042925,0.06362511191752718,3.500629943747702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,332.4115520606068,free_2_delay_drift_rate_Semantic_CMR,0.40404626054922216,0.05495971246072778,0.2027625819177416,0.6171202340816557,0.3810075437023238,0.9753661674637663,0.2986701872231837,2.0014043866438413,12.581903049988583,0.001679542743817375,0.4317681551626338,0.39117633353115355,2.547662035971061,0.6029837772505022,0.05083648353348935,1.38731579453083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.84563687785726,free_2_delay_drift_rate_Semantic_CMR,0.7820964952695655,0.2450450994454748,0.6055387993918624,0.8222764824139921,0.24115446115165928,0.0010500148052342562,0.9426638992926777,1.0077434735406428,36.11109017182327,0.012596277078186613,0.11900838636135802,0.07607232118767815,6.481942694590811,0.5996881037694151,0.5283264880230059,0.22822775608131884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,242.77262562049117,free_2_delay_drift_rate_Semantic_CMR,0.7337794630198615,0.09390859595973111,0.8388189769935022,0.7373575463032821,0.39117688637816367,0.7056907403527634,0.7876099066721994,91.71079221790211,1.15028944271792,0.007967615878010925,0.36728890421933524,0.354318831191371,1.2162381288004473,0.09234823083751731,0.036394919133386494,2.604668127617929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,262.2958369616474,free_2_delay_drift_rate_Semantic_CMR,0.9301304705475217,0.15351029887138634,0.8331439529126723,0.9165081195093034,0.7002572404912067,0.4177018267571397,0.5927897084610688,1.556319882932236,40.20521557126601,0.0019506264199145584,0.44582649584033973,0.3950801127442469,9.603227278547896,0.6882473590914425,0.09740295912535218,0.25601022588996525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,106.37006006683768,free_2_delay_drift_rate_Semantic_CMR,0.5125839990113348,0.3489789550025374,0.7356355838343634,0.28713377370083915,0.2359680817138589,0.50052425257768,0.13825898855354285,4.973213458390035,1.1166968270576092,0.044922537799603646,0.5335819584972201,0.19673130310078513,4.0334859886445145,0.9358458699620944,0.4751652101761503,0.6338912585349101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.8297488783301,free_2_delay_drift_rate_Semantic_CMR,0.5319903301745379,0.10783056073819414,0.6472808557223868,0.8908398664484225,0.153068714594702,0.821327037031794,0.4416581158133033,0.10089972623578092,61.55455122409158,0.006937512471119622,0.2335428104845798,0.15231682628469567,9.214421436306544,0.8520796357946829,0.7271765690996786,0.5578356554288568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,226.77768816502822,free_2_delay_drift_rate_Semantic_CMR,0.7470719309744654,0.10085163444262901,0.3980270609306375,0.8954379792481457,0.27172174172877794,0.5958409979306127,0.4120270433841314,1.3148953535867776,46.94998567168882,0.002542576204661473,0.4940207109525714,0.37371714732281003,5.036292384116815,0.16027594933302247,0.3264662602448417,1.2524817241136432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,236.30356958775508,free_2_delay_drift_rate_Semantic_CMR,0.959739567425061,0.24108799422343868,0.578251292969126,0.9989808928136581,0.7527519429905368,0.7749490634699825,0.3960742481967156,3.5939227636101663,0.32925603885126975,0.009100150334304558,0.2635008975798101,0.2310764903168021,6.947745957986816,0.027071869347393474,0.700719793420407,0.4432871735375521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
