subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,300.5727275297178,free_2_encoding_drift_rate_Semantic_CMR,0.31023419810141983,0.7771655026512799,0.33680594518066753,0.11502242830297338,0.7547822412225919,0.4305945117730232,0.15008004149265725,0.6526718417445929,1.0650533911864883,42.560644407261464,0.002402673114989262,0.5466957159724615,0.18008501025060664,9.807707472419374,0.6388878926976247,0.20577970888475594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.07477197602657,free_2_encoding_drift_rate_Semantic_CMR,0.555313945989128,0.7050847219257224,0.5211436666521005,0.6856967308455328,0.3123510624262619,0.9121460362145122,0.2776466304963929,0.8628574077868516,8.56855595304754,1.680805775824992,0.0022663294499804124,0.46308645758221756,0.2964520839416904,3.226918610543897,0.6839331159276284,4.4929329910645315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.7283512417632,free_2_encoding_drift_rate_Semantic_CMR,0.38223039176109735,0.9525042981626708,0.011776553074133944,0.13779594782657295,0.8547336676730379,0.16120233206372941,0.7738835058172898,0.039959377295402665,7.356934854708122,19.943706177387476,0.0035556829910837195,0.35309312658577596,0.38613660726339827,2.17104617411323,0.11695631335716888,0.4018772073539667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,416.26808346957125,free_2_encoding_drift_rate_Semantic_CMR,0.6879813908849567,0.706108133907711,0.424208679444659,0.6890129481437581,0.8916253954648825,0.5118764136916735,0.34470538887659113,0.639459766015692,0.7214685928951425,50.43303583063552,0.0034707796842466943,0.16934223582356367,0.10710279999951489,9.187871942582357,0.6727484097228259,0.20361944795187092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,245.70819344115029,free_2_encoding_drift_rate_Semantic_CMR,0.5145627852306343,0.7342362513638123,0.9963688166533917,0.7281620312754211,0.27617333082587514,0.18825541863548223,0.22213354556961673,0.07744828833017203,1.89116776773799,78.23727183149833,0.023439338018292677,0.2566203108259062,0.25369452873157083,1.6266528130927145,0.7820868448258788,0.41366771832424565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,263.80866409619915,free_2_encoding_drift_rate_Semantic_CMR,0.7490508927837344,0.969676181975393,0.13231053101877105,0.8650428541271413,0.8898722076804009,0.881785537124125,0.4192924885997282,0.4975641763582258,3.632767171150171,89.35896069874809,0.008345878908449289,0.3530593672760354,0.2884623539652136,9.720167698573272,0.05967928098649672,0.20417392811528767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,104.8484563539198,free_2_encoding_drift_rate_Semantic_CMR,0.6054389226307243,0.5457367806124149,0.5581156313778816,0.4597456272167873,0.9616184094125376,0.3270126034364733,0.4070376105378162,0.3659611369009812,2.865358134694823,0.8840338658086964,0.08728798467018611,0.34260468984224524,0.15201810860583898,3.5126315031912645,0.17275879767167318,0.5830446854067537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,246.74789398435348,free_2_encoding_drift_rate_Semantic_CMR,0.749869730767797,0.5791588656118141,0.15956667501976257,0.6318226100620807,0.9545966239046572,0.2057638621702556,0.5889507421271897,0.5872127324169917,0.2043473099111992,35.48198766339597,0.0076161126709898275,0.15558244975112778,0.11771863118673132,9.633853301302084,0.8732948600594468,0.45096634066731234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.1880859638917,free_2_encoding_drift_rate_Semantic_CMR,0.7564235673355119,0.7440803081575295,0.08017487024454695,0.4111909963255137,0.9670926682094252,0.24704058634747494,0.7787932576755128,0.4392097253643904,2.170159014531933,49.89933928459311,0.006662367722216178,0.40894349201394675,0.31395241193264845,4.323400651778671,0.17706749992101473,1.1945822639779768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,243.61881297590986,free_2_encoding_drift_rate_Semantic_CMR,0.9049073323285339,0.9403997820188221,0.5130009236412678,0.708943823814525,0.9451799050468285,0.6867124554053003,0.9225432985559645,0.8378438649774627,0.23219490984675417,9.044124008395613,0.00407469131285082,0.32960266508769553,0.36722573652291945,5.658247228761053,0.07668456459988815,1.00294531693201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
