subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,304.20801566590796,free_2_item_support_Semantic_CMR,0.7888212598669581,0.11314624035597426,0.5651108514244056,0.8146969280729741,0.0708705858461463,0.3846652200627747,0.2323581824072432,0.39226667938139215,1.3686630332808036,0.40407237280224706,0.03019482405673729,0.2649879466959524,0.0050069171605908736,3.0351598092172747,0.6923808875115094,0.16855252333745163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,306.80175427677517,free_2_item_support_Semantic_CMR,0.9114833101629156,0.0035303397323210306,0.2567569727123338,0.3004348788843717,0.7572653728221125,0.19060100326389767,0.25070881099208925,0.5272662154462714,38.685994490599,0.8652454238727998,0.008575469210562181,0.3084491983076285,0.22628635512429796,4.09824757917306,0.2128002471402275,1.8064746261423217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.82071623947604,free_2_item_support_Semantic_CMR,0.46622795944360457,0.06298674383829694,0.40756524858834514,0.8293666377058284,0.08683033987574856,0.8964981403625232,0.9876551267846684,0.33263209967382545,2.9468173307697043,29.782317544759106,0.003891988311694794,0.3415552081118465,0.3291001550940358,2.648516577201293,0.7576774128256356,0.48374833636834236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,411.5947330820983,free_2_item_support_Semantic_CMR,0.8265933576306335,0.24380584264499927,0.6437675764327868,0.8283767181525203,0.14966213745975082,0.6093947233822916,0.25926512101056304,0.6846344032581817,0.5866237114623019,38.791062397284335,0.006516832974091613,0.17457432527559558,0.13722762918472675,3.8370252330847783,0.85002989443533,0.11283314876813133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,241.87841958098124,free_2_item_support_Semantic_CMR,0.7323330928970228,0.37271061296303404,0.7824352283194806,0.9769816724144452,0.9142282638940822,0.24905365606005442,0.35924494211105534,0.7631871829318411,48.82724191546883,0.41110539926939615,0.016073201154391703,0.23506099398426877,0.23021669742013448,1.7905292489624416,0.6249606466676705,2.90490095306487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,274.39703734388047,free_2_item_support_Semantic_CMR,0.9764513008629065,0.11424983292958607,0.42337183221517993,0.5053083168552345,0.1788010061169117,0.30388355520619814,0.8317564950833478,0.4864287919471607,2.570835718894209,37.07886257907119,0.002167296153701481,0.4290779898651804,0.40616398496486017,1.761127501278812,0.19565428935206264,5.014292634867072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.48998304109958,free_2_item_support_Semantic_CMR,0.45180354622011043,0.19223593195140265,0.22392435919332718,0.11080903666482445,0.34858167941944507,0.5300032469754891,0.9097532444721338,0.2896917047890548,21.29169199357649,1.5693549638124837,0.07814812765746361,0.4166799308758855,0.21018267033314567,2.2203069889507323,0.21334183229342712,6.2570119284614565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,249.9905175725408,free_2_item_support_Semantic_CMR,0.6587185234867626,0.327854548277691,0.6680959407987084,0.9378076672857841,0.18122357314824872,0.20194293132572938,0.39146943824879027,0.7471513852691223,0.2804868490889305,74.51018114426986,0.019894670047091667,0.15382761054469363,0.10258820734147633,9.489721030296153,0.7579850314599192,0.5220503103552385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,231.38625208948855,free_2_item_support_Semantic_CMR,0.5954586571938154,0.031324100569978974,0.2931140768005962,0.9482089703748717,0.1942130170106307,0.9392556384576642,0.2790136990733835,0.22337998608348864,5.839384604235605,66.06502526500087,0.039295894677645826,0.191093439365968,0.15648783853677806,4.039399058800014,0.0007070283970856961,1.5544604517866167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.6390542854188,free_2_item_support_Semantic_CMR,0.6088993967757512,0.09602704334089374,0.4317824936393526,0.9692390529606565,0.4350117971691999,0.38603710873840896,0.18497643716854212,0.4837082786436362,0.23180736487278608,19.242532188959295,0.02114460491564729,0.23325896830090365,0.2048963789182272,4.364058579465996,0.28347706350588564,1.5247109120751512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,96.12407333128567,free_2_item_support_Semantic_CMR,0.456305537146091,0.06512195350189731,0.6882017252370068,0.95550312002683,0.00556573012409689,0.3477503495705699,0.8668586913489118,0.928470677812439,0.17645587047233846,44.97474208692502,0.006003514148231914,0.5358913552363065,0.5295295815224028,9.979489267575879,0.9734957115946691,2.131516431717987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.76742492697923,free_2_item_support_Semantic_CMR,0.8501939283323534,0.09540825852398843,0.5957563380824649,0.8244415261736389,0.2808480707773921,0.656986483901494,0.1768551128022266,0.23396062172050436,17.46053434744342,0.7149409283304067,0.0319164333287737,0.3341231010130894,0.13813863931158288,2.7321443057051438,0.18293185404095164,3.3511894431035727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,302.9302284682369,free_2_item_support_Semantic_CMR,0.507603256132311,0.7340805645164962,0.8449748489848918,0.6457523142779837,0.6482073551569256,0.21715009196509683,0.8326354869250294,0.9571218032012876,1.7363587457416756,38.92629954954978,0.015311876809938174,0.13201869249289988,0.11746324097797523,5.138909947443193,0.8052932086748195,1.9706013098154451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,343.90757973104564,free_2_item_support_Semantic_CMR,0.6369391314105978,0.8205215937014836,0.31896866174969357,0.6203949372984554,0.7064367967745646,0.6732868224493023,0.3023536329515195,0.5994982539937762,0.1711963541530348,98.34113270285117,0.0005496349733571773,0.521904647757789,0.3368518259524821,3.09556607218189,0.0659965187311384,3.2121001571616596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
