subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,1_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,301.0323866740023,free_2_learning_rate_Semantic_CMR,0.7469254965373071,0.2779653386705044,0.22685800254120114,0.7508953476924805,0.30851404392976745,0.8349076863640705,0.36382201652937757,0.3598539514580799,0.6529353279169783,38.79318248039233,0.00840619467544651,0.4284249820126682,0.06772117633735242,7.718752473908477,0.8375158290363935,0.25223473506934013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,307.52942218200565,free_2_learning_rate_Semantic_CMR,0.6458934326265564,0.894137120837623,0.37769537770454903,0.1302833901985077,0.8488294024263789,0.7655579787409661,0.5699234381491743,0.6374445071392831,1.0496153780098467,67.14497294117392,0.005100126103968594,0.36372791501670143,0.2571907944318159,4.708027471116145,0.20611932203460542,1.2336159883331304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,332.2602119202021,free_2_learning_rate_Semantic_CMR,0.5150672638872849,0.08878069465868216,0.16895073663942423,0.9285116571815355,0.715799956211471,0.4870183160333174,0.7336093117408187,0.3420177902850743,0.9472948461209612,38.69004002869346,0.001386334325441163,0.4518475373647348,0.39490472989719994,4.246143236295891,0.27477003997351235,0.7215111808951375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,412.89013034705187,free_2_learning_rate_Semantic_CMR,0.7169770932677855,0.16616496044732287,0.6776979446961504,0.8033669852408383,0.4388830371508565,0.8477216447988329,0.838646034843855,0.4336491429743323,0.6455592425480214,67.30865406393397,0.00347085684102474,0.17548200306169978,0.14285223838291897,7.452212406242158,0.8283103524587997,0.18111703197863252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,242.94653108528797,free_2_learning_rate_Semantic_CMR,0.3931052267647262,0.40619533856892553,0.9252620414083561,0.22418198833008457,0.922609873433702,0.19607223741400498,0.051793612059577554,0.24450704961200098,31.491663013257217,0.788051908726267,0.012344542623477284,0.32855410303409904,0.31227835592106157,3.3165488800368133,0.7809358103715391,0.9353278952051634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,274.4030744860239,free_2_learning_rate_Semantic_CMR,0.9409655601173033,0.42887414393571777,0.9570894589376076,0.9841791426897338,0.963827442924879,0.7784043371041848,0.23881318236756355,0.11882230352502582,4.356628232354495,43.50918653971404,0.01495592843007948,0.212604805466035,0.13483923822770372,5.638445830121067,0.2945780926320618,0.26589671744141974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.53140594841634,free_2_learning_rate_Semantic_CMR,0.5066397684067362,0.37110088767705435,0.5772895024229433,0.3646487036558846,0.004663575280522192,0.9898950687659213,0.6314583892638281,0.36025197843856244,6.22110776882365,73.05766486244545,0.04025114334078478,0.5368155609267697,0.2290688990296017,1.6942912189213089,0.20627929155722813,0.8169410492875349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.86637838741387,free_2_learning_rate_Semantic_CMR,0.5759754944191057,0.41860313708692004,0.6473341327319222,0.9068009485936503,0.17929112342911852,0.6033087625894539,0.3770207672262186,0.4218135966138136,0.006346932780544989,47.81626488676084,0.0048133041035246515,0.2597773173764608,0.17482368150877647,9.287043982455543,0.676563917227267,0.4922693452789835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.61788591862577,free_2_learning_rate_Semantic_CMR,0.833380178996272,0.002163191747420745,0.3665214378711904,0.9319825462512386,0.6208471629630428,0.9181241951891597,0.4240839511763972,0.09894881289477686,0.25220836374293754,49.850941793507374,0.011918217856469238,0.30750542959849625,0.2595114761076065,6.085320349168676,0.05255458877192609,0.8121516149933363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,239.1614254570948,free_2_learning_rate_Semantic_CMR,0.8649968877398957,0.017344718501951073,0.7150111173852313,0.9928489802978653,0.8531913329592506,0.5086778721600621,0.8456617592614919,0.4371532568604023,1.739083418592621,0.11790108732940752,0.012773697657901373,0.2776102626012982,0.2407573622458168,7.654556014628167,0.45539332012619804,0.6518427982979507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,96.35703119543726,free_2_learning_rate_Semantic_CMR,0.4428979663591739,0.0649755420416297,0.5128088096470989,0.9414094127173909,0.0002770447182196545,0.16422115038934443,0.307062581244129,0.9530408818782408,0.010157317096954444,71.55007617479603,0.012508577380061281,0.4963428703615511,0.4438597617835658,9.93679568715675,0.9684634098493202,1.3869194284448167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.70108175392113,free_2_learning_rate_Semantic_CMR,0.8292772797111729,0.3004330122539326,0.7764694069431011,0.585781860189946,0.1874738627879466,0.7436116785229819,0.32765866554944645,0.4164929650745725,7.145241891559671,0.5540630649362015,0.004744743167627241,0.5198046479440457,0.287921249507356,2.6724629130767754,0.1162137231010299,5.65000293132019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.79332863971894,free_2_learning_rate_Semantic_CMR,0.5151058248973951,0.5162790359281908,0.4184947520634576,0.9933818173899679,0.9285308208806288,0.6424151553492671,0.6596789721069397,0.5476619307842991,4.8271483136113345,22.6116049535334,0.01725378497293388,0.21469814687487837,0.09382816452647819,4.366477188922292,0.14886856257549022,2.85579809590473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,336.39687126358757,free_2_learning_rate_Semantic_CMR,0.6365209911626422,0.5497777327801037,0.5164429560643141,0.9444728917705313,0.5107467021915326,0.6883865930504042,0.11205873364111307,0.6915579891309136,0.03974837372716981,14.050953029344715,0.005928220823642167,0.30877315144951406,0.20766536749159473,5.736975204321385,0.3725144809198618,0.5886454999464849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,173.87349621242555,free_2_learning_rate_Semantic_CMR,0.4068441409394708,0.2080339592327014,0.2840762069605728,0.8484340347682771,0.017809011118344764,0.5522046071741127,0.22726317119391182,0.8634430224156169,2.601310792791331,72.2853815422307,0.03995545260207922,0.1532212061734155,0.2965230993231831,3.4120881881812624,0.04159057445090342,1.2023438358541894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.0180691645635,free_2_learning_rate_Semantic_CMR,0.9205628700373911,0.0046193028957471904,0.28081720547151845,0.9461563829693278,0.285110670547406,0.26010554767823657,0.5190658810739456,0.3055399098640632,11.314410903334405,44.573496195832846,0.004515962260115691,0.3324734931722375,0.2277725625341045,4.489744766809958,0.26909310190015606,0.16333713517637083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,242.8013501497747,free_2_learning_rate_Semantic_CMR,0.6885387836659098,0.0470319835202021,0.17426750402250002,0.28821830999622433,0.19201789110646328,0.9738271652569738,0.4981894315744133,0.5453174867183452,5.793635494112557,41.513919675429996,0.010663474858515043,0.2716661846321671,0.25364682201899846,3.125548898443968,0.19861774250152747,0.6772357588141382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,264.95063755413463,free_2_learning_rate_Semantic_CMR,0.6546529549847815,0.6171360050912236,0.5486509346732322,0.9955557097542492,0.2786419092562138,0.41098735725743424,0.5671321683894557,0.5611591452491024,1.8147580100553569,35.34120066179878,0.008184992221065057,0.3992308384984975,0.16685458433800182,2.658999546280361,0.739325480030911,0.34154462903012295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,264.7391796948801,free_2_learning_rate_Semantic_CMR,0.5314986373314836,0.15830035287721828,0.40680728147223993,0.9255975186154468,0.17323902717585343,0.49449129718145424,0.5116805350327462,0.6986053258592314,0.6819538652703176,62.5744147104644,0.009729968817427128,0.23736212217374308,0.24111294618541157,3.6389855886511544,0.8476886789561933,0.8570323493306319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.39661389350755,free_2_learning_rate_Semantic_CMR,0.6332231078297577,0.01622812537734636,0.2413925351726383,0.42620004016749136,0.5139832587305885,0.6369325508271992,0.9400670538151297,0.01576124904791909,23.80189771684838,80.35548394771958,0.007617208267896802,0.27408119342684856,0.2717295908755606,5.185331840896533,0.10950600359714541,0.37199381389310204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,284.43959305004574,free_2_learning_rate_Semantic_CMR,0.6134197935382031,0.9298042173339962,0.32030202048596473,0.8539181846197051,0.4602859954476221,0.4071385621607733,0.023502497690712783,0.5472895591475541,16.462454347057406,0.008691212889197455,0.014489767994588449,0.1420129151443339,0.15721263561875778,2.360221926442083,0.6706755614978913,8.524208466724671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,198.2055926139268,free_2_learning_rate_Semantic_CMR,0.8665880173414608,0.0734896319277572,0.3847743763537023,0.488396680490598,0.3145938523859171,0.40698268288563094,0.6880385612109736,0.8271742396992929,12.79427031935677,2.6905425691638953,0.004233883618647016,0.6518869949285264,0.4297953069650937,2.368146567811971,0.16213683314034905,0.8639641156677946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.49291954950945,free_2_learning_rate_Semantic_CMR,0.6931717892156795,0.1338632979491135,0.0636831887616584,0.2604904334395597,0.14035427799708855,0.8501282444640075,0.7635643293358639,0.6462973059374213,0.48746450632800276,82.31149639705231,0.005819198807878956,0.753345504755023,0.3530179606515613,1.7700350620072385,0.02257311837035214,0.20789410389361151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,254.5723241650769,free_2_learning_rate_Semantic_CMR,0.22488114512140361,0.16514410117996786,0.7406638927606158,0.986577676800058,0.7476201050098055,0.22042726926454836,0.8400396384195175,0.2663554565421038,5.548167328624068,32.244200748159614,0.00809020006836264,0.4717484204130331,0.219336432025111,2.4949485315239306,0.7353510857126447,4.577765409659763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,286.5294765542876,free_2_learning_rate_Semantic_CMR,0.7799868114171616,0.11580749440159152,0.5764102838129663,0.6548964947031988,0.3258293278421934,0.5928601825637905,0.9674245479650746,0.40846837125918745,1.6418562065274998,56.09324439213206,0.000720305061019358,0.5026160841082641,0.3601235132772008,3.6704571674971502,0.12342114647035403,1.1480514664198564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,340.3217652106707,free_2_learning_rate_Semantic_CMR,0.5712535633741125,0.3707154098611382,0.8013669878745658,0.873143331770561,0.2906736856781934,0.6332275638526765,0.9684848329527911,0.7629264354438067,2.9957008976303,66.70581859632934,0.0028502236659810887,0.2722448049570394,0.21402950051106107,6.803992630489719,0.6193222839142061,1.1579462273298624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,257.11427582012703,free_2_learning_rate_Semantic_CMR,0.6895856672674427,0.6267123860285759,0.731405636684674,0.8183790942330531,0.38857013638355326,0.05647723589088016,0.3416901973285562,0.9718899984938952,0.6374501677439568,49.890141379105536,0.028865487564226133,0.2525219329800894,0.057979598941526156,8.814186234642875,0.7660420307488587,0.12378690008099902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,251.05239429358528,free_2_learning_rate_Semantic_CMR,0.8882586936693192,0.22785304694574962,0.536131287745359,0.8857786165928875,0.1068529211466882,0.332303705994407,0.33402638259768663,0.6791928234476994,0.07618314333283858,33.09414520832596,0.008866624340898573,0.28114086702687563,0.24506576618730172,3.125743646031586,0.22581930973406208,0.48949296973853806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,263.619997490968,free_2_learning_rate_Semantic_CMR,0.9229483197682478,0.2547235145348848,0.2062406872644268,0.42082281812243433,0.97466287099754,0.4407213518845544,0.9764372810757678,0.6017523903122033,16.20148301033774,77.08886061684808,0.001482002862829901,0.4290680768072406,0.43453659710642345,3.293388386704626,0.5339013849762448,3.791580505314254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.6524546511389,free_2_learning_rate_Semantic_CMR,0.4437758984419472,0.06450465674794381,0.3323948140267633,0.09244346147101962,0.27443938386435485,0.9526377345472663,0.3889774852850424,0.17166089450935956,3.441757302629064,17.09646079984943,0.00048147124993164203,0.5180298950347497,0.6071572155001403,1.969543335315202,0.6763872443368107,7.007278129582635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,227.47941076029605,free_2_learning_rate_Semantic_CMR,0.5941318103996408,0.08490750801241131,0.2547440811726046,0.7732880815808093,0.007789358905172905,0.25955526986785615,0.035947230916463846,0.02014022176517083,1.5344315428202293,52.777120396094745,0.007341637844815674,0.37583170102059515,0.39696456883415276,1.200575503322777,0.007340155498963885,0.33156551946597546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,315.0594722544617,free_2_learning_rate_Semantic_CMR,0.5714133783638288,0.2848242754690201,0.18412997523364233,0.8883445738030376,0.7679881927329801,0.8920327873409726,0.5628155721652905,0.7154825609919246,1.6310983119688416,41.67277391821134,0.0020825971958962075,0.43928183679340194,0.31143334352094953,5.351403135453104,0.3479359435393539,2.3144841202142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,209.0523861647219,free_2_learning_rate_Semantic_CMR,0.8925240229708509,0.29304221833410016,0.6702937746719095,0.9398598649627768,0.12500493361473136,0.26221531801393605,0.5870269866804751,0.551192127657211,8.868762359560776,46.403302291539724,0.012212480690071525,0.39879788041561515,0.41772449166390757,0.6236434538497795,0.05159294129044678,0.3279881022622133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,271.04129255120756,free_2_learning_rate_Semantic_CMR,0.9054154545066397,0.3477617329372275,0.13704206449390838,0.9714525923065754,0.31864110626884445,0.33282384210597826,0.1890014110821699,0.11915562551745079,73.76139100819148,0.32193854307390524,0.004931117872076063,0.4278975646591219,0.2860120281563807,1.8593215586302603,0.2767942333910176,2.184380800130685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.6780114561666,free_2_learning_rate_Semantic_CMR,0.38062775275186883,0.10671074379301687,0.39175473263507293,0.18900882517749773,0.7721908289539634,0.032931540704101925,0.10655332098550602,0.573013496686791,26.15656107228878,80.72330008879304,0.003225813247327236,0.5106240062209775,0.49012454177314524,2.052202166578545,0.5988531242826952,7.429176797349523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,359.30193258927983,free_2_learning_rate_Semantic_CMR,0.8273793957316788,0.043863105771857036,0.03602819391984513,0.9941871593400989,0.3423733154790195,0.4913072937116949,0.49719580069102576,0.6906952478303496,3.9989358456055584,78.84340450232435,0.004091315042663413,0.2969433808220101,0.23233969853406222,3.8000773022421033,0.5187721224496933,0.7638096636331424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
