subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,304.73003644581894,free_2_shared_support_Semantic_CMR,0.7285742104706155,0.34579094565457075,0.18056619826973036,0.769219109032625,0.3466882949671527,0.019452538720363288,0.7213088926736045,0.25003884900881246,1.5447680849681689,0.23814258619523088,0.021515053898665037,0.343438411337762,0.0678681100637828,3.0839819316809054,0.28590757224228425,0.223166620481547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.18183788449244,free_2_shared_support_Semantic_CMR,0.500156468768886,0.5981517731406772,0.5119215181906528,0.7755538224441457,0.4054684064773714,0.8266987928742258,0.3993769332848919,0.6426631461480401,1.8954039190483272,42.62493464839049,0.01077275480093004,0.32717512692337447,0.17283765156443032,5.34302532709882,0.5004096682859278,0.986855151245444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,333.65119762019515,free_2_shared_support_Semantic_CMR,0.4650215069761998,0.10443609560067595,0.04330067641281063,0.8207278657282827,0.4817894064787001,0.5210844871261042,0.775570848387627,0.701820152007135,4.428753062765553,4.709222492710712,0.002192122648014808,0.4464712194512115,0.3575738126474257,3.03811151140121,0.35147135205240787,1.3593775100118748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.5824301117345,free_2_shared_support_Semantic_CMR,0.7725956183233976,0.0143007734630205,0.6703616362830437,0.8475916795723135,0.2622259237114787,0.31124114167719164,0.4222370477742553,0.6792666840699831,0.6503214649742048,54.1440993956634,0.005764253804469266,0.17376639441506825,0.13774978817716033,6.429787290349825,0.5718993092688295,0.20241336651564534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,248.53433337787567,free_2_shared_support_Semantic_CMR,0.5722922088732072,0.18077082873273626,0.8376057873887317,0.7704059502932847,0.41555390940479003,0.4451528593087021,0.289377515757517,0.2715192229138088,70.08786020843726,0.8378055762900658,0.03344400512310186,0.12646484934352564,0.1906845146849907,1.3035602042076055,0.12748984494505167,4.561084513748181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,264.4822228633664,free_2_shared_support_Semantic_CMR,0.9380809433279574,0.1244280234991248,0.8562811269350983,0.9506762190175112,0.881644247603522,0.44668569582096906,0.5148295139335207,0.5454595087781118,0.9527458183953144,38.60169029525686,0.0029466134367550634,0.4257086118764484,0.3814040319516625,6.18558540086746,0.18570035597051904,0.2619459011027878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.29153373176709,free_2_shared_support_Semantic_CMR,0.36363611424355363,0.183266036432348,0.35348567524710567,0.6941652703965805,0.4230129043805628,0.8413538971462313,0.7040847149144553,0.34303971050835413,31.183189337959917,1.0621981104082963,0.08553907060293209,0.3186855241621087,0.18680787641069152,2.264774999241719,0.4877864026297321,4.192538636101368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.3764106690677,free_2_shared_support_Semantic_CMR,0.5981960803325463,0.17872756576450438,0.701191702914571,0.9089745392828048,0.24265759950352273,0.1250204662368702,0.31876921854383944,0.580084153964334,0.25218936010178084,32.01759432039193,0.007813291632028874,0.2350957333915451,0.1353990912412364,9.30710166979263,0.8081849465997852,0.5183656608576221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.28685842096615,free_2_shared_support_Semantic_CMR,0.8134839302738196,0.0418647830200253,0.29285216094630023,0.8781144878218665,0.4636724921640544,0.5989338888507134,0.7574241679257491,0.20916730466252145,3.9265673994197132,71.2926352588445,0.010684146915637443,0.33090641631249906,0.24012224353270015,5.894565084211096,0.042038698712615424,0.9459157732664023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,246.96478207861077,free_2_shared_support_Semantic_CMR,0.5869289632181984,0.25259539393592245,0.4557168029938484,0.8152857527704285,0.0170347876341026,0.28761232300284345,0.2892784126436503,0.3099217598883611,0.21648066603894023,96.78578855249728,0.014628116121545687,0.25501005285066913,0.2689708446129133,2.368135038427245,0.023382055865633466,6.473544885219854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
