subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,303.13210984693626,free_2_stop_probability_scale_Semantic_CMR,0.6846812941963676,0.25090174347245187,0.09858014303395762,0.780624229743374,0.4139208612102376,0.2918891386832688,0.6424653007122174,0.6740481582039735,87.21403065731691,0.0037654476653803393,0.020326444113647812,0.526662248765958,0.037510644728461884,8.044519416065949,0.5652202198267849,0.2578864025374292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,308.20104325790663,free_2_stop_probability_scale_Semantic_CMR,0.5746850806712251,0.6235560991084204,0.440023144784495,0.3913038533157818,0.8662784287270031,0.3236476523073255,0.7495925214423144,1.8803369550299465,71.17811706930806,0.015219159001422122,0.00280723792772003,0.3146341132546375,0.27472371277409025,7.310201155173286,0.314977007317398,1.49391589684741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.75479075383384,free_2_stop_probability_scale_Semantic_CMR,0.2741036758979783,0.1614203862714922,0.20589614658356875,0.7623430487819847,0.0036800014465993764,0.5911847413443432,0.18004497885245857,1.849911387920065,69.69355684075407,0.009503203516400834,0.015153121477756206,0.2939890961072124,0.19585198294069656,2.9208780331768396,0.4154807041508817,0.5082266586067168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.2097071315385,free_2_stop_probability_scale_Semantic_CMR,0.7472490407387987,0.08387493157321918,0.5987142375836796,0.8678963211313628,0.1511233390561797,0.465747933563001,0.5944010531251273,1.11979009460498,55.76620361863167,0.006807941772913273,0.013912919808889757,0.12261499498795381,0.09340304099152696,4.327698828864951,0.8037981661818813,0.19017322560620276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,243.60175546876297,free_2_stop_probability_scale_Semantic_CMR,0.9325081157682265,0.6366351112217736,0.7005463767277054,0.249563127144658,0.786732287542005,0.8232319234729941,0.4584070869206563,83.39017214641609,0.3442342629918258,0.005478117546244443,0.003696198224243885,0.42284578115645477,0.4400841486801106,1.257896198256312,0.08450218439369278,3.0912863820184144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,269.2129883542766,free_2_stop_probability_scale_Semantic_CMR,0.8866430601965427,0.4783873001173465,0.8090206005464583,0.9609030952503791,0.307487908761253,0.056604816250001855,0.5662858067194492,0.5608827515666377,84.19443463031251,0.005854435953447146,0.027029853038387786,0.3433872994988487,0.2166373367079597,4.163645440730632,0.36728324644673743,0.3476415749434585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,105.74411447851745,free_2_stop_probability_scale_Semantic_CMR,0.5022542906067498,0.3241061840712036,0.7692566717783543,0.6431739357926118,0.7583677005070099,0.7449733744515599,0.1743608247942614,13.644062441714347,1.115684011732995,0.042585226883056215,0.15627383193333716,0.5235338978107853,0.05461078507956518,3.3257913749272756,0.3257438238117706,1.0123676513661257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.38497625337442,free_2_stop_probability_scale_Semantic_CMR,0.5306583874768728,0.144695916167826,0.594536470908203,0.935509162938823,0.12488976814259428,0.1130940643982355,0.7864960518470733,0.30182397948848916,54.443804066455456,0.011592617478020428,0.007977137953474878,0.1970416588397299,0.1550722489107237,9.562668567663675,0.8105984860049277,0.5461264390714335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.06243712320727,free_2_stop_probability_scale_Semantic_CMR,0.7017300482403236,0.0026098038368022316,0.6109213777185253,0.9623405458193746,0.22463729489468448,0.8228814391215111,0.20809816018934157,5.298485668450693,60.92152242650824,0.003927291175250075,0.018594163114786247,0.47312694545505746,0.21294971098390944,4.257727371510083,0.013535453132540395,1.262444891437099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,247.02972082207953,free_2_stop_probability_scale_Semantic_CMR,0.998268090700641,0.09363683877203716,0.1318431027305076,0.877036221547211,0.05923403924227083,0.43186328920792816,0.8634652509268672,0.5596360867985268,61.54334323820861,0.03066554705423835,0.02597877468551385,0.11510520871870966,0.16422476540910047,1.9396047916649302,0.44567922138732696,9.130808636105101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
