subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_semantic_scale
1,8,302.5209794968365,free_3_delay_drift_rate_Semantic_CMR,0.7950536818208944,0.40648461157638704,0.2830186080184389,0.7905585887891603,0.48788549469962805,0.8686743451912284,0.37996196993043835,1.0339923822212853,57.97280469213621,0.006502664077273901,0.46749032988239136,0.07692873039033188,5.7016349731898766,9.432888045871822,0.26088484926593847,0.7347571250741881,0.16350204095846532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,311.05212128479934,free_3_delay_drift_rate_Semantic_CMR,0.6292424920217898,0.03631684339990682,0.29249353107875964,0.4178189780355806,0.7458061343891093,0.4833182365595266,0.9233117235683006,23.72218433702607,0.43997015157694364,0.00593958176509457,0.3726660234867101,0.25467363052660374,2.275366698907304,2.337562057647178,0.5663091647671082,0.6475988335568224,8.610942965600334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,335.2143641429643,free_3_delay_drift_rate_Semantic_CMR,0.2957689516451921,0.12441993105998689,0.42603506452680595,0.5758546194138959,0.1231201951345563,0.4761038141551317,0.32638865646049064,3.7086185278303176,57.1323483307253,0.0032422073918369487,0.36585321905639123,0.2971056930197289,1.6317604550439158,2.66269645585457,0.10537487874542723,0.24640551986589226,1.1322265516465437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.3566135606777,free_3_delay_drift_rate_Semantic_CMR,0.7465388273746059,0.19645602267105133,0.80616603002363,0.6067252363319346,0.24024718804558792,0.5088851737551354,0.8522299656477625,0.719211429030409,54.20833484284224,0.01250869764174889,0.09731731115734288,0.05698878940740393,4.761977459226914,8.541744767064944,0.3546817690682877,0.9478953248345579,0.18164348708675604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,243.5996414833603,free_3_delay_drift_rate_Semantic_CMR,0.8582853971088837,0.5660009434057949,0.8385400554730461,0.8487499559718782,0.12472641641597632,0.16270364316478272,0.2957706571167583,38.53998048585076,0.21445858802673615,0.030255356489750283,0.21438333016194086,0.19943818538595276,0.6858131640396702,1.5103394738627627,0.840766953725218,0.3159827000284247,1.37618680042112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,267.9387510680125,free_3_delay_drift_rate_Semantic_CMR,0.7668120788005351,0.10171891721789778,0.9817058887041972,0.9262239376683743,0.501299799222893,0.4829064005326357,0.0016630190124788946,0.05087557886980676,27.942271338324687,0.0049767628252457285,0.3897171719496324,0.33279021699782163,2.387418304812683,5.447259941982864,0.9844346907392977,0.14443064685522594,0.23602989047153677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,106.89665157337183,free_3_delay_drift_rate_Semantic_CMR,0.7071770803041978,0.23872849165264154,0.45904636569336776,0.9093526834803973,0.5461222646332667,0.5423588549164973,0.31888628882019643,21.716432286049038,0.6990856297061185,0.16034456601876784,0.2010358257426068,0.05291148455199668,2.5125863343627453,2.0130723128166315,0.26569199712263475,0.5704423417347781,1.4033624389710084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,252.62629355747595,free_3_delay_drift_rate_Semantic_CMR,0.5924621209418741,0.39520997944359315,0.7379698029624756,0.9001658390219831,0.12798222616391236,0.5610144993755108,0.5623423020473592,0.26513218218584456,29.439584498777428,0.03701549243430019,0.1149293688639128,0.02883449637769342,7.292240966350124,9.937345423660409,0.6505647409230675,0.6341367645960574,0.5087836822346343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.6791923461339,free_3_delay_drift_rate_Semantic_CMR,0.7928490793967454,0.06991065118930656,0.44968305343311477,0.9221583212705082,0.2251183621610922,0.5566096548961129,0.29680285746067536,2.040035937403154,53.51957654543573,0.0069017866341613,0.4043227510010228,0.31426951713859896,3.2609991443990833,3.618786743153957,0.021689680251941734,0.5283046674105064,1.433152393282549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,243.7652809934142,free_3_delay_drift_rate_Semantic_CMR,0.9650769854190154,0.7433708270126741,0.8047880331589624,0.8746322667923212,0.23349832826524108,0.6027618387477993,0.12995539665539763,2.1659620553916383,73.6659030811569,0.017696571301340447,0.207124090907981,0.22933652012913797,2.692189731373075,4.630025482209905,0.244929881525762,0.514826120018364,0.48603319368493736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,97.83282167738157,free_3_delay_drift_rate_Semantic_CMR,0.4042458645998619,0.02260255671663114,0.7618866525676357,0.9160749309284892,0.0030614166436124246,0.5544430416197238,0.63762080140055,0.07198835705888484,55.98418094479847,0.01333267284978823,0.4638951809186338,0.4052323495704293,8.888916167403938,9.579108714110799,0.9831808801103926,0.9923201888230403,1.8711922085693713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,213.93545254681308,free_3_delay_drift_rate_Semantic_CMR,0.9415288599345871,0.0018786500890889957,0.6957577220712838,0.796411150811687,0.2071854623393955,0.6545763551295045,0.0006458178327143904,46.14235049084052,0.8500939846066231,0.01340017080181588,0.44425844376019086,0.1971604403195597,2.5809695108246618,3.0573597984892804,0.031099103585574217,0.42882928079149063,1.6944007555940601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,300.94982467193523,free_3_delay_drift_rate_Semantic_CMR,0.7502522274112849,0.9438915809726293,0.7606720975106948,0.9838122304065111,0.777271144269158,0.37538547228450325,0.675500714893468,0.5837800364197764,36.12541422454309,0.003470999237002955,0.29760625400854523,0.2244426330073317,5.963669031953055,4.646205019074758,0.29645545943749807,0.6106728052510841,0.6524287393781653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,339.1019741229516,free_3_delay_drift_rate_Semantic_CMR,0.8843856510293777,0.00814968819373496,0.31459433409977955,0.886392772438078,0.3309379621890888,0.7830666966759897,0.8568311750699014,0.34493876545361957,60.806371067067765,0.0047743872738984505,0.367039702213777,0.1596249367848772,4.237778109326751,3.925527715105106,0.44941445323283846,0.5186025148681614,0.5433164709683584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.22114205630737,free_3_delay_drift_rate_Semantic_CMR,0.311124718821302,0.06092036739686024,0.1774631959378451,0.7736814060169861,0.07709006208379005,0.622599967652816,0.9880579581666168,1.8174402204443396,38.634373507190496,0.01958842678416639,0.24123087717182745,0.37427528341319327,3.0584127714412683,3.16047505783441,0.7193099052661257,0.4638992251166769,1.869340813586735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.98298192517535,free_3_delay_drift_rate_Semantic_CMR,0.8530910282646518,0.0938833211344095,0.21311146224008248,0.9808510745366158,0.29437540823731945,0.30240441820218533,0.48020573472699013,10.982729132215411,6.560495963906263,0.01150412589684846,0.24650689567950312,0.21511878009021324,3.4570061990647263,4.133505469602986,0.11291665423271652,0.4122952433417682,0.26230654722384816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.62043206109627,free_3_delay_drift_rate_Semantic_CMR,0.6560621660022323,0.09504349310471877,0.12678237134561599,0.38366607900087146,0.1850960966747347,0.8339370174738208,0.5307099243609341,0.7163330243034522,54.23740759976285,0.019309773484079806,0.22312054623176714,0.21990197420637525,3.590508313602344,4.27554424832215,0.5379217448645148,0.05232976964213509,0.8223054194670336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.0491470831937,free_3_delay_drift_rate_Semantic_CMR,0.5949260082542371,0.26583165263107505,0.634836644273405,0.7016882464434916,0.3612800969686219,0.2920391875113881,0.9273183825100098,2.392481505626267,35.09945593037802,0.009516095008524832,0.35372181024142124,0.20278161853823937,2.011556637680656,2.2259561114340074,0.010619210576743346,0.12277787674332488,2.6160569258908377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,267.9752440402127,free_3_delay_drift_rate_Semantic_CMR,0.8032391304239995,0.8188898401382319,0.40208477476990606,0.815976245385067,0.3672956711802425,0.23697025160870933,0.2811947357433563,0.27554308816520034,75.10487842240043,0.01820746135339335,0.14190189169900513,0.22152619419586372,2.7677774491564104,4.249803546386283,0.12689834389048843,0.7344053776153576,0.5958968754772984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,300.4173118005514,free_3_delay_drift_rate_Semantic_CMR,0.4531564845182787,0.13953099984936068,0.9589667069339914,0.9196477618199723,0.5858310153330496,0.563239234336733,0.6768191370841028,15.081135313504845,30.723012344686236,0.0011662762040548502,0.4526010438860606,0.4348374628598233,3.2375922512627664,3.6540640138538336,0.12278586874758463,0.32034431289762166,1.095689531479731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,271.02557402016413,free_3_delay_drift_rate_Semantic_CMR,0.6209581593193951,0.8486303754044913,0.5123394171052594,0.9874540403281544,0.0790564783725467,0.9655477211358202,0.10961333683769414,0.7750914978178898,5.016352010696053,0.020421381846556452,0.1987274447410705,0.15568011868044174,3.4400462746559946,2.7611923527332767,0.19144763198358972,0.08803869956939964,0.2060393934276039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,199.32294581153388,free_3_delay_drift_rate_Semantic_CMR,0.7452262577151123,0.07199056615833516,0.2845649597187123,0.3113404951235189,0.6547673997554797,0.8406973408076457,0.6980308631819582,12.940591686972247,41.87623549806689,0.011557674545693786,0.48138996634539843,0.3674812929381668,2.747587807279201,3.7698342423232054,0.0027933208564873135,0.07373379078214454,1.3617206235346435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.63477984322697,free_3_delay_drift_rate_Semantic_CMR,0.729773022092396,0.085595076612691,0.0020792637669854175,0.3572114124534129,0.06788828859679569,0.866905070930369,0.1708478660524267,0.3241226296990689,98.52281928527121,0.029494531304569027,0.4755800617338011,0.22869176926865986,2.2317793782152906,1.5159663562947152,0.2849198828470616,0.03488110972531855,0.3657977158392045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,251.8178293253506,free_3_delay_drift_rate_Semantic_CMR,0.4744420467801758,0.9749084703110498,0.5440630794073322,0.7904986155445562,0.9908225556171271,0.7498202025070114,0.33147571969003076,1.2673897290640639,47.85172139721419,0.002711870159474994,0.6034251606683574,0.32942879939526293,0.7192372655949546,3.9754786366966193,0.6655035888521441,0.36947490597238397,3.0405847377892066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,287.681435776596,free_3_delay_drift_rate_Semantic_CMR,0.8135342393407463,0.1849641880446884,0.7685518946744169,0.4609113998964638,0.07339455216415819,0.39662716581271723,0.6090122169296045,0.9906807146143919,38.251942128236664,0.0022945153166579746,0.4561257509664651,0.30641191236956367,2.3635789465846435,2.5566067760308147,0.07302767645914626,0.5774693636063396,1.539524296070185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,336.8562113846529,free_3_delay_drift_rate_Semantic_CMR,0.7575540760725226,0.4131369171689104,0.9042781134483568,0.8485564061502975,0.6907491970928353,0.9081977574921796,0.9425657992873879,2.649140749992263,13.102421063864753,0.002002916167498092,0.301933310748435,0.22819086648380082,8.110082561467424,8.225314033221487,0.5415129846793851,0.02630112393278561,0.9005887482667516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,256.44671491444166,free_3_delay_drift_rate_Semantic_CMR,0.8001671862190998,0.8369990202877711,0.9237584676422541,0.7371039227892335,0.3051887148235415,0.6307114440161761,0.401462406997132,0.5920547945746435,64.07579925513708,0.009236247511721307,0.35520076684902335,0.13014322778136656,2.855532422803612,8.83729876118127,0.20718180334624736,0.8784553326137734,0.06389458660326852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,251.1655657017698,free_3_delay_drift_rate_Semantic_CMR,0.8449850278924227,0.0006003017493206309,0.13800063226597076,0.6027660069531264,0.20712863272245674,0.5618977484042632,0.5586318899592273,2.007671299495435,77.54849279732565,0.012237159731542768,0.312981129266368,0.204676564332388,2.8600574716075937,4.590379025762718,0.0064944122702547125,0.19285385006285066,0.6509410152774313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,263.7605056993689,free_3_delay_drift_rate_Semantic_CMR,0.7750216037622296,0.5632644551930635,0.32149392130560006,0.4990750917135781,0.5813328488302935,0.3331886675785637,0.5083857117460688,3.813672703655243,15.925006409616671,0.01067780923267514,0.27707863327421034,0.2702226057851762,3.9493090322909903,3.306894862935652,0.6041990883999411,0.34255933968433017,2.331425493534307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,269.95774997897416,free_3_delay_drift_rate_Semantic_CMR,0.5763783055614853,0.2796150801649654,0.021579722169283,0.3993548905992193,0.4019516139887592,0.2654745380906479,0.5372261401892768,0.5700774261461348,97.51826816540792,0.0026372853404577623,0.418529445764384,0.4782630914665571,4.442301856673261,4.6916040556025855,0.609635461513991,0.3808888066554387,1.114748497362326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
