subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,300.0346937484943,free_3_encoding_drift_rate_Semantic_CMR,0.3959786297045094,0.6671736962536404,0.2799139020103371,0.2062190875837221,0.7080916591785776,0.32425669016402836,0.17115683020304812,0.6298333753088319,0.7308631480676695,89.62525551555785,0.0006668801684713288,0.6899651003930334,0.23907524068081365,8.667407594290387,8.563041208379916,0.5501265729227057,0.2308238812371597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.07660063664423,free_3_encoding_drift_rate_Semantic_CMR,0.5955083959792835,0.7662545389885086,0.2856618900638661,0.3737269481193407,0.4567550024819522,0.645339806127037,0.4750505304093466,0.9592389040569975,7.094232536716454,39.204471708111356,0.0040074248733894535,0.38808145781551584,0.2596018905587707,5.11117700562743,3.1458181718274574,0.536498539260689,2.4864928720055945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,330.3180419108967,free_3_encoding_drift_rate_Semantic_CMR,0.3739854960512499,0.5071557552517333,0.09889487922581436,0.2870373435235244,0.4863732654720835,0.646219496797187,0.009048618600809522,0.9352546079981157,1.3439909685745022,45.30106846747335,0.004899906398345366,0.38071061031431697,0.30026183826001684,8.998096000271463,8.215398462163005,0.3752036781722571,0.39972044457177525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,412.8469005429493,free_3_encoding_drift_rate_Semantic_CMR,0.7647449087259539,0.7072768367338352,0.06852467270522444,0.7393371493847352,0.8128809474376013,0.2135893825095852,0.11965896162564121,0.7513209764135133,1.3189456451346047,51.368833528293635,0.00272939073988554,0.20023998753418315,0.16557838796962976,5.4732383052922815,5.109617062918996,0.9287425702125762,0.10266898998557217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,244.1590896259045,free_3_encoding_drift_rate_Semantic_CMR,0.9787325973232623,0.49258145771185646,0.098517217239936,0.5408907884005719,0.9249802077847475,0.9880073885023036,0.6170049205343362,0.3702622637390228,54.18941670315299,1.7288872296921127,0.04099862468429849,0.12436821907533968,0.1943191699837845,0.613374682159944,3.3123274976428085,0.1843154521201657,1.8641928187524401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,271.62120694800063,free_3_encoding_drift_rate_Semantic_CMR,0.3086350668223118,0.9876290035324993,0.1693707635766028,0.6002927376724753,0.655647755705488,0.26720377898942876,0.7161863125873774,0.6137871101453646,1.7409805065203856,80.50514130280126,0.0076623568997363535,0.3420477706346694,0.26366907084914254,2.242264651363825,2.7300661972167877,0.08684457876887289,2.1434732754576635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.0308658815655,free_3_encoding_drift_rate_Semantic_CMR,0.3853270329223215,0.6269070237923389,0.16184461083675583,0.40737611867594936,0.28747335653237094,0.7294756444043892,0.18148229724924675,0.3151193608303393,18.212721448437406,0.9743459083013377,0.07644520076569083,0.3844859428475145,0.09425795312259666,4.9285132958553195,2.5916089817573473,0.9844424466851099,2.3789055393756353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,243.704332805508,free_3_encoding_drift_rate_Semantic_CMR,0.8242803380146195,0.48454428253900456,0.18657999598246933,0.7408381350212557,0.9536770124085214,0.11325435021753871,0.3467744190089203,0.6414205595752989,0.14788089344577315,85.91337218964713,0.011054934888151569,0.1891965183125297,0.1252296013278933,5.897856482629479,9.976143644780073,0.7390100634504687,0.48128960035040524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.58943559429252,free_3_encoding_drift_rate_Semantic_CMR,0.7557326432594162,0.6036658161666205,0.00797257349238123,0.2384428129174746,0.7312711905520964,0.08782481498988237,0.7484078778557662,0.7752117624235361,1.2904152863416272,36.18836739958258,0.006364040489062972,0.3874203031517105,0.32471539650913517,3.1038185825702214,3.8394946360123483,0.10203701011441652,4.0684668669097555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,241.73923221240233,free_3_encoding_drift_rate_Semantic_CMR,0.9736243386653783,0.9386153706201422,0.46337428354346727,0.5089697941113223,0.9368402066006036,0.6823415633788311,0.6444615255922868,0.6350587066455315,0.520956972146962,64.33368605064102,0.00795489859764087,0.31905325628715087,0.31900379919209687,6.481144936078788,5.947580509462296,0.3495809173146291,0.6911415723664964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,99.25258233206657,free_3_encoding_drift_rate_Semantic_CMR,0.3598573264478624,0.4748767366124089,0.0989580598750221,0.3619221273872819,0.8777846651566092,0.013763447727027978,0.3679829935364775,0.5894663315317489,0.24913679705362313,56.63265464600875,0.010753250083313404,0.489693277133985,0.4827960816643584,9.579203126129109,9.767980819101062,0.9529287451407381,2.0262026269114983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,214.03401601945734,free_3_encoding_drift_rate_Semantic_CMR,0.996975347242669,0.8307950013104786,0.27172933587546544,0.791289150667633,0.9975749554136457,0.6713120780939182,0.7059116053304407,0.4940250656311894,45.43760584552638,0.5694894725210702,0.002990421508671459,0.6265651177440956,0.35564432954423,3.3197335408085475,3.1836074184362233,0.0026514340606109688,2.975389075702024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,302.6319433964835,free_3_encoding_drift_rate_Semantic_CMR,0.37249277843621514,0.9655861567532918,0.7311951265714374,0.40965506031728455,0.9633656051862458,0.9191843026464135,0.6061382223013819,0.9482947554023371,3.308653023696067,0.40102333425909364,0.033277411446141325,0.08408335344558182,0.08901724343720296,5.311555129499714,2.264709896098729,0.3675401012599406,3.074155168271492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,345.25149587243277,free_3_encoding_drift_rate_Semantic_CMR,0.9991433674021678,0.542889734640724,0.17350977695144182,0.619110498460006,0.6496198601133631,0.9244300604824496,0.6062121090794381,0.7811397901389832,5.312289773665661,46.51145574416889,0.00033942111867590885,0.5741208242329305,0.3955627390122576,1.9784971954628858,3.6550555923345005,0.19531452342551436,5.767687690786212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,174.9081642836488,free_3_encoding_drift_rate_Semantic_CMR,0.6594804963074304,0.44183476717259496,0.07401979152122129,0.5170540156805409,0.7465744892500328,0.5808382026494692,0.5402016743249503,0.7666837443884681,3.2285093456181713,44.20194147729871,0.022335437289289606,0.2817080428107097,0.36613830890723875,4.905050196754424,7.634076746437961,0.19213188489668964,1.1848970469154771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,270.2471863440522,free_3_encoding_drift_rate_Semantic_CMR,0.5679012419796023,0.8235475190352586,0.09631760707542136,0.620276653467493,0.8963671112931371,0.4569047268458489,0.41519815333110527,0.11206746991207012,13.106861736025003,68.79019959930281,0.001922710206524958,0.4419197812233975,0.3044077623736037,5.987926585804494,6.318160380737776,0.044956243078365044,0.26804124556535225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.1401164367748,free_3_encoding_drift_rate_Semantic_CMR,0.5555677747700963,0.9172054465360624,0.10094556790354586,0.5133592880291009,0.2793655509633161,0.47800296546524457,0.7522096025610955,0.5638155704316693,2.709782711890284,44.69215015362246,0.02364917357328178,0.1933875745499396,0.17876112150115997,8.580283112752188,6.108236617572388,0.3527145328625499,0.5171044850040509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,265.8533295692064,free_3_encoding_drift_rate_Semantic_CMR,0.6239180751036364,0.5837662290322905,0.1708930852975229,0.4745816028452275,0.8604287388416627,0.4987660091896886,0.20326446881682514,0.6366662953048867,3.0989955724464764,76.94929341898947,0.02924627358952092,0.25978262491868076,0.1751290436217099,3.4991765228260623,4.301848447394915,0.4585408394776059,0.41784039728058353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,270.1743382187438,free_3_encoding_drift_rate_Semantic_CMR,0.4706302542276594,0.7798780691500229,0.22554160866476475,0.20011653204492175,0.7079203536750526,0.40346501870494955,0.546842504185518,0.6679109599827555,4.8263508154575945,0.005374634969044223,0.019795276003968965,0.20890360120040175,0.1669217644006631,2.55692652570527,1.5080051823719836,0.4572285399438139,6.661815860171822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.86518625673125,free_3_encoding_drift_rate_Semantic_CMR,0.8816199707848003,0.5336756984759323,0.1967371586409118,0.22907626673931258,0.6323008695040067,0.40818084550466166,0.580418085507905,0.8642695564124885,5.999911513990142,65.43356965522284,0.0003050852323708275,0.5652090836542687,0.5579699607588822,3.1760786363138838,5.17538245472294,0.0708631448783798,0.5041811255837239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,273.19571824941005,free_3_encoding_drift_rate_Semantic_CMR,0.6963647110071919,0.7827077972640903,0.7183009982156,0.7232495059995258,0.9990896530803595,0.01753587183655081,0.15962501890601288,0.3292299287135916,2.3224098516680414,77.38855418810928,0.007696778465553444,0.24872602536033206,0.17041725390314877,2.4365769310993546,1.910130980474169,0.15762810713770586,0.21597057119125385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,199.23577830152902,free_3_encoding_drift_rate_Semantic_CMR,0.8173505657468594,0.9291770315269812,0.08554141570895074,0.4747851837198984,0.24462417839347805,0.37658736068106274,0.6067165403081554,0.9232790632404573,31.644197802753226,38.860236655616646,0.00518992396359913,0.6179364305805919,0.4468614547176042,1.3480689920084248,2.1494564366545097,0.021222189250100276,0.7742352383968054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.35213960047668,free_3_encoding_drift_rate_Semantic_CMR,0.9169668682483276,0.5935710047031815,0.2046543188259008,0.19483789033154308,0.385160466799688,0.44902557942240007,0.8987584633065837,0.3961313732500104,0.5927492187161008,47.69268031791156,0.023119557489275966,0.4701788415232242,0.2549125988262704,3.9673960341183316,4.8870030070487624,0.09154334996269292,0.03030398626011266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,252.33166562081078,free_3_encoding_drift_rate_Semantic_CMR,0.2894245461731112,0.5368966116566961,0.4639163433663968,0.0357161860950167,0.9341706396074085,0.859969100550618,0.10221744597382937,0.877577727330038,0.7750619306199056,54.26277649003386,0.0038877422963448094,0.5586391862196782,0.311612413958259,2.1860528029856052,4.037053673394518,0.298928333075267,1.7700430418423627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,286.56533070539956,free_3_encoding_drift_rate_Semantic_CMR,0.6553422311614278,0.570705315959313,0.0016967757009294523,0.40885027385952116,0.8718284063937816,0.6494053563167483,0.9730474258828007,0.6290950441123779,2.68966626335584,33.36439141401296,0.002165699272439228,0.4653486271285826,0.3298601447814544,5.2042766408506305,5.512668497740745,0.011768818162413004,1.551470659441958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,337.3319819701393,free_3_encoding_drift_rate_Semantic_CMR,0.6728588777949552,0.8181460580897055,0.21024643588057906,0.8434255452782311,0.9192931842228107,0.5060699405581819,0.2633341697202525,0.9041108953555304,3.5424467981708787,40.254936470196476,0.006489559668617473,0.24366371654796293,0.16082369197935176,8.479548932391591,7.027080039170201,0.29022097851583684,0.7158823150129763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,257.73373523613185,free_3_encoding_drift_rate_Semantic_CMR,0.8470313321519232,0.6986754474702714,0.7678913831037176,0.7106574967531771,0.7684872354179002,0.23005808726653765,0.31106121803055053,0.4606221951507677,0.5026386733970156,49.01159032382149,0.022331602157882324,0.1878385334805346,0.05971809487180302,4.4367888395150885,6.986856530304593,0.8739121560293694,0.11636206670805471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,250.18424736896958,free_3_encoding_drift_rate_Semantic_CMR,0.746916382211129,0.9298391644148176,0.11519175059760084,0.31718438797723114,0.9396714439722653,0.22729133677771307,0.7520889305075512,0.7620484987770242,1.0823179895140242,92.50624526762815,0.0125420743869894,0.2973053305314872,0.2010684257857145,3.3450250715584784,3.2358964183021044,0.06586706903545647,0.3626479385973127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,263.0972212794082,free_3_encoding_drift_rate_Semantic_CMR,0.26295551273932705,0.6609838217274758,0.177600554553265,0.8890224579403536,0.5273898456427197,0.39936249235337135,0.26154034076788846,0.592397230515498,8.649557599400467,57.86447682875752,0.0022705104666455034,0.3968661336916188,0.4313260749836223,3.0050832762291364,2.950347034955882,0.03906801238119051,3.5287032046419595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.8596363962663,free_3_encoding_drift_rate_Semantic_CMR,0.1297253462309566,0.3132237492994787,0.08566163190901083,0.37846243985024636,0.5487003981281515,0.20341439048289844,0.9947482528380661,0.46289972319929096,0.3483861381639315,43.2017912587889,0.0037430391225254933,0.35458235787120174,0.47085273849081144,2.2197596022245367,3.2401987368033174,0.7045218050200217,2.6042726824774176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.21174967630668,free_3_encoding_drift_rate_Semantic_CMR,0.4780048116815705,0.4462086524718275,0.1323772427190893,0.06389143189820073,0.2938414312641675,0.027147378387593235,0.8324567886049519,0.8441051078207307,1.4341127744990558,69.27166428614854,0.004929060023419474,0.4563544546479896,0.4010611662237391,1.8463915820370804,3.0988695758819818,0.24814320825149228,0.47478695904429014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,312.9178950755123,free_3_encoding_drift_rate_Semantic_CMR,0.8674294582489077,0.8011485181879685,0.11654358649316215,0.8006930376081401,0.8183584543221396,0.46724362597260205,0.12667486058684418,0.5793823544616234,1.1332400475998838,14.957357784202785,0.005981330486879766,0.30348879671093165,0.1985751473245383,3.882990440881745,6.508833677385038,0.5130321093363792,0.8485694582447181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.81468691119477,free_3_encoding_drift_rate_Semantic_CMR,0.4324540013095859,0.7764453399911008,0.26891848700292487,0.14737975183324287,0.7583552431504178,0.17876574094293712,0.5510293540886038,0.41136978400894153,0.4584095935233563,3.81731910321723,0.005426087688424175,0.5416078028561451,0.531713020434843,5.427288704138923,2.564496679015897,0.2640028873641605,0.07091359155241506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,271.6131994488154,free_3_encoding_drift_rate_Semantic_CMR,0.35322300562946213,0.8935724000802845,0.35095006486427577,0.4581428481830299,0.969766765765907,0.7660341308286284,0.24091699323918447,0.059515678451519616,52.407752957754525,0.3746516119281367,0.01916663552811959,0.3031919475262992,0.18362974749350958,1.2855463121682362,3.125953864937787,0.6704581825021356,3.7191673176785764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.5865350333743,free_3_encoding_drift_rate_Semantic_CMR,0.9593257798691932,0.5489586265793812,0.07506536315357232,0.3582749864672517,0.3067504598848395,0.08535902119795125,0.43281457551123825,0.4748950619792179,13.957761744017972,23.77268783278039,0.007933280143441468,0.41460475442025313,0.39263541565086424,1.4612261009134917,1.834991103536841,0.5065537595560079,3.7095987210179704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,356.2314667800625,free_3_encoding_drift_rate_Semantic_CMR,0.9848800124050595,0.5143555710079442,0.38623797684692696,0.9285747601303755,0.9760929075604786,0.5148952064875472,0.04723628734077068,0.7933102922737564,3.357229049025321,74.92641055735989,0.0019498799502990494,0.305035822767433,0.28017846850161643,2.2397760318049666,6.110939556056907,0.05272860028154114,0.8596309063597278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,278.00514435307156,free_3_encoding_drift_rate_Semantic_CMR,0.7989769126174947,0.836443631935067,0.9377169288435243,0.8595110466647184,0.9689534067628648,0.13888351575420044,0.6020014030757062,0.511671057195176,0.20973252359326722,62.30553849758862,0.010330891393261432,0.2080265934030976,0.23630577168588918,3.628062233993032,3.2435257922847747,0.5256059825367565,0.20895209431723405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,225.42915255463907,free_3_encoding_drift_rate_Semantic_CMR,0.6031693844037743,0.8184496276613895,0.14410610748056413,0.1470750259604448,0.9437129935740547,0.37676964068500185,0.6115837313286347,0.511351484971164,5.333795078454585,75.80566575826073,0.02743686995219069,0.1710094693262718,0.1268689578455433,9.026029283674362,5.830216701226323,0.7675739984437048,1.2701385322777137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,212.05740747965575,free_3_encoding_drift_rate_Semantic_CMR,0.6668038385178191,0.5001664246564077,0.026999116322410033,0.6058911111086682,0.4763529805583122,0.013881770626547107,0.9864017674937676,0.975310718601305,13.666755517497023,44.73544063883328,0.021481492615779252,0.3592864983731783,0.21853721061341602,1.4956537583785483,3.251275443541383,0.011952897441401544,2.1383796731642315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,116.33633556979865,free_3_encoding_drift_rate_Semantic_CMR,0.4533476176775422,0.7583172837421137,0.02404740456322574,0.9838651370069713,0.1397617668087252,0.01044689920165065,0.7732336025405685,0.7863095198378578,2.6400796513094207,56.79546037699886,0.03598300717120084,0.46767492259106724,0.3608297490824439,3.0592635142252367,1.2620496180166425,0.17836089936175598,0.08976854688209457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,214.4195839656258,free_3_encoding_drift_rate_Semantic_CMR,0.3712890412864588,0.9586126478622625,0.5430911519171814,0.7894628702860694,0.9909210744872028,0.7185128940207155,0.9114981019350281,0.5166202802645024,2.1911209654184063,95.04567603142948,0.01461715725460877,0.339426845677437,0.2776457145762192,5.5444449997976,3.9097709638213507,0.3938748704635568,1.0971577383221227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,301.7216732160234,free_3_encoding_drift_rate_Semantic_CMR,0.6768404967613117,0.8489761542605723,0.09283291282184175,0.24142413451917644,0.5061207425084625,0.5846086757123575,0.9182291862218366,0.9044650939059133,4.513157093021761,82.32936739206815,0.0015579126348798655,0.3928891051179155,0.40803049392617474,7.572487173861821,6.4821930599866215,0.19391121984166376,0.6447029496921726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,304.2005455859648,free_3_encoding_drift_rate_Semantic_CMR,0.7603874563480743,0.7046085075694669,0.10530282625162707,0.2529639165267802,0.688958453026513,0.044341070661844784,0.44794952446814645,0.5368539362624956,3.070190038244725,52.53103339918221,0.003512311440373894,0.441949496623538,0.1605897850706821,2.539252174688775,2.7385146895753576,0.17713092412559284,0.22171479433899766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,226.3845709584716,free_3_encoding_drift_rate_Semantic_CMR,0.620640708850918,0.6344133066212247,0.0886153303967065,0.03091818429108334,0.8967437872927246,0.017802844619535463,0.5776098888680966,0.8584419316831831,1.266642963298267,51.10080250124642,0.017137737082442928,0.28909254926586225,0.26188377364669524,2.8019509052097047,2.2184830074577917,0.2099206480694013,0.5056798542802579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,182.6103229092073,free_3_encoding_drift_rate_Semantic_CMR,0.5411571363912637,0.9353694656129854,0.06613746910649626,0.866772083816552,0.6662263599307153,0.026921429038869293,0.8915711127751698,0.9455805651761798,9.920644289053506,13.624142483503952,0.033213762026032434,0.4422873547349626,0.1670253415718923,2.112852097346117,1.3076090314270217,0.1488948472610115,0.6256604173839815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,307.54492848978305,free_3_encoding_drift_rate_Semantic_CMR,0.7516955192193279,0.6707604833004218,0.34770726067232066,0.4258192376309303,0.9125340862999047,0.3978892594862828,0.5073043521880306,0.23650902484009173,0.39998324971775645,42.832191855749855,0.0023695435907528095,0.31370824077021986,0.31449584314613155,5.49662777976594,2.9830188369482697,0.5806786824257134,0.88336500149226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
