subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,301.2700696416871,free_3_item_support_Semantic_CMR,0.8044952462745716,0.3001887041278887,0.7362631314565871,0.8292990224592627,0.512975845329199,0.414194746065088,0.3060890479069622,0.35522915616280526,3.4684355759238445,0.9691574889858102,0.004557367329103656,0.5430004088919487,0.1361974990371341,4.4948961493871815,8.059741675211304,0.05867628742711143,0.11865177349585872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,308.1505633401755,free_3_item_support_Semantic_CMR,0.7194444535066669,0.04285901945100057,0.5192810635386902,0.3120264152515838,0.8950783989282953,0.13071648985639261,0.7967485563502945,0.5204259406082155,9.73420466819789,50.89571261585938,0.003373431737896615,0.4180867441074616,0.2880230230450609,5.887835173641463,6.759393043060929,0.6027638971608851,1.1813792146897262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.1354524082702,free_3_item_support_Semantic_CMR,0.518898779162224,0.1733912921181576,0.1744378734320419,0.5578852192660135,0.4821568383990692,0.5972193534876813,0.8478401480889413,0.7516709690178941,1.4008716075922578,70.16813271457053,0.0029311941329770615,0.42727501836818543,0.3834039853407092,2.975538597932211,3.019220796855655,0.4298538105049022,1.442167045119747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,412.32627832305263,free_3_item_support_Semantic_CMR,0.7682643883104922,0.3884698001807239,0.5854976120646721,0.761871940704378,0.39709929757414364,0.9666199081019877,0.1533264842724733,0.8987053178844764,0.4583017238692193,39.85138168023185,0.0030944976065959695,0.22750228273859552,0.13523199216477977,8.316361911914878,7.812431590445639,0.8913242949442999,0.20006578279022502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,234.6417288465652,free_3_item_support_Semantic_CMR,0.6001099349988936,0.5941653896369283,0.8726551254612681,0.5907075738774199,0.6579046353457391,0.026254733245569744,0.26652462777149727,0.9475985747619267,3.5500707287815763,1.033087419680175,0.011756588186567168,0.31918845078546587,0.37084575929741315,4.689225481914009,6.419168408371622,0.109119977023786,0.2133574033891071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,270.6797906727965,free_3_item_support_Semantic_CMR,0.8539325526007557,0.10268920011592142,0.6217001580282397,0.5612960564748658,0.6958767060918271,0.5389122273428003,0.8434674405888986,0.7336492900948637,8.065380064561344,75.74898555809106,0.0012229437292699719,0.5250255924889453,0.4099803265947805,1.8352794681364148,4.491974400939684,0.012566365042219224,2.5174667874256436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.35424618401305,free_3_item_support_Semantic_CMR,0.5596506217818523,0.0074020328795516566,0.3333382519182232,0.8022717123852049,0.39121840894390175,0.7391235062394994,0.46951544862712347,0.6152385066295476,90.8095027450614,28.72150914520983,0.03438649642076974,0.5466416164052355,0.3480671257536363,2.6902570394195675,1.2475347274633752,0.4285953841050597,8.847697043990083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,247.26815055992066,free_3_item_support_Semantic_CMR,0.5313382668948637,0.18457207354463662,0.738110584793246,0.9380230318513816,0.06157771644508481,0.1220500759203143,0.38029320132245,0.6504582470219837,0.16683921891937814,48.2713902141496,0.01170691138797747,0.19806449823342653,0.14476437177937296,7.001532631169237,9.193422718381166,0.809774663170115,0.5581273069214614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.36511356253848,free_3_item_support_Semantic_CMR,0.6616214021216286,0.018313814550479424,0.32531682473265844,0.9209441720373519,0.38503660600260786,0.5596974739211612,0.6040469477546142,0.32229343938025645,1.3230893146893834,53.299630566662,0.014399173451298874,0.33328460152864725,0.23543866711332306,5.512068362405015,5.418598524175601,0.03540462234235042,0.9103158732056507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.38388586928738,free_3_item_support_Semantic_CMR,0.7127278263349515,0.24546522164723328,0.40870508012491924,0.8225212124291292,0.05381631081074478,0.8889493597495226,0.023043395664202937,0.5077958050296036,0.558991320866312,80.46025215283484,0.020846985091944104,0.2060657076721153,0.1658090905836236,2.4885010016097464,4.3337347908850905,0.7093048923643662,1.5170536691146541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,97.19342649211848,free_3_item_support_Semantic_CMR,0.44684399379779033,0.06639583098208979,0.7680851020899835,0.9066393305872114,0.009613383369204809,0.18854435287845323,0.39896289704842597,0.6836877725792585,0.15515470016226374,7.653884932071364,0.009286847915623953,0.514700942771082,0.5110167938284169,9.960295402784087,9.87596193237669,0.9174968077331696,1.7330667448425405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
