subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,302.95833150518786,free_3_start_drift_rate_Semantic_CMR,0.8129041011339186,0.07382217740100255,0.5280433278754257,0.9160927827949001,0.8041396888085433,0.16337685117013584,0.5393766380341902,0.44408687272569203,1.7063944628608994,33.73752958666235,0.011775663369962441,0.36945559049950205,0.06912405619032036,2.7951631759235704,5.058460532028253,0.7750270219168867,0.10469546127377427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,308.2461647371006,free_3_start_drift_rate_Semantic_CMR,0.4098928718417259,0.7288462195440891,0.4839425382157509,0.7908254639819544,0.9941022439412683,0.44474722337905725,0.1143439125343923,0.6209215231173206,1.4125151255335595,15.417519650071007,0.004367088005467756,0.4048068558246598,0.20368032125269853,8.02720800575207,4.165281782623108,0.8599907278649852,0.5907708089170045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.33733055809097,free_3_start_drift_rate_Semantic_CMR,0.45777758746111297,0.4034016695867694,0.3062495213309435,0.032655824505765096,0.8581588216757958,0.23320295691170567,0.1643861756008544,0.18210642926144732,0.8669580260468237,61.231919428843405,0.0027789840862700865,0.41262965393921114,0.3186478430946229,2.2727981868457476,1.8172881798078766,0.5302943184284634,0.7341227077603394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.24629835640803,free_3_start_drift_rate_Semantic_CMR,0.7822090973437643,0.04392773306572617,0.08184816547668056,0.6568963618842202,0.7051071158961861,0.21206712548186052,0.2901746385504389,0.5855978512360404,1.98925428298449,38.53377775496098,0.009932969534504177,0.13574670068755523,0.1001320958870382,4.479087460232811,6.1349178682976415,0.7865593018177935,0.1959239667096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.9970263709717,free_3_start_drift_rate_Semantic_CMR,0.6594799164841156,0.13295052695009646,0.10567265046044766,0.9704418086726809,0.9863684407639166,0.6060159994959807,0.41697417296999556,0.592817905682024,16.70116111243091,0.9536117340863157,0.005158167872526154,0.4290769945482875,0.4079243525952023,2.006009089388691,3.0913419608147086,0.5994997403576876,0.20578461150832794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,271.68904381383743,free_3_start_drift_rate_Semantic_CMR,0.7362940860876085,0.7044136383547366,0.10685350669892507,0.8387845818897688,0.3749711237370205,0.16359998762247568,0.11627738081967803,0.25114084724404373,1.6367945762509208,14.390668528353707,0.010617576197061884,0.26691953090216636,0.24733649034895677,1.5902823093343876,3.661032817595553,0.35116226002751155,0.9778039868225799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.09476621808616,free_3_start_drift_rate_Semantic_CMR,0.3584459036418933,0.7516430478262172,0.2874138374373738,0.42336882057552505,0.8864466430137967,0.4278534890611466,0.7708673215299574,0.13552891206272605,5.8969784595600885,0.6214562459895845,0.1103061503032029,0.3371940309155983,0.1255860142474523,2.98264237619458,4.0267489016297695,0.4600607670393497,1.397289463204273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.94567479688516,free_3_start_drift_rate_Semantic_CMR,0.5572156593989712,0.4432022926016437,0.10837955431959168,0.7489816565542019,0.9724479057828432,0.15250536347355287,0.31276344618914076,0.7169761288138983,0.07561485786300182,50.74334723757751,0.008285770443680895,0.20253554720734623,0.13800907347081903,8.55063065144629,9.722782380359474,0.5623016439979043,0.5814210745603603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.04370617446705,free_3_start_drift_rate_Semantic_CMR,0.7169601806260528,0.09492051602433665,0.10565553194056909,0.19828814627893232,0.8757747432672225,0.035971363527177946,0.6350739432374011,0.16880761268605277,0.9296383437259053,76.4704726358847,0.006095112678520254,0.4181282571617455,0.2993401472655366,3.5266495352195593,3.9214545932203357,0.3783211125068094,0.9108634027170792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.05798531200583,free_3_start_drift_rate_Semantic_CMR,0.9495358182484682,0.5099101263341476,0.35704647494583897,0.8796745235193513,0.9965735944679591,0.25788626947876364,0.7864191635517245,0.3111988615461131,3.86610199240873,26.61256646016571,0.019275491045829873,0.2355243264766198,0.2087963737633478,1.9083371330513161,3.5173702412380625,0.5946982323489057,0.6469129591245295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
