subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_delay_drift_rate,1_semantic_scale
1,8,304.4066683502808,free_3_stop_probability_scale_Semantic_CMR,0.6832040155722233,0.3880953282803567,0.1257248870211915,0.7593438685077243,0.45353503866679556,0.6903172890349429,0.6022570150641324,0.5401621828430336,16.18260215100001,0.011106820817689989,0.03311270139914557,0.3833775178978316,0.027991386944153263,6.26324354983946,9.717858779526251,0.4164984411608579,0.27748742153807804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,311.1563138576428,free_3_stop_probability_scale_Semantic_CMR,0.6624647010609784,0.6004414981112152,0.6675963645712305,0.16524346372770346,0.938707707810485,0.20168365633175617,0.7703466940407918,2.1872794379884293,19.99246173412546,0.004030605332502869,0.02145480906880903,0.3861932498511233,0.15569876335437263,5.2708983964786515,5.625949801868748,0.4531217438459859,1.6381378195073513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.29771971504056,free_3_stop_probability_scale_Semantic_CMR,0.22207580268163302,0.42630923610725635,0.41130445426717654,0.05592161033194609,0.09303828326562996,0.592645317116153,0.25531737155965967,0.8020861682972154,36.35824062282127,0.0009210683565190059,0.015509471984485323,0.46476060885189163,0.22824420869768414,5.1021996648904775,4.300467167346006,0.47551817388024,0.3812130658334789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.58213669052793,free_3_stop_probability_scale_Semantic_CMR,0.797988307810619,0.1969403789456895,0.6844340286607057,0.8157047178722723,0.28275693096196675,0.19554057803156055,0.7910512636586678,0.7972625406604479,29.08675862457549,0.003662943790846529,0.029708805445330055,0.16691602631214675,0.06058150554567465,6.781742990707432,7.4793292707958,0.8568745274222394,0.10258027546393578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,232.2203841579843,free_3_stop_probability_scale_Semantic_CMR,0.870854197480615,0.22512780443759117,0.9527898556764693,0.975234271843654,0.9474376980145887,0.1872231558308916,0.5873524791555423,43.62131252780578,0.8688700869501531,0.039875452604717754,0.0017025372495418911,0.1785070117941343,0.5494491288893038,2.1637355479207687,3.5069040389138175,0.3501102515916739,0.720387818286401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,270.4885641612949,free_3_stop_probability_scale_Semantic_CMR,0.8875033864892521,0.12413005180782716,0.7128883648010014,0.6239095129140686,0.4794537112470876,0.7554341586512823,0.1424895407719991,1.7385666150426218,0.03216109979843651,0.01729720902687165,0.028792691428429218,0.21040519655292922,0.1322197418203599,1.7660554907341064,6.075002832640848,0.47034080999073885,0.6275895114947092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.93083870350557,free_3_stop_probability_scale_Semantic_CMR,0.3588982299651938,0.2973720310973976,0.43860190509428454,0.7865308558958274,0.2921384015194728,0.756591226601397,0.21212523794700255,40.66423690558963,1.238019284534431,0.0321919256043911,0.12230397386317543,0.49201536584704453,0.13368179209439646,1.5121840546257004,1.3262617537176267,0.7794062542612478,5.508930690264192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,253.8274059899457,free_3_stop_probability_scale_Semantic_CMR,0.5515129021427067,0.25615595224814464,0.9670257870152226,0.9152718243587685,0.11071983801762592,0.5233887443643966,0.45083674362386705,0.47313234178126606,39.791154018520366,0.031502195797148747,0.04297612413879082,0.14118781358747334,0.04166696321384489,4.7936951789207125,9.356232883527564,0.5592930771758992,0.48456821379352455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.39388207592162,free_3_stop_probability_scale_Semantic_CMR,0.7467038577432358,0.08170468979338397,0.48485787216343224,0.7720865551182602,0.3423177232978173,0.3853436901430934,0.23547505732795548,1.44636664053629,15.337344191489152,0.014730325103304742,0.0063475929959671,0.3030415612623196,0.27967285422822563,5.084469643849248,5.360599208654553,0.08546400747237903,0.976131633990355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.74682858357323,free_3_stop_probability_scale_Semantic_CMR,0.5790901214360373,0.0030666268912458716,0.30373889986016467,0.9960655818654542,0.08396212969344785,0.7351182613445549,0.2090853162891988,0.21545814586183099,33.50747599948461,0.032552322677982914,0.009759565033648943,0.15665609372046596,0.21068304886779998,1.825451587015582,3.159602045057209,0.3282478667975799,2.1978355510631205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
