subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,300.6050637363624,free_4_encoding_drift_rate_Semantic_CMR,0.6542800110305045,0.7067048291702477,0.2974631964759312,0.10755813280404236,0.7725516932102787,0.3593112687050054,0.7090424678855742,0.4089372905050632,0.5638182802192445,0.9340578073604746,79.0348231418144,0.0013807174194436778,0.5759229345812127,0.1859666112090297,3.7836497534412263,8.032381809459626,0.4876990058698749,0.18775483343970478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,305.0604457248816,free_4_encoding_drift_rate_Semantic_CMR,0.528017773089476,0.7425488053117385,0.7857162463346825,0.9063061665442744,0.4469919352022539,0.8881807332610783,0.2743511241957682,0.36969928054340356,0.6766265410086619,0.5378676010893884,59.38958415954518,0.0004901156226574943,0.5577048455991438,0.38359622351350176,8.677244740424918,8.414268948683564,0.3531608384155421,0.8530703218580751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.7777885940319,free_4_encoding_drift_rate_Semantic_CMR,0.3321805002454787,0.6815206779189974,0.5665175269623302,0.20796175241542225,0.865758379363625,0.5564744168116571,0.25106724833311933,0.2829207458454768,0.7512931108599313,2.0365460162024607,69.11853988086315,0.0028990848386587762,0.37480715598850317,0.383042609094088,1.2204367880700746,2.909012091134384,0.5112845477300865,1.4308664265356867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.94501189938364,free_4_encoding_drift_rate_Semantic_CMR,0.8018609260922687,0.7354692784944842,0.3153974548410583,0.6493065761517418,0.9130476274348791,0.05172633831364842,0.5678648488965048,0.010371804437845689,0.6123037345971103,0.6002693915163277,34.952256866203754,0.0025987019991577376,0.18343838969827253,0.13871864631210507,2.542321243924092,2.409779548754215,0.6260049059905062,0.16839592123090252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,234.2144958237297,free_4_encoding_drift_rate_Semantic_CMR,0.5043644239020355,0.7729584742957027,0.8810979347593613,0.8851214630189521,0.5726215639434661,0.7784155239729864,0.04079320568954059,0.2717666869785078,0.8053283426441221,0.5766165222306583,77.32542760835945,0.006850292152333903,0.37643347245365977,0.4161003120918574,6.292409466129223,9.310345980142035,0.2156405911534518,0.152266163574291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,264.95301366540394,free_4_encoding_drift_rate_Semantic_CMR,0.6772604768906995,0.9609717791860153,0.11424807710056628,0.8611453354984866,0.8713281754747044,0.7551162652637674,0.540440988174241,0.4882902899584836,0.1945247319037876,1.9190682469104416,53.00800748751475,0.004328840405254941,0.37280372161328046,0.31608517423337634,3.2046190194531494,8.181994799711731,0.014427944675105109,0.27843182493163443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.30780180046588,free_4_encoding_drift_rate_Semantic_CMR,0.6384248511682078,0.7667391311373745,0.004143175955604705,0.4941044190202828,0.9667709641028248,0.8438478858210872,0.9024060173038575,0.42186107818370583,0.7693662027827849,51.21698266628248,1.0126256827178466,0.11287803466761354,0.31159573025265974,0.09469792537077826,2.525977594053652,1.6194329145865884,0.8622683056298472,6.766985318485073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,244.86793748582645,free_4_encoding_drift_rate_Semantic_CMR,0.8281973302048102,0.5274435392051908,0.023956382730475623,0.6753378165861932,0.9389901700409918,0.1370755134941739,0.17566085454679364,0.4204754594077359,0.4639059477827162,0.08566947464753838,46.8985715669796,0.008935724688497515,0.2136712770716418,0.12128864086524693,7.0259951679074915,9.198462407172862,0.7040133907865646,0.40627941411875224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.13384845317907,free_4_encoding_drift_rate_Semantic_CMR,0.8283886709243808,0.4843007741413013,0.14727983899629576,0.18179230135847269,0.9989110414270159,0.008356146586463739,0.8697330795671859,0.10168641526057075,0.8734292848124581,0.8632308825500729,78.66462678717865,0.003195673190041778,0.3765647721440404,0.3162283343947109,2.566636532355888,4.048833403211036,0.44037332519849165,2.8934091732695766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,239.76234075063167,free_4_encoding_drift_rate_Semantic_CMR,0.9984739699336556,0.7034994032157635,0.21284959637750228,0.40614023780264363,0.9175267071777692,0.5118586808042997,0.872910435864299,0.07027549674907668,0.4033436414827896,0.3206789216868629,17.81059244935591,0.008457614257592212,0.2946713387167577,0.2647127284720426,3.7114651788695006,7.357493899361247,0.05416694764545232,0.8359217887767085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,97.94584466195676,free_4_encoding_drift_rate_Semantic_CMR,0.36979898340029954,0.4122379984683542,0.04410816394634709,0.5718821786583621,0.8226736072922016,0.015059948874433016,0.4528987906517193,0.5525223581744068,0.901279364705899,0.09856040994016979,83.53371734956113,0.00979514249778507,0.5360745302173289,0.4770663386795544,9.3573604839598,9.456691051132786,0.9488511240555888,2.10531793887906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.23059072044742,free_4_encoding_drift_rate_Semantic_CMR,0.8704017302243644,0.17366410648106473,0.33884528151923904,0.6125280256563034,0.1011105756515606,0.18934489150585845,0.3955114096911852,0.7149720218260412,0.4396075658406901,9.697546329051988,0.6396182120420658,0.006673260242341168,0.46631554168750644,0.29482512426618845,2.2372068299252126,3.3569716527037383,0.3193071930459612,6.017727874301542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
