subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,1_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,301.314440159275,free_4_primacy_scale_Semantic_CMR,0.6689794482807295,0.2509399963441072,0.07536452251886255,0.7359884932626269,0.7487063835575799,0.9139144102758892,0.12479532425118706,0.2702275767306324,39.400090065293554,26.447042064343524,0.03779633111425795,0.005305511155739573,0.531544749536284,0.1279455962383489,1.786257023550477,3.025995729030648,0.13663874615736765,2.9894763641777287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,308.5949239164705,free_4_primacy_scale_Semantic_CMR,0.6539342626843019,0.11060122360208774,0.6462390802908307,0.24470596416044144,0.5549208546919964,0.4096103951784053,0.8372846988223128,0.6936078497924553,16.42338562043153,8.571805344841408,1.9789295052699956,0.001730707965266809,0.4262052408052579,0.30594439821860675,4.248268125281866,5.720603058585404,0.20650149400341744,1.1256714427160985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,335.0861662284558,free_4_primacy_scale_Semantic_CMR,0.5479129475369909,0.07572717810524615,0.24788978446807663,0.4270821325568269,0.8368397985195271,0.28163027296870813,0.07773738523216811,0.918746807341861,16.83252612017352,3.788754373931887,87.50196720060683,0.001350354245757912,0.4408290254235556,0.4380404582295938,2.5170774478844473,2.871205320240074,0.07056796384463665,3.399604975517563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.0320879584216,free_4_primacy_scale_Semantic_CMR,0.738192581535071,0.10364979744558905,0.7950798368043266,0.8742093562286211,0.1289380790839345,0.8003589994078971,0.3784200548806988,0.635734061936051,1.2868079201371359,1.4851616277563906,41.33569098392648,0.00526123677207091,0.17609813357847504,0.1042947735008406,3.4267005547423683,4.299127616037123,0.8017985769630144,0.1843613905971635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,230.7025676820387,free_4_primacy_scale_Semantic_CMR,0.7689872769347458,0.2546594101669304,0.9850367447458084,0.9904495194082291,0.5509048706622636,0.35452401782042176,0.38841745653863674,0.3191660132258515,14.399324310744369,56.9457449992492,1.116779976113989,0.0029847762621387774,0.48277210361367207,0.46526161511443664,2.509311845056833,2.5423268762610447,0.7168141300858998,0.11231503317968006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,268.17400273629,free_4_primacy_scale_Semantic_CMR,0.8225676816597267,0.04083782781919293,0.8693793537716727,0.8462056498950614,0.16127401684094617,0.29861968612646417,0.8125640836826731,0.29001843124862414,71.24260339323797,15.359660132646667,0.7906486060996514,0.002442755269362107,0.4015572946336423,0.32557384813774526,0.6570605429633769,3.1967429256324236,0.08262762735868823,1.8067079605855452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,106.80398623508002,free_4_primacy_scale_Semantic_CMR,0.6364638914354654,0.012690339112577553,0.5435459137423277,0.21486669907806005,0.7989374149067987,0.3720587557519543,0.8552745452671973,0.3872172410554694,70.83815415544066,24.276018449336945,1.1022117130027453,0.05400304534345918,0.4221420417921298,0.18694903762223447,2.319550466108489,2.717881293472959,0.8030255607584964,2.3120879006826134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,245.0195415910747,free_4_primacy_scale_Semantic_CMR,0.504289559271089,0.1711383516426418,0.6091366286125283,0.9757341028698742,0.9562217062369746,0.5935583463816219,0.4283140533742221,0.6112789383106754,11.672368864370256,29.284698771920475,0.016457146661110755,0.005525043596323553,0.25579909289575387,0.14222257098344038,8.05838962200382,9.231147019616891,0.5039971568400045,9.384377431025943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.700790950881,free_4_primacy_scale_Semantic_CMR,0.7698332350294412,0.049206578780497834,0.3722296013357825,0.9748132093386366,0.21844265268908436,0.7826182108784748,0.37371441731830285,0.32475890350388903,0.998595691464935,3.650610799299834,43.34098342522471,0.015999020668330033,0.31912730616805707,0.19279053571106886,4.3376008451766275,3.7611292493051236,0.1357548090003302,1.402664807297617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,243.25327190880398,free_4_primacy_scale_Semantic_CMR,0.8707702490704385,0.02096864121884967,0.6238250304588431,0.9197293054859546,0.7168731863151787,0.34180217154544534,0.19553831309640413,0.9485120233527085,3.1862692539047828,1.6884780475255923,15.266771755893025,0.0067058705442971656,0.27204878384688946,0.270500883042331,3.5558461106097496,6.4796119357016835,0.01811639618539007,0.95501574770699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,98.95942630933794,free_4_primacy_scale_Semantic_CMR,0.3941044655649447,0.07321980439917464,0.18195780278755014,0.9337329769175078,0.015978225993370787,0.7096765665067525,0.8686195614223187,0.7996622362250204,0.10268687561262624,0.10769232300746978,57.48241275297138,0.0042640425372718616,0.5998072089527522,0.5213079320467839,9.390911381739459,9.889762340181614,0.9491560388193714,2.6592065383042707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,210.5586266678164,free_4_primacy_scale_Semantic_CMR,0.9121218101139943,0.12884298595937227,0.5707185572666847,0.9873702644760023,0.17896458443579183,0.2389562525572987,0.48678231388021564,0.43772873677664326,1.7950776152598138,76.17442569699956,0.40700466043920613,0.0035230582232552154,0.6287272760101157,0.3367093110156798,2.711211201547666,2.44877870146251,0.17148439488228245,2.9596857600422903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,301.8673035436319,free_4_primacy_scale_Semantic_CMR,0.7159520476568677,0.4078467679842012,0.5677524333023206,0.47516484865028075,0.3453440058012361,0.790089200216539,0.3725098171757189,0.2513392549586685,69.40589108409824,3.0850134365635995,0.5818007876611944,0.028265291708927498,0.10246910617107918,0.09570532043282043,1.768951801483964,2.5759821695100933,0.41745206144479347,8.587964028161796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,346.0839243761753,free_4_primacy_scale_Semantic_CMR,0.9299779828099437,0.01891709467313335,0.32836711327934864,0.33837964760740735,0.7015578145143357,0.8827482493431693,0.3677205645947917,0.9570820777361829,32.95298607644527,10.513287370078203,20.991259181341103,0.0017795570040936015,0.43758009272936427,0.2907912782856146,2.075542758038629,2.599087921971322,0.14938847596075955,6.0512991032787955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.98725896566515,free_4_primacy_scale_Semantic_CMR,0.5059561641440142,0.018887927588993048,0.2973924634665537,0.7412583377973301,0.08530832017331524,0.4920544963717292,0.8038771601668631,0.3174800016856455,10.57872666429067,16.809806921836426,59.45108223230709,0.05669555501168094,0.14141137350445732,0.19677416489587785,2.648034436646376,1.8779635544472306,0.2373789988690974,6.752042082099203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,273.1554658560069,free_4_primacy_scale_Semantic_CMR,0.8291478376048733,0.0298759751037182,0.09656077485743292,0.9012809143566913,0.47954799948810667,0.9088163306239254,0.09754642113000317,0.38559712343663055,12.914835245145142,12.673104897102242,1.958161868828853,0.013579404795048489,0.2665621342522142,0.15768603391716596,4.536178476456266,6.607459253137696,0.14680405222681076,0.16142640157584154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.69400556465462,free_4_primacy_scale_Semantic_CMR,0.8470440127185506,0.09421697248746791,0.30107208577425737,0.012870430923028087,0.003172229787837433,0.5076042122284483,0.973332279694904,0.3717503773729394,17.7261833540041,14.35499664289771,0.0036303429821060718,0.01914228811954144,0.186655355746411,0.1580633921070298,1.438790259956888,2.1114872885780276,0.388050807577299,5.653565420723735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.9157832053146,free_4_primacy_scale_Semantic_CMR,0.7900607530200167,0.19082428391565276,0.4531300314858463,0.3754474450123585,0.9164482895280079,0.48359224481075697,0.9696477976087259,0.7452839099014238,6.3802202929561815,36.54031129807488,82.36229431841261,0.0038791626636723864,0.48875129974151577,0.26343312306302114,1.75720600641539,1.7710311700877495,0.4859808726145918,8.068894692267909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,270.495757611224,free_4_primacy_scale_Semantic_CMR,0.9394022053268365,0.09665683467613606,0.7446015356580138,0.9909680716306835,0.6785830150924786,0.2151896965339578,0.5410269765682157,0.13680900428018888,7.731690354874793,12.806768393881107,82.65815205730121,0.02028917336960856,0.2264765194584326,0.2017756006508007,2.0537452638860234,2.829844639124138,0.19004035952757775,0.9130646836828253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,296.7546000623154,free_4_primacy_scale_Semantic_CMR,0.37775399297716566,0.0632716163953993,0.8033345432224102,0.9006682121179315,0.028570974861177878,0.9278249477340019,0.8279912170272892,0.7917887554682396,2.8709469333753788,7.39917386171166,17.421837820003148,0.0020381716176310904,0.3461508213765976,0.37951872849940305,3.2137096106966077,2.3479394388084174,0.42663692034383494,0.4190929220927657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,283.8824166941247,free_4_primacy_scale_Semantic_CMR,0.7811430468188447,0.9129185124222855,0.7669822095040317,0.9791403554174871,0.8967107569635026,0.909608724985652,0.6715481260793447,0.9952174348834224,7.868924432781988,57.37096914327357,0.1701295314978551,0.02248559157754334,0.23850177891390772,0.1628152771930042,1.6947876581112453,2.2193764384798866,0.8790351787744696,6.467214067869875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,198.52042781754892,free_4_primacy_scale_Semantic_CMR,0.6575466097853561,0.025029050418988563,0.6372726090858791,0.1742736557597594,0.6518873545193711,0.762112937393063,0.34545783961029436,0.8293294646268794,72.51041100535386,48.03142475968839,14.047915516730988,0.005699108112564855,0.6676108449070863,0.4182715275385789,1.6765238600467063,2.8891373586669826,0.037295175376431566,4.182145579555392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,181.35255351634206,free_4_primacy_scale_Semantic_CMR,0.7040684205082863,0.05030236035222299,0.009987133842956443,0.43707385804981363,0.021873426097362484,0.7145804217492056,0.7939844621423177,0.8513921707603065,1.5055494366030238,1.9765444708769722,95.68588209910737,0.0235574081435447,0.5129735297719229,0.2613173029704948,0.8119815661958776,1.8315314282408128,0.019645766944713764,0.8922968443281409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,252.90267315468998,free_4_primacy_scale_Semantic_CMR,0.6074066878771303,0.9042685344395798,0.04267599652544796,0.9569894603793763,0.7764245684955937,0.4403916142483789,0.5989813873776844,0.39922070813713423,4.697192103932764,0.9581745162090769,51.259351456458276,0.00546496565781468,0.4999514144277173,0.2695135141738554,0.8099989043857807,2.743326250458238,0.3299866419923889,4.513373563015594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,289.7758771618243,free_4_primacy_scale_Semantic_CMR,0.6405813202931399,0.003963763640979057,0.7955188843989154,0.1728088330107574,0.06978957116226642,0.3871361843001016,0.07795990527766367,0.46492952585628816,25.787452368698244,7.613401660142898,1.312704173123727,0.006434029093712823,0.39023377010180216,0.24387053611977905,1.7563998554543887,2.4351010201359906,0.006020729306514816,7.24767259996206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,347.7884021432627,free_4_primacy_scale_Semantic_CMR,0.6661051882811313,0.038328104032402055,0.9800839224071133,0.9632136640569872,0.29656850608232177,0.5337814054435561,0.972263707089186,0.5214940756733387,24.09535409668645,12.323564995054411,83.32561551443261,0.024152334830826405,0.1133323231653085,0.08634095244766193,4.342173859493305,4.000160845383828,0.2738707124297006,1.6777013405111503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,256.7493078863799,free_4_primacy_scale_Semantic_CMR,0.7197943219617233,0.13230947259411052,0.8435958410732285,0.7698719210169958,0.3540506777648877,0.44585087530732914,0.13468555771714014,0.5127881186905245,1.1176224650765505,7.768259438450563,63.65628216406067,0.021266212114518346,0.23654106308531553,0.09216992203486196,5.971671776630641,8.472148687419578,0.7627944747918823,0.09867197432938823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,251.70990736703538,free_4_primacy_scale_Semantic_CMR,0.9425071149690721,0.05691090165149282,0.2800408328211855,0.8339296302868546,0.35478661575614406,0.5745375844451444,0.3890497523908149,0.5813156944174973,3.3810256368186486,2.6796688043211248,34.27811928657176,0.017132929072067538,0.21078317030869975,0.195910651467484,4.041652413569866,5.4943574303435305,0.012954789391351362,0.3660563369708578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
