subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,301.35453199352764,free_4_shared_support_Semantic_CMR,0.7519879834941664,0.25413480955392026,0.01576457854525537,0.7743442825186977,0.1087060902856522,0.4108026907515048,0.35685676026936075,0.18585989346086895,0.6168197832431295,0.7861579203036584,96.66839946263966,0.0076916727547748365,0.4673237383411708,0.11533466519835489,2.507532846994629,8.856137148147159,0.47258471373408917,0.2286593633071723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.03743634064546,free_4_shared_support_Semantic_CMR,0.3732243399340954,0.3661779042240869,0.3878058618174274,0.4211235481365762,0.7509303332442381,0.9079720763436367,0.3215271797866944,0.6254576303781771,0.9048909162091622,5.397831237582738,2.9541287338867153,0.0036663844252745824,0.4100000704303336,0.2647223630507111,5.625621662082731,5.006316572031086,0.4647171132059995,2.313858315992318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.3391023200577,free_4_shared_support_Semantic_CMR,0.3213106738153102,0.07638894172630223,0.06971939654917608,0.21482226695134155,0.1927785758372927,0.9205018320813225,0.9075682273202084,0.8176693178508703,0.036608891219916284,1.618821145902153,57.89342845318408,0.003152333600822177,0.35429096257397497,0.3834786488406028,2.3165468022141775,6.4747510772701276,0.8828465935005956,0.7222222009167396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.7382225361562,free_4_shared_support_Semantic_CMR,0.7260187600656527,0.06612925383507756,0.6175694007113148,0.7107858429183825,0.27006137749300646,0.20148637025400418,0.6826350513848377,0.06217066827735984,0.5641656595292762,1.4740191749986522,67.28080635011,0.004560188692680822,0.128148002164294,0.11374406288155292,5.094925001860554,6.146599617170523,0.774096287997197,0.1725123943685034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,243.84752414311032,free_4_shared_support_Semantic_CMR,0.6486496480483666,0.2365800300272306,0.11148789471566306,0.9866203267340486,0.42642227972137026,0.4836369984917572,0.12699798545938018,0.8871250290738741,0.4558030501525377,56.5696693398577,95.71790011611257,0.0007218507148936126,0.5817903409909961,0.6231636952199358,0.7111240385801612,2.348732607230492,0.9004310348897304,0.6535459001964572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,271.21166708014414,free_4_shared_support_Semantic_CMR,0.9756725052012575,0.06266131374661071,0.6360542394988515,0.8492228133187185,0.7743345183174316,0.2172512770694864,0.32157643020372206,0.22583709094074142,0.34596051407524303,5.738960960731954,31.20539451150126,0.003738168550974664,0.4165693178661885,0.3280679369058504,0.633495546406206,2.394796317871988,0.009732672975818797,8.14726235770954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,105.41392976832788,free_4_shared_support_Semantic_CMR,0.4804167185973593,0.14136430771466024,0.17970305437537298,0.14673031400898645,0.2851403853305582,0.6367506107437733,0.5845153873833877,0.49281769038125156,0.5230986176761309,15.386356588655737,0.9608748006012249,0.04602703652778184,0.58714564033325,0.2598900843309302,3.465876400130012,2.3631995213815586,0.5634024096647436,0.6142735228455587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,249.22635260278352,free_4_shared_support_Semantic_CMR,0.5342728051760959,0.14518860781514215,0.6813150377699404,0.9124051226377641,0.2007561936281137,0.15119996770611466,0.4147076626186465,0.37512096891108154,0.513055814098783,0.07103928815819671,87.07865743385129,0.01422021083320063,0.18927360074544808,0.10163870521514884,8.812855362914513,9.943619840203759,0.7234828379941594,0.5060653801936397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,226.11599959334947,free_4_shared_support_Semantic_CMR,0.6987868118785422,0.053439013149320924,0.4071787173257423,0.8990920571155341,0.2566021871440108,0.5243529081734004,0.44426407577366644,0.7171098859654585,0.35294001021425925,4.424670129935002,0.22128988513471626,0.00791333372659453,0.36363921359362195,0.3053799913358226,5.332249329059701,5.846611300231752,0.055879338980408144,1.242735154267347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,241.70340986212312,free_4_shared_support_Semantic_CMR,0.9815480353215109,0.3984462322644041,0.3569725995382539,0.8617409772915032,0.03028876601958752,0.8981342611544254,0.48011565885275287,0.34022115824228494,0.5876781222122727,0.259016879260912,81.3330250166423,0.008543857484928308,0.33036855900727335,0.29969050691682675,2.2772681848722187,7.69838716693342,0.5304683791202475,0.7823066990273198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,101.27563699013913,free_4_shared_support_Semantic_CMR,0.38591349115033685,0.5172069525111558,0.7007760481832065,0.9177021947773898,0.025761052527368877,0.0397734026390979,0.363036374332966,0.38793979450161903,0.5729058994894078,0.04286048446524404,16.435178841708343,0.004347921403939359,0.5883840087308654,0.5749305085688192,9.71401711334611,9.239296840977687,0.7210876788228645,1.8992923422251282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,223.5143201996334,free_4_shared_support_Semantic_CMR,0.8180989622826651,0.8609646453629942,0.8100939420044845,0.4331537302547631,0.4321679297816382,0.47797962121839505,0.8599675458945504,0.21949786655975273,0.10370403955256186,0.8063405954716529,51.29313684311699,0.011246928234966147,0.4965525698364779,0.22644818614421336,3.0605342300282325,5.35885644209972,0.1061553179395699,0.7846337495547377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.8981608887252,free_4_shared_support_Semantic_CMR,0.674179788427418,0.8307043996012369,0.3820916794727238,0.6682917307942975,0.26426525208713514,0.9305957726892702,0.06986393551634146,0.6899713443259173,0.6820633853819861,1.9742501642885912,46.45908635250565,0.025944002809768718,0.15359802908480358,0.09573777756933932,1.9843131654574622,3.3428051674099435,0.013378175512302581,7.345946077859924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,337.5170257841825,free_4_shared_support_Semantic_CMR,0.7732008212748962,0.41914087245553056,0.31562875917022015,0.9807651538139912,0.1670712775736235,0.69450742449077,0.8040107707384064,0.8944312838566051,0.633641422781547,0.8922056379133281,57.25199705666852,0.000535115829601418,0.5524260272269519,0.33145846060745576,2.4958922521482907,4.458545465543826,0.4828890488915484,0.8068428237146659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.05831560979962,free_4_shared_support_Semantic_CMR,0.4421946257660643,0.09891481101315358,0.09820010154714774,0.6347404694753799,0.1643741431082049,0.30581689637080384,0.7570663058574727,0.7011233065043276,0.8413475889904107,5.894544361897541,45.14795655711806,0.03940024528846484,0.17300805388716214,0.2745515474201474,3.2132595684526466,4.6011261378064,0.2900844971538226,2.5506842816841027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,273.4441394799941,free_4_shared_support_Semantic_CMR,0.8782656897351413,0.1341563422602851,0.626401805860481,0.9121155989029048,0.4511715256819242,0.37146968927875157,0.845516683923023,0.23058205509549545,0.36440134244508215,6.403377627968219,84.81645532229612,0.013728109117845833,0.24262881770002576,0.15990112086401975,4.181492714831172,6.906866044865917,0.3411408388409135,0.1981619271261268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.80301449785802,free_4_shared_support_Semantic_CMR,0.7147073493341992,0.1927652346365225,0.5430124928120026,0.4753152918543244,0.5492500230859759,0.43374437981496505,0.757345988294121,0.9419527396915122,0.7309507278066533,4.913750482511411,39.5307230605477,0.021280073096299923,0.20823752552109465,0.24089208313661103,5.529366817730903,5.712292592078313,0.1045576501778897,0.5348153189411073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
