subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_delay_drift_rate,1_semantic_scale
1,8,301.6818526350034,free_4_stop_probability_scale_Semantic_CMR,0.8111253818840256,0.33958835241559326,0.5117748963653014,0.7949355697155797,0.42446260412167547,0.21358373941126413,0.09669843866046851,0.6855835651086756,1.7345681446093977,36.89149434702925,0.0029701285401808053,0.010606363368607041,0.601901702473361,0.10167507666735176,5.179410979292713,8.546163102852564,0.3454597899112773,0.2173918284260159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.95311404214704,free_4_stop_probability_scale_Semantic_CMR,0.29273959223810986,0.33471394314026937,0.23924739948549256,0.1531323261100237,0.711454518709643,0.24796193450636705,0.48712272727980005,0.7290609291147455,9.497980186589125,1.1304390443834222,0.009077331531362143,0.000737666099686507,0.3472092760653238,0.3554957734575046,4.245840687460565,2.8742586442903573,0.031382725216638985,4.240725405673235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,333.5896949723355,free_4_stop_probability_scale_Semantic_CMR,0.2036081856271568,0.25964000555334055,0.38605889512262226,0.29375756794876545,0.03748812643187031,0.23866950463183573,0.6651130271379783,0.7867918087253152,0.6140428571347523,36.489630009808415,0.013226616290019332,0.012352203551314276,0.26334206948265343,0.2549736619607304,3.434186656933385,3.390396455697508,0.20611113185568614,0.6947149009072178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.419650796499,free_4_stop_probability_scale_Semantic_CMR,0.6701216258282029,0.44582740600529897,0.6171758835079904,0.668822913530498,0.21744480994161208,0.5011089275126371,0.12191890069123662,0.6495644286568654,0.7570417093188695,70.43497783655066,0.03494643460809649,0.004979322219570093,0.06386943923272792,0.15460239615737148,5.103787389522529,8.724645474318745,0.869574720931503,0.1741340413392125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,232.00466431779893,free_4_stop_probability_scale_Semantic_CMR,0.6317557955402358,0.18582117648133656,0.9544066045912887,0.9974533318249219,0.4927491163768375,0.05683358516063125,0.2692070657082848,0.4246045965179137,53.579142485601196,0.8811396974384351,0.013487096497741768,0.0012443753521255707,0.31551361931680066,0.5813440284732199,1.2118166703037665,1.9261072729331885,0.34031689373078866,0.9931956339240555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,265.4660525704305,free_4_stop_probability_scale_Semantic_CMR,0.9632805672276041,0.15900365474340816,0.8936217778640196,0.9754007816928183,0.9199307863330828,0.20629999905240903,0.8451097942829364,0.5036907903548957,1.5877832896001465,14.398294559889408,0.012736912038174841,0.005913605490531881,0.2806253763455615,0.30150280917229466,6.458008277118886,8.706744664116835,0.14802052699730256,0.3125355607541618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,104.54005628503297,free_4_stop_probability_scale_Semantic_CMR,0.5830168199796774,0.3527493220241435,0.7678177903663852,0.7335826514365683,0.09138315052552504,0.753787621625339,0.3521964037180672,0.7820868961045221,9.743649194686483,0.9922706144685733,0.055614780454370294,0.16066918606738395,0.3809838287766496,0.10039870142498586,2.7352017459171893,1.5899000985202196,0.5871709149687836,0.8753617601456192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,250.8287369751195,free_4_stop_probability_scale_Semantic_CMR,0.5356780874677052,0.4308180896709889,0.7412825227723414,0.915986112102531,0.1379299332050395,0.5887643066216938,0.18853741665719426,0.5855305934026263,0.2579280386155034,71.48447241084665,0.07746793072372876,0.003292575698017608,0.06499031820286216,0.20020584254419926,7.481912647321664,9.606996366788302,0.5647100674906204,0.49269380922946926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.44545934088683,free_4_stop_probability_scale_Semantic_CMR,0.7516492929816746,0.1443783008906258,0.664951984084461,0.7695260045681697,0.27248305259569916,0.8906478673943907,0.2930330300186853,0.2654917453156878,1.580200188853503,57.474848305711475,0.016663106232120195,0.007533728096010717,0.3251633701066474,0.2423627208435324,4.9665181377822485,5.101797343555516,0.11008384245085556,0.7308339152167056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,240.96055330310296,free_4_stop_probability_scale_Semantic_CMR,0.9683011896571444,0.1934002651681217,0.650128140960511,0.9855020548714932,0.6590823442440368,0.8380304285885998,0.3170371165385439,0.02433114214055596,1.9100251334228344,65.61419452692247,0.013990402614606934,0.02686716417671138,0.2743229606121364,0.12758172725122285,5.772851357752164,7.099936767141,0.396538703511602,0.4316839041596645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
