index,subject,input,recall,source
0,1,1,0.25,data
1,1,2,0.25,data
2,1,3,0.25,data
3,1,4,0.25,data
4,1,5,0.25,data
5,1,6,0.0,data
6,1,7,0.5,data
7,1,8,0.25,data
8,1,9,0.25,data
9,1,10,0.0,data
10,1,11,0.0,data
11,1,12,0.25,data
12,1,13,0.5,data
13,1,14,0.75,data
14,1,15,0.0,data
15,1,16,0.25,data
16,1,17,0.25,data
17,1,18,0.0,data
18,1,19,0.25,data
19,1,20,0.5,data
20,1,21,0.25,data
21,1,22,0.5,data
22,1,23,0.5,data
23,1,24,1.0,data
24,1,25,0.25,data
25,1,26,0.75,data
26,1,27,0.75,data
0,2,1,1.0,data
1,2,2,0.25,data
2,2,3,0.25,data
3,2,4,0.0,data
4,2,5,0.5,data
5,2,6,0.25,data
6,2,7,0.0,data
7,2,8,0.25,data
8,2,9,0.25,data
9,2,10,0.25,data
10,2,11,0.25,data
11,2,12,0.5,data
12,2,13,0.5,data
13,2,14,0.5,data
14,2,15,0.5,data
15,2,16,0.25,data
16,2,17,0.5,data
17,2,18,0.5,data
18,2,19,0.25,data
19,2,20,0.75,data
20,2,21,0.25,data
21,2,22,1.0,data
22,2,23,0.25,data
23,2,24,0.25,data
24,2,25,0.5,data
25,2,26,0.75,data
26,2,27,1.0,data
0,3,1,0.75,data
1,3,2,0.0,data
2,3,3,0.0,data
3,3,4,0.0,data
4,3,5,0.25,data
5,3,6,0.25,data
6,3,7,0.25,data
7,3,8,0.0,data
8,3,9,0.5,data
9,3,10,0.75,data
10,3,11,0.25,data
11,3,12,0.25,data
12,3,13,0.25,data
13,3,14,0.75,data
14,3,15,1.0,data
15,3,16,0.25,data
16,3,17,0.25,data
17,3,18,0.0,data
18,3,19,0.5,data
19,3,20,1.0,data
20,3,21,0.5,data
21,3,22,0.5,data
22,3,23,0.75,data
23,3,24,0.75,data
24,3,25,0.75,data
25,3,26,0.5,data
26,3,27,0.75,data
0,5,1,1.0,data
1,5,2,1.0,data
2,5,3,0.75,data
3,5,4,0.75,data
4,5,5,1.0,data
5,5,6,1.0,data
6,5,7,0.75,data
7,5,8,0.75,data
8,5,9,0.75,data
9,5,10,0.75,data
10,5,11,0.75,data
11,5,12,0.5,data
12,5,13,0.5,data
13,5,14,0.5,data
14,5,15,0.5,data
15,5,16,0.75,data
16,5,17,1.0,data
17,5,18,0.5,data
18,5,19,0.75,data
19,5,20,0.5,data
20,5,21,1.0,data
21,5,22,1.0,data
22,5,23,0.75,data
23,5,24,1.0,data
24,5,25,0.75,data
25,5,26,0.75,data
26,5,27,0.75,data
0,6,1,0.5,data
1,6,2,0.5,data
2,6,3,0.25,data
3,6,4,0.25,data
4,6,5,0.25,data
5,6,6,0.5,data
6,6,7,0.0,data
7,6,8,0.5,data
8,6,9,0.0,data
9,6,10,0.25,data
10,6,11,0.5,data
11,6,12,0.25,data
12,6,13,0.25,data
13,6,14,0.0,data
14,6,15,0.25,data
15,6,16,0.5,data
16,6,17,0.5,data
17,6,18,0.25,data
18,6,19,0.25,data
19,6,20,0.5,data
20,6,21,0.75,data
21,6,22,0.0,data
22,6,23,0.5,data
23,6,24,0.25,data
24,6,25,0.75,data
25,6,26,0.25,data
26,6,27,0.5,data
0,7,1,0.5,data
1,7,2,0.5,data
2,7,3,0.75,data
3,7,4,0.5,data
4,7,5,0.75,data
5,7,6,0.0,data
6,7,7,0.5,data
7,7,8,0.25,data
8,7,9,0.25,data
9,7,10,0.25,data
10,7,11,0.25,data
11,7,12,0.25,data
12,7,13,0.5,data
13,7,14,0.5,data
14,7,15,0.5,data
15,7,16,0.25,data
16,7,17,0.25,data
17,7,18,0.25,data
18,7,19,0.25,data
19,7,20,0.5,data
20,7,21,1.0,data
21,7,22,0.25,data
22,7,23,0.25,data
23,7,24,0.75,data
24,7,25,0.0,data
25,7,26,0.75,data
26,7,27,0.5,data
0,8,1,0.75,data
1,8,2,0.75,data
2,8,3,0.5,data
3,8,4,0.25,data
